date,transactions,avg_order_value,total_revenue,loyalty_signups,day_of_week,is_holiday,weather
2024-02-13,148,7.02,1038.96,13,Tuesday,1,Sunny
2024-02-14,95,6.12,581.40,4,Wednesday,0,Rainy
2024-02-15,104,6.30,655.20,5,Thursday,0,Cloudy
2024-02-16,121,6.50,786.50,8,Friday,0,Sunny
2024-02-17,162,7.20,1166.40,16,Saturday,0,Sunny
2024-02-18,148,7.02,1038.96,12,Sunday,0,Sunny
2024-02-19,94,5.98,562.12,3,Monday,0,Cloudy
2024-02-20,90,5.82,523.80,3,Tuesday,0,Rainy
2024-02-21,97,6.15,596.55,4,Wednesday,0,Rainy
2024-02-22,105,6.32,663.60,5,Thursday,0,Cloudy
2024-02-23,122,6.52,795.44,8,Friday,0,Sunny
2024-02-24,164,7.22,1184.08,17,Saturday,0,Sunny
2024-02-25,150,7.05,1057.50,13,Sunday,0,Cloudy
2024-02-26,95,6.00,570.00,3,Monday,0,Rainy
2024-02-27,91,5.85,532.35,3,Tuesday,0,Rainy
2024-02-28,98,6.18,605.64,4,Wednesday,0,Cloudy
2024-02-29,106,6.35,673.10,5,Thursday,0,Sunny
2024-03-01,123,6.55,805.65,8,Friday,0,Sunny
2024-03-02,165,7.25,1196.25,17,Saturday,0,Sunny
2024-03-03,152,7.08,1076.16,13,Sunday,0,Sunny
2024-03-04,96,6.02,577.92,4,Monday,0,Cloudy
2024-03-05,92,5.88,540.96,3,Tuesday,0,Rainy
2024-03-06,99,6.20,613.80,4,Wednesday,0,Rainy
2024-03-07,107,6.38,682.66,5,Thursday,0,Cloudy
2024-03-08,124,6.58,815.92,8,Friday,0,Sunny
2024-03-09,167,7.28,1215.76,17,Saturday,0,Sunny
2024-03-10,154,7.10,1093.40,14,Sunday,0,Cloudy
2024-03-11,97,6.05,586.85,4,Monday,0,Rainy
2024-03-12,93,5.90,548.70,3,Tuesday,0,Rainy
2024-03-13,100,6.22,622.00,4,Wednesday,0,Cloudy
2024-03-14,108,6.40,691.20,6,Thursday,0,Sunny
2024-03-15,125,6.60,825.00,8,Friday,0,Sunny
2024-03-16,168,7.30,1226.40,18,Saturday,0,Sunny
2024-03-17,155,7.12,1103.60,14,Sunday,0,Sunny
2024-03-18,98,6.08,595.84,4,Monday,0,Cloudy
2024-03-19,94,5.92,556.48,3,Tuesday,0,Rainy
2024-03-20,101,6.25,631.25,5,Wednesday,0,Rainy
2024-03-21,109,6.42,699.78,6,Thursday,0,Cloudy
2024-03-22,126,6.62,834.12,9,Friday,0,Sunny
2024-03-23,170,7.32,1244.40,18,Saturday,0,Sunny
2024-03-24,156,7.15,1115.40,14,Sunday,0,Cloudy
2024-03-25,99,6.10,603.90,4,Monday,0,Rainy
2024-03-26,95,5.95,565.25,3,Tuesday,0,Rainy
2024-03-27,102,6.28,640.56,5,Wednesday,0,Cloudy
2024-03-28,110,6.45,709.50,6,Thursday,0,Sunny
2024-03-29,180,7.80,1404.00,20,Friday,1,Sunny
2024-03-30,172,7.35,1264.20,18,Saturday,0,Sunny
2024-03-31,158,7.18,1134.44,15,Sunday,0,Sunny
2024-04-01,100,6.12,612.00,4,Monday,0,Cloudy
2024-04-02,96,5.98,574.08,3,Tuesday,0,Rainy
2024-04-03,103,6.30,648.90,5,Wednesday,0,Rainy
2024-04-04,111,6.48,719.28,6,Thursday,0,Cloudy
2024-04-05,128,6.65,851.20,9,Friday,0,Sunny
2024-04-06,173,7.38,1286.74,19,Saturday,0,Sunny
2024-04-07,160,7.20,1152.00,15,Sunday,0,Sunny
2024-04-08,101,6.15,621.15,4,Monday,0,Cloudy
2024-04-09,97,6.00,582.00,4,Tuesday,0,Rainy
2024-04-10,104,6.32,657.28,5,Wednesday,0,Rainy
2024-04-11,112,6.50,728.00,6,Thursday,0,Cloudy
2024-04-12,129,6.68,861.72,9,Friday,0,Sunny
2024-04-13,175,7.40,1305.00,19,Saturday,0,Sunny
2024-04-14,162,7.22,1169.64,15,Sunday,0,Cloudy
2024-04-15,102,6.18,630.36,4,Monday,0,Rainy
2024-04-16,98,6.02,589.96,4,Tuesday,0,Rainy
2024-04-17,105,6.35,666.75,5,Wednesday,0,Cloudy
2024-04-18,113,6.52,736.76,6,Thursday,0,Sunny
2024-04-19,130,6.70,871.00,10,Friday,0,Sunny
2024-04-20,176,7.42,1305.92,20,Saturday,0,Sunny
2024-04-21,164,7.25,1189.00,16,Sunday,0,Sunny
2024-04-22,103,6.20,638.60,4,Monday,0,Cloudy
2024-04-23,99,6.05,598.95,4,Tuesday,0,Rainy
2024-04-24,106,6.38,676.28,5,Wednesday,0,Rainy
2024-04-25,114,6.55,746.70,7,Thursday,0,Cloudy
2024-04-26,131,6.72,880.32,10,Friday,0,Sunny
2024-04-27,178,7.45,1326.10,20,Saturday,0,Sunny
2024-04-28,166,7.28,1208.48,16,Sunday,0,Cloudy
2024-04-29,104,6.22,646.88,4,Monday,0,Rainy
2024-04-30,100,6.08,608.00,4,Tuesday,0,Rainy
2024-05-01,168,7.30,1226.40,17,Wednesday,1,Sunny
2024-05-02,115,6.58,756.70,7,Thursday,0,Cloudy
2024-05-03,132,6.75,891.00,10,Friday,0,Sunny
2024-05-04,180,7.48,1346.40,21,Saturday,0,Sunny
2024-05-05,168,7.32,1229.76,17,Sunday,0,Sunny
2024-05-06,105,6.25,656.25,5,Monday,0,Cloudy
2024-05-07,101,6.10,616.10,4,Tuesday,0,Rainy
2024-05-08,108,6.42,693.36,6,Wednesday,0,Rainy
2024-05-09,116,6.60,765.60,7,Thursday,0,Cloudy
2024-05-10,133,6.78,901.74,10,Friday,0,Sunny
2024-05-11,182,7.50,1365.00,21,Saturday,0,Sunny
2024-05-12,170,7.35,1249.50,17,Sunday,0,Sunny
2024-05-13,106,6.28,665.68,5,Monday,0,Cloudy
2024-05-14,102,6.12,624.24,4,Tuesday,0,Rainy
2024-05-15,109,6.45,703.05,6,Wednesday,0,Rainy
2024-05-16,117,6.62,774.54,7,Thursday,0,Cloudy
2024-05-17,134,6.80,911.20,11,Friday,0,Sunny
2024-05-18,184,7.52,1383.68,22,Saturday,0,Sunny
2024-05-19,172,7.38,1269.36,18,Sunday,0,Cloudy
2024-05-20,107,6.30,674.10,5,Monday,0,Rainy
2024-05-21,103,6.15,633.45,4,Tuesday,0,Rainy
2024-05-22,110,6.48,712.80,6,Wednesday,0,Cloudy
2024-05-23,118,6.65,784.70,7,Thursday,0,Sunny
2024-05-24,135,6.82,920.70,11,Friday,0,Sunny
2024-05-25,185,7.55,1396.75,22,Saturday,0,Sunny
2024-05-26,174,7.40,1287.60,18,Sunday,0,Sunny
2024-05-27,108,6.32,682.56,5,Monday,0,Cloudy
2024-05-28,104,6.18,642.72,4,Tuesday,0,Rainy
2024-05-29,111,6.50,721.50,6,Wednesday,0,Rainy
2024-05-30,119,6.68,794.92,8,Thursday,0,Cloudy
2024-05-31,136,6.85,931.60,11,Friday,0,Sunny
2024-06-01,186,7.58,1409.88,23,Saturday,0,Sunny
2024-06-02,175,7.42,1298.50,18,Sunday,0,Sunny
2024-06-03,109,6.35,692.15,5,Monday,0,Cloudy
2024-06-04,105,6.20,651.00,5,Tuesday,0,Rainy
2024-06-05,112,6.52,730.24,6,Wednesday,0,Rainy
2024-06-06,120,6.70,804.00,8,Thursday,0,Cloudy
2024-06-07,137,6.88,942.56,11,Friday,0,Sunny
2024-06-08,188,7.60,1428.80,23,Saturday,0,Sunny
2024-06-09,176,7.45,1311.20,19,Sunday,0,Cloudy
2024-06-10,110,6.38,701.80,5,Monday,0,Rainy
2024-06-11,106,6.22,659.32,5,Tuesday,0,Rainy
2024-06-12,113,6.55,740.15,6,Wednesday,0,Cloudy
2024-06-13,121,6.72,813.12,8,Thursday,0,Sunny
2024-06-14,138,6.90,952.20,12,Friday,0,Sunny
2024-06-15,190,7.62,1447.80,24,Saturday,0,Sunny
2024-06-16,178,7.48,1331.44,19,Sunday,0,Sunny
2024-06-17,111,6.40,710.40,5,Monday,0,Cloudy
2024-06-18,107,6.25,668.75,5,Tuesday,0,Rainy
2024-06-19,114,6.58,750.12,7,Wednesday,0,Rainy
2024-06-20,122,6.75,823.50,8,Thursday,0,Cloudy
2024-06-21,139,6.92,961.88,12,Friday,0,Sunny
2024-06-22,192,7.65,1468.80,24,Saturday,0,Sunny
2024-06-23,180,7.50,1350.00,20,Sunday,0,Sunny
2024-06-24,112,6.42,719.04,5,Monday,0,Cloudy
2024-06-25,108,6.28,678.24,5,Tuesday,0,Rainy
2024-06-26,115,6.60,759.00,7,Wednesday,0,Rainy
2024-06-27,123,6.78,833.94,8,Thursday,0,Cloudy
2024-06-28,140,6.95,973.00,12,Friday,0,Sunny
2024-06-29,194,7.68,1489.92,25,Saturday,0,Sunny
2024-06-30,182,7.52,1368.64,20,Sunday,0,Cloudy
2024-07-01,113,6.45,728.85,6,Monday,0,Rainy
2024-07-02,109,6.30,686.70,5,Tuesday,0,Rainy
2024-07-03,116,6.62,767.92,7,Wednesday,0,Cloudy
2024-07-04,195,7.80,1521.00,25,Thursday,1,Sunny
2024-07-05,141,6.98,984.18,12,Friday,0,Sunny
2024-07-06,195,7.70,1501.50,25,Saturday,0,Sunny
2024-07-07,183,7.55,1381.65,20,Sunday,0,Sunny
2024-07-08,114,6.48,738.72,6,Monday,0,Cloudy
2024-07-09,110,6.32,695.20,5,Tuesday,0,Rainy
2024-07-10,117,6.65,778.05,7,Wednesday,0,Rainy
2024-07-11,125,6.80,850.00,9,Thursday,0,Cloudy
2024-07-12,142,7.00,994.00,12,Friday,0,Sunny
2024-07-13,196,7.72,1513.12,26,Saturday,0,Sunny
2024-07-14,184,7.58,1394.72,21,Sunday,0,Sunny
2024-07-15,115,6.50,747.50,6,Monday,0,Cloudy
2024-07-16,111,6.35,704.85,5,Tuesday,0,Rainy
2024-07-17,118,6.68,788.24,7,Wednesday,0,Rainy
2024-07-18,126,6.82,859.32,9,Thursday,0,Cloudy
2024-07-19,143,7.02,1003.86,13,Friday,0,Sunny
2024-07-20,198,7.75,1534.50,26,Saturday,0,Sunny
2024-07-21,186,7.60,1413.60,21,Sunday,0,Cloudy
2024-07-22,116,6.52,756.32,6,Monday,0,Rainy
2024-07-23,112,6.38,714.56,5,Tuesday,0,Rainy
2024-07-24,119,6.70,797.30,8,Wednesday,0,Cloudy
2024-07-25,127,6.85,869.95,9,Thursday,0,Sunny
2024-07-26,144,7.05,1015.20,13,Friday,0,Sunny
2024-07-27,200,7.78,1556.00,27,Saturday,0,Sunny
2024-07-28,188,7.62,1432.56,22,Sunday,0,Sunny
2024-07-29,117,6.55,766.35,6,Monday,0,Cloudy
2024-07-30,113,6.40,723.20,5,Tuesday,0,Rainy
2024-07-31,120,6.72,806.40,8,Wednesday,0,Rainy
2024-08-01,128,6.88,880.64,9,Thursday,0,Cloudy
2024-08-02,145,7.08,1026.60,13,Friday,0,Sunny
2024-08-03,202,7.80,1575.60,27,Saturday,0,Sunny
2024-08-04,190,7.65,1453.50,22,Sunday,0,Sunny
2024-08-05,118,6.58,776.44,6,Monday,0,Cloudy
2024-08-06,114,6.42,731.88,5,Tuesday,0,Rainy
2024-08-07,121,6.75,816.75,8,Wednesday,0,Rainy
2024-08-08,129,6.90,890.10,10,Thursday,0,Cloudy
2024-08-09,146,7.10,1036.60,13,Friday,0,Sunny
2024-08-10,204,7.82,1595.28,28,Saturday,0,Sunny
2024-08-11,192,7.68,1474.56,23,Sunday,0,Cloudy
2024-08-12,119,6.60,785.40,6,Monday,0,Rainy
2024-08-13,115,6.45,741.75,5,Tuesday,0,Rainy
2024-08-14,122,6.78,827.16,8,Wednesday,0,Cloudy
2024-08-15,130,6.92,899.60,10,Thursday,0,Sunny
2024-08-16,147,7.12,1046.64,14,Friday,0,Sunny
2024-08-17,205,7.85,1609.25,28,Saturday,0,Sunny
2024-08-18,193,7.70,1486.10,23,Sunday,0,Sunny
2024-08-19,120,6.62,794.40,7,Monday,0,Cloudy
2024-08-20,116,6.48,751.68,5,Tuesday,0,Rainy
2024-08-21,123,6.80,836.40,8,Wednesday,0,Rainy
2024-08-22,131,6.95,910.45,10,Thursday,0,Cloudy
2024-08-23,148,7.15,1058.20,14,Friday,0,Sunny
2024-08-24,206,7.88,1623.28,29,Saturday,0,Sunny
2024-08-25,195,7.72,1505.40,24,Sunday,0,Sunny
2024-08-26,121,6.65,804.65,7,Monday,0,Cloudy
2024-08-27,117,6.50,760.50,6,Tuesday,0,Rainy
2024-08-28,124,6.82,845.68,9,Wednesday,0,Rainy
2024-08-29,132,6.98,921.36,10,Thursday,0,Cloudy
2024-08-30,149,7.18,1069.82,14,Friday,0,Sunny
2024-08-31,208,7.90,1643.20,29,Saturday,0,Sunny
2024-09-01,196,7.75,1519.00,24,Sunday,0,Cloudy
2024-09-02,170,7.30,1241.00,17,Monday,1,Sunny
2024-09-03,118,6.52,769.36,6,Tuesday,0,Rainy
2024-09-04,125,6.85,856.25,9,Wednesday,0,Rainy
2024-09-05,133,7.00,931.00,10,Thursday,0,Cloudy
2024-09-06,150,7.20,1080.00,14,Friday,0,Sunny
2024-09-07,198,7.78,1540.44,25,Saturday,0,Sunny
2024-09-08,186,7.62,1417.32,22,Sunday,0,Sunny
2024-09-09,122,6.68,814.96,7,Monday,0,Cloudy
2024-09-10,118,6.55,772.90,6,Tuesday,0,Rainy
2024-09-11,125,6.88,860.00,9,Wednesday,0,Rainy
2024-09-12,133,7.02,933.66,10,Thursday,0,Cloudy
2024-09-13,150,7.22,1083.00,14,Friday,0,Sunny
2024-09-14,195,7.75,1511.25,25,Saturday,0,Sunny
2024-09-15,183,7.58,1387.14,21,Sunday,0,Cloudy
2024-09-16,120,6.62,794.40,7,Monday,0,Rainy
2024-09-17,116,6.48,751.68,5,Tuesday,0,Rainy
2024-09-18,123,6.82,838.86,8,Wednesday,0,Cloudy
2024-09-19,131,6.98,914.38,10,Thursday,0,Sunny
2024-09-20,148,7.18,1062.64,14,Friday,0,Sunny
2024-09-21,192,7.72,1482.24,24,Saturday,0,Sunny
2024-09-22,180,7.55,1359.00,21,Sunday,0,Sunny
2024-09-23,118,6.58,776.44,6,Monday,0,Cloudy
2024-09-24,114,6.42,731.88,5,Tuesday,0,Rainy
2024-09-25,121,6.78,820.38,8,Wednesday,0,Rainy
2024-09-26,129,6.95,896.55,10,Thursday,0,Cloudy
2024-09-27,146,7.15,1043.90,13,Friday,0,Sunny
2024-09-28,190,7.70,1463.00,24,Saturday,0,Sunny
2024-09-29,178,7.52,1338.56,20,Sunday,0,Cloudy
2024-09-30,116,6.55,759.80,6,Monday,0,Rainy
2024-10-01,112,6.40,716.80,5,Tuesday,0,Rainy
2024-10-02,119,6.75,803.25,8,Wednesday,0,Cloudy
2024-10-03,127,6.92,878.84,9,Thursday,0,Sunny
2024-10-04,144,7.12,1025.28,13,Friday,0,Sunny
2024-10-05,188,7.68,1443.84,24,Saturday,0,Sunny
2024-10-06,176,7.50,1320.00,20,Sunday,0,Sunny
2024-10-07,114,6.52,743.28,6,Monday,0,Cloudy
2024-10-08,110,6.38,701.80,5,Tuesday,0,Rainy
2024-10-09,117,6.72,786.24,7,Wednesday,0,Rainy
2024-10-10,125,6.90,862.50,9,Thursday,0,Cloudy
2024-10-11,142,7.10,1008.20,13,Friday,0,Sunny
2024-10-12,186,7.65,1422.90,23,Saturday,0,Sunny
2024-10-13,174,7.48,1301.52,19,Sunday,0,Cloudy
2024-10-14,112,6.50,728.00,5,Monday,0,Rainy
2024-10-15,108,6.35,685.80,5,Tuesday,0,Rainy
2024-10-16,115,6.70,770.50,7,Wednesday,0,Cloudy
2024-10-17,123,6.88,846.24,9,Thursday,0,Sunny
2024-10-18,140,7.08,991.20,12,Friday,0,Sunny
2024-10-19,184,7.62,1402.08,23,Saturday,0,Sunny
2024-10-20,172,7.45,1281.40,19,Sunday,0,Sunny
2024-10-21,110,6.48,712.80,5,Monday,0,Cloudy
2024-10-22,106,6.32,669.92,4,Tuesday,0,Rainy
2024-10-23,113,6.68,754.84,6,Wednesday,0,Rainy
2024-10-24,121,6.85,828.85,8,Thursday,0,Cloudy
2024-10-25,138,7.05,972.90,12,Friday,0,Sunny
2024-10-26,182,7.60,1383.20,22,Saturday,0,Sunny
2024-10-27,170,7.42,1261.40,18,Sunday,0,Cloudy
2024-10-28,108,6.45,696.60,5,Monday,0,Rainy
2024-10-29,104,6.30,655.20,4,Tuesday,0,Rainy
2024-10-30,111,6.65,738.15,6,Wednesday,0,Cloudy
2024-10-31,175,7.50,1312.50,18,Thursday,1,Sunny
2024-11-01,136,7.02,954.72,11,Friday,0,Sunny
2024-11-02,180,7.58,1364.40,22,Saturday,0,Sunny
2024-11-03,168,7.40,1243.20,18,Sunday,0,Cloudy
2024-11-04,106,6.42,680.52,5,Monday,0,Rainy
2024-11-05,102,6.28,640.56,4,Tuesday,0,Rainy
2024-11-06,109,6.62,721.58,6,Wednesday,0,Cloudy
2024-11-07,117,6.82,797.94,7,Thursday,0,Sunny
2024-11-08,134,7.00,938.00,11,Friday,0,Sunny
2024-11-09,178,7.55,1343.90,21,Saturday,0,Sunny
2024-11-10,166,7.38,1225.08,17,Sunday,0,Sunny
2024-11-11,170,7.35,1249.50,17,Monday,1,Cloudy
2024-11-12,103,6.25,643.75,4,Tuesday,0,Rainy
2024-11-13,110,6.60,726.00,6,Wednesday,0,Rainy
2024-11-14,118,6.80,802.40,7,Thursday,0,Cloudy
2024-11-15,135,6.98,942.30,11,Friday,0,Sunny
2024-11-16,176,7.52,1323.52,21,Saturday,0,Sunny
2024-11-17,164,7.35,1205.40,17,Sunday,0,Cloudy
2024-11-18,104,6.40,665.60,4,Monday,0,Rainy
2024-11-19,100,6.25,625.00,4,Tuesday,0,Rainy
2024-11-20,107,6.58,704.06,5,Wednesday,0,Cloudy
2024-11-21,115,6.78,779.70,7,Thursday,0,Sunny
2024-11-22,132,6.95,917.40,10,Friday,0,Sunny
2024-11-23,174,7.50,1305.00,20,Saturday,0,Sunny
2024-11-24,162,7.32,1185.84,16,Sunday,0,Sunny
2024-11-25,102,6.38,650.76,4,Monday,0,Cloudy
2024-11-26,98,6.22,609.56,4,Tuesday,0,Rainy
2024-11-27,105,6.55,687.75,5,Wednesday,0,Rainy
2024-11-28,190,7.80,1482.00,22,Thursday,1,Cloudy
2024-11-29,165,7.50,1237.50,17,Friday,0,Sunny
2024-11-30,185,7.58,1402.30,23,Saturday,0,Sunny
2024-12-01,173,7.42,1283.66,19,Sunday,0,Sunny
2024-12-02,103,6.40,659.20,4,Monday,0,Cloudy
2024-12-03,99,6.25,618.75,4,Tuesday,0,Rainy
2024-12-04,106,6.58,697.48,5,Wednesday,0,Rainy
2024-12-05,114,6.78,772.92,7,Thursday,0,Cloudy
2024-12-06,131,6.95,910.45,10,Friday,0,Sunny
2024-12-07,173,7.48,1294.04,20,Saturday,0,Sunny
2024-12-08,161,7.32,1178.52,16,Sunday,0,Cloudy
2024-12-09,101,6.38,644.38,4,Monday,0,Rainy
2024-12-10,97,6.22,603.34,4,Tuesday,0,Rainy
2024-12-11,104,6.55,681.20,5,Wednesday,0,Cloudy
2024-12-12,112,6.75,756.00,6,Thursday,0,Sunny
2024-12-13,129,6.92,892.68,10,Friday,0,Sunny
2024-12-14,171,7.45,1273.95,19,Saturday,0,Sunny
2024-12-15,159,7.30,1160.70,16,Sunday,0,Sunny
2024-12-16,99,6.35,628.65,4,Monday,0,Cloudy
2024-12-17,95,6.20,589.00,3,Tuesday,0,Rainy
2024-12-18,102,6.52,665.04,5,Wednesday,0,Rainy
2024-12-19,110,6.72,739.20,6,Thursday,0,Cloudy
2024-12-20,127,6.90,876.30,9,Friday,0,Sunny
2024-12-21,169,7.42,1253.98,19,Saturday,0,Sunny
2024-12-22,157,7.28,1142.96,15,Sunday,0,Cloudy
2024-12-23,168,7.50,1260.00,17,Monday,1,Sunny
2024-12-24,195,7.85,1530.75,24,Tuesday,1,Sunny
2024-12-25,210,8.20,1722.00,28,Wednesday,1,Sunny
2024-12-26,145,7.10,1029.50,12,Thursday,0,Cloudy
2024-12-27,140,6.98,977.20,11,Friday,0,Sunny
2024-12-28,182,7.55,1374.10,22,Saturday,0,Sunny
2024-12-29,170,7.38,1254.60,18,Sunday,0,Sunny
2024-12-30,155,7.20,1116.00,15,Monday,1,Cloudy
2024-12-31,200,8.00,1600.00,26,Tuesday,1,Sunny
