employee_id,department,role,monthly_income,years_at_company,job_satisfaction,overtime,attrition_risk,performance_rating,education
31,Legal,IP Attorney,6959,5,4,Sí,Medio,4,Maestría
32,Soporte,Técnico de Soporte,4278,16,2,Sí,Alto,4,Secundaria
33,RRHH,Recruiter,6350,8,3,No,Bajo,4,Maestría
34,Operations,Analista de Operaciones,5377,19,5,No,Bajo,3,Licenciatura
35,Soporte,Desktop Support,2756,5,5,No,Medio,1,Licenciatura
36,Operations,Analista de Operaciones,3232,7,2,No,Alto,3,Secundaria
37,Ventas,Inside Sales Rep,4365,6,4,No,Bajo,5,Licenciatura
38,Legal,Abogado Corporativo,9220,18,5,No,Bajo,2,Maestría
39,RRHH,Director de RRHH,3667,4,4,Sí,Medio,3,Licenciatura
40,Finanzas,Cost Accountant,4486,2,4,Sí,Medio,4,Licenciatura
41,Ingeniería,Desarrollador Junior,4800,5,4,No,Bajo,4,Licenciatura
42,Ventas,Account Executive,7750,5,5,Sí,Medio,4,Doctorado
43,RRHH,Compensation Analyst,4753,10,5,No,Bajo,5,Licenciatura
44,Marketing,CMO,3524,4,4,No,Bajo,5,Licenciatura
45,TI,Data Engineer,10213,8,5,Sí,Medio,1,Doctorado
46,Soporte,Quality Assurance,5188,8,2,No,Medio,4,Maestría
47,TI,Administrador de Sistemas,9807,8,3,Sí,Medio,4,Doctorado
48,Marketing,SEO Specialist,3016,7,3,No,Medio,5,Secundaria
49,Finanzas,Treasury Analyst,7783,13,5,No,Bajo,3,Maestría
50,Finanzas,Contador Senior,5412,14,4,No,Bajo,3,Licenciatura
51,Operations,Distribution Manager,4932,19,1,Sí,Alto,5,Licenciatura
52,Legal,IP Attorney,8034,7,3,No,Bajo,5,Maestría
53,Soporte,Service Desk Analyst,4316,4,3,No,Bajo,4,Maestría
54,Legal,Paralegal,6061,13,4,Sí,Medio,3,Licenciatura
55,Legal,Abogado Corporativo,5385,7,3,No,Bajo,3,Licenciatura
56,Marketing,Content Strategist,3648,6,3,Sí,Medio,4,Licenciatura
57,Operations,Supply Chain Analyst,3938,8,1,No,Medio,3,Licenciatura
58,Investigación,Lab Manager,8558,3,3,No,Bajo,4,Doctorado
59,Marketing,Product Marketing Manager,4236,8,4,Sí,Medio,4,Licenciatura
60,Ventas,Account Manager,5259,17,2,No,Medio,3,Licenciatura
61,Ventas,Business Development,5676,15,4,No,Bajo,4,Licenciatura
62,Legal,Compliance Officer,11000,18,5,No,Bajo,4,Doctorado
63,Investigación,Laboratory Technician,5157,8,4,No,Bajo,3,Licenciatura
64,Ventas,Sales Operations Analyst,4083,9,3,No,Bajo,4,Licenciatura
65,RRHH,Training Manager,4106,5,4,Sí,Medio,3,Licenciatura
66,Marketing,Product Marketing Manager,5506,19,5,Sí,Medio,4,Licenciatura
67,TI,IT Manager,4582,12,5,No,Bajo,3,Secundaria
68,Legal,Senior Counsel,11000,16,3,Sí,Medio,4,Doctorado
69,TI,Cloud Architect,8703,13,5,Sí,Medio,4,Maestría
70,TI,Administrador de Sistemas,5396,14,5,Sí,Medio,3,Licenciatura
71,Finanzas,Controller,5260,15,3,No,Bajo,5,Licenciatura
72,TI,Database Administrator,11000,16,4,Sí,Medio,2,Doctorado
73,Soporte,Desktop Support,4695,2,1,Sí,Alto,3,Maestría
74,RRHH,Employee Relations Manager,7395,19,3,Sí,Medio,3,Maestría
75,Soporte,Help Desk Analyst,4900,4,1,Sí,Alto,3,Maestría
76,TI,Security Analyst,9406,7,4,Sí,Medio,4,Doctorado
77,Marketing,Content Manager,6481,10,1,Sí,Alto,4,Maestría
78,Soporte,Líder de Soporte,3585,11,5,Sí,Medio,4,Licenciatura
79,Ventas,Account Manager,3031,15,5,Sí,Medio,3,Sin título formal
80,Legal,Compliance Officer,7061,19,3,No,Bajo,3,Licenciatura
81,Ventas,Sales Manager,7657,8,3,No,Bajo,4,Doctorado
82,Soporte,Help Desk Analyst,3857,12,3,No,Bajo,5,Licenciatura
83,Finanzas,Cost Accountant,3743,7,4,Sí,Medio,3,Secundaria
84,Investigación,Laboratory Technician,4560,1,3,Sí,Medio,3,Licenciatura
85,Marketing,Brand Manager,6404,12,5,No,Bajo,4,Maestría
86,Soporte,Technical Writer,3687,9,2,Sí,Alto,3,Licenciatura
87,Ventas,Sales Operations Analyst,5972,6,4,Sí,Medio,5,Maestría
88,Legal,Senior Counsel,5238,4,3,Sí,Medio,3,Licenciatura
89,Finanzas,Contador Senior,6421,5,3,No,Bajo,5,Maestría
90,Investigación,Científico de Datos,11000,19,3,No,Bajo,3,Doctorado
91,RRHH,Analista de RRHH,5054,16,2,Sí,Alto,4,Licenciatura
92,Ingeniería,DevOps Engineer,6046,19,2,No,Medio,3,Licenciatura
93,Legal,Compliance Officer,10047,20,5,Sí,Medio,3,Maestría
94,Operations,Inventory Manager,4750,20,4,Sí,Medio,4,Licenciatura
95,Marketing,CMO,3763,3,2,Sí,Alto,3,Licenciatura
96,Operations,Operations Manager,4285,8,4,No,Bajo,4,Licenciatura
97,Investigación,Científico de Datos,7158,9,4,Sí,Medio,5,Maestría
98,RRHH,Recruiter,3629,10,3,No,Bajo,3,Secundaria
99,Finanzas,Controller,10422,17,5,No,Bajo,4,Doctorado
100,Operations,Procurement Specialist,3279,8,5,Sí,Medio,4,Secundaria
101,Finanzas,Revenue Analyst,3313,6,3,No,Medio,5,Secundaria
102,TI,IT Manager,4224,16,3,No,Bajo,3,Sin título formal
103,Ventas,Sales Representative,5022,16,4,No,Bajo,2,Licenciatura
104,Ventas,Regional Sales Director,3661,4,5,No,Bajo,4,Licenciatura
105,Ingeniería,Data Scientist,11000,15,4,No,Bajo,4,Doctorado
106,Investigación,Científico de Datos,6481,18,5,Sí,Medio,3,Licenciatura
107,Investigación,Científico de Datos,5222,20,1,Sí,Alto,3,Secundaria
108,Marketing,Content Manager,3591,4,4,Sí,Medio,4,Licenciatura
109,Legal,IP Attorney,6490,16,3,No,Bajo,5,Licenciatura
110,Legal,IP Attorney,9236,3,4,No,Bajo,4,Doctorado
111,Soporte,Escalation Engineer,2979,1,4,No,Medio,4,Licenciatura
112,RRHH,Employee Relations Manager,5895,12,4,No,Bajo,4,Maestría
113,Investigación,Bioinformático,9564,8,1,No,Medio,4,Doctorado
114,TI,Security Analyst,3828,5,5,No,Bajo,2,Sin título formal
115,Operations,Supply Chain Analyst,8155,15,4,Sí,Medio,3,Doctorado
116,RRHH,Recruiter,4169,9,4,No,Bajo,3,Licenciatura
117,Ventas,Regional Sales Director,10414,18,5,No,Bajo,4,Doctorado
118,Legal,Abogado Corporativo,7630,8,5,No,Bajo,4,Maestría
119,TI,Arquitecto de Software,6847,4,1,No,Medio,3,Maestría
120,Ingeniería,QA Engineer,5934,14,3,Sí,Medio,3,Licenciatura
121,RRHH,Training Manager,5157,20,5,No,Bajo,3,Licenciatura
122,Investigación,Bioinformático,4102,1,5,No,Medio,4,Licenciatura
123,RRHH,Recruiter,4319,12,3,No,Bajo,4,Licenciatura
124,Marketing,Product Marketing Manager,6893,4,3,Sí,Medio,3,Doctorado
125,Finanzas,Budget Analyst,4881,13,4,No,Bajo,5,Secundaria
126,Operations,Operations Manager,7636,10,4,Sí,Medio,3,Doctorado
127,Marketing,Market Research Analyst,4300,5,3,Sí,Medio,3,Licenciatura
128,Operations,Supply Chain Analyst,4658,3,3,No,Bajo,3,Maestría
129,Marketing,Gerente de Marketing,6776,12,5,No,Bajo,4,Maestría
130,Finanzas,Treasury Analyst,7773,15,2,Sí,Alto,5,Maestría
131,TI,ERP Analyst,5824,13,3,Sí,Medio,4,Licenciatura
132,Finanzas,Revenue Analyst,5389,12,4,Sí,Medio,3,Licenciatura
133,Operations,Distribution Manager,4784,20,3,Sí,Medio,4,Licenciatura
134,TI,Arquitecto de Software,4111,2,5,No,Medio,2,Licenciatura
135,Marketing,Content Strategist,4737,15,5,No,Bajo,3,Licenciatura
136,RRHH,Compensation Analyst,6596,16,5,No,Bajo,3,Maestría
137,Soporte,Desktop Support,4059,8,4,No,Bajo,5,Licenciatura
138,Soporte,Técnico de Soporte,3867,7,5,Sí,Medio,4,Licenciatura
139,Ventas,Technical Pre-Sales,5857,20,5,Sí,Medio,4,Licenciatura
140,Marketing,Content Manager,7630,18,4,Sí,Medio,4,Maestría
141,Marketing,Marketing Analyst,7693,20,5,Sí,Medio,4,Maestría
142,RRHH,Recruiter,5743,1,1,Sí,Alto,4,Maestría
143,Marketing,Market Research Analyst,4515,6,4,No,Bajo,4,Licenciatura
144,Investigación,Laboratory Technician,9069,17,3,Sí,Medio,3,Maestría
145,Operations,Supervisor de Operaciones,6048,17,2,No,Medio,3,Maestría
146,TI,Security Analyst,9082,16,2,No,Medio,2,Maestría
147,Operations,Logistics Coordinator,2904,9,3,No,Medio,4,Secundaria
148,TI,Arquitecto de Software,6995,4,3,Sí,Medio,5,Maestría
149,TI,Cloud Architect,8307,13,3,No,Bajo,3,Maestría
150,RRHH,Learning & Development Specialist,6473,3,5,Sí,Medio,2,Doctorado
151,Ventas,Sales Operations Analyst,5420,5,3,Sí,Medio,2,Maestría
152,Soporte,Quality Assurance,5657,2,4,No,Medio,3,Doctorado
153,Operations,Distribution Manager,4822,16,4,Sí,Medio,2,Licenciatura
154,Finanzas,Revenue Analyst,5239,14,4,Sí,Medio,4,Licenciatura
155,Finanzas,Contador Senior,4892,10,2,No,Medio,4,Licenciatura
156,Ventas,Sales Representative,5303,1,4,Sí,Medio,3,Maestría
157,TI,IT Manager,5620,12,4,No,Bajo,2,Licenciatura
158,Ingeniería,DevOps Engineer,5929,20,4,Sí,Medio,3,Licenciatura
159,TI,IT Manager,8597,14,3,No,Bajo,2,Maestría
160,Operations,Operations Manager,4446,10,3,Sí,Medio,5,Licenciatura
161,Ingeniería,Desarrollador Junior,4892,7,2,Sí,Alto,4,Licenciatura
162,TI,Data Engineer,6221,18,4,Sí,Medio,4,Licenciatura
163,Soporte,Líder de Soporte,3825,2,5,No,Medio,4,Licenciatura
164,Operations,Inventory Manager,6469,14,2,No,Medio,1,Maestría
165,Soporte,Help Desk Analyst,7132,20,2,No,Medio,4,Maestría
166,Marketing,Product Marketing Manager,6813,17,3,Sí,Medio,3,Maestría
167,Soporte,Desktop Support,3363,6,4,Sí,Medio,5,Licenciatura
168,Soporte,Service Desk Analyst,4878,5,2,Sí,Alto,3,Maestría
169,RRHH,Talent Acquisition Lead,4027,3,3,Sí,Medio,4,Licenciatura
170,Operations,Operations Manager,6938,19,5,No,Bajo,4,Maestría
171,RRHH,Employee Relations Manager,3972,15,3,No,Bajo,2,Secundaria
172,Investigación,Laboratory Technician,4109,12,2,No,Medio,5,Secundaria
173,Ventas,Enterprise Sales Rep,6298,13,4,No,Bajo,2,Maestría
174,Operations,Warehouse Supervisor,4302,16,5,Sí,Medio,3,Licenciatura
175,Soporte,Líder de Soporte,3515,6,3,Sí,Medio,4,Licenciatura
176,RRHH,HR Analyst,4644,10,3,No,Bajo,3,Licenciatura
177,Operations,Supervisor de Operaciones,5801,11,3,Sí,Medio,3,Maestría
178,Operations,Logistics Coordinator,5282,19,5,Sí,Medio,3,Licenciatura
179,TI,Data Engineer,6138,3,3,No,Bajo,2,Maestría
180,Legal,Abogado Corporativo,8719,14,1,No,Medio,3,Maestría
181,Marketing,Marketing Analyst,9452,16,2,Sí,Alto,4,Doctorado
182,Ventas,Channel Sales Manager,7711,17,4,Sí,Medio,5,Maestría
183,Operations,Logistics Coordinator,5369,5,4,Sí,Medio,5,Maestría
184,Investigación,Científico de Datos,5539,8,4,No,Bajo,4,Licenciatura
185,Investigación,Research Analyst,7832,10,4,No,Bajo,4,Maestría
186,Investigación,Laboratory Technician,8089,13,5,No,Bajo,4,Maestría
187,Operations,Logistics Coordinator,6469,2,2,No,Alto,4,Doctorado
188,Ventas,Sales Manager,3859,6,3,No,Bajo,4,Licenciatura
189,TI,Arquitecto de Software,10191,8,3,No,Bajo,3,Doctorado
190,Soporte,Desktop Support,2783,3,3,No,Medio,3,Licenciatura
191,Ventas,Sales Operations Analyst,6401,5,4,Sí,Medio,4,Maestría
192,Investigación,Laboratory Technician,6591,3,3,Sí,Medio,4,Maestría
193,Legal,IP Attorney,8911,14,2,Sí,Alto,3,Maestría
194,Operations,Operations Manager,3512,16,4,Sí,Medio,4,Secundaria
195,RRHH,Director de RRHH,5338,20,4,No,Bajo,2,Licenciatura
196,Soporte,Líder de Soporte,3452,18,3,Sí,Medio,3,Sin título formal
197,TI,Cloud Architect,4392,1,4,No,Medio,4,Licenciatura
198,Operations,Supply Chain Analyst,4016,12,4,No,Bajo,3,Licenciatura
199,Investigación,Laboratory Technician,6633,5,1,Sí,Alto,3,Maestría
200,Marketing,Especialista Digital,3756,10,5,No,Bajo,4,Licenciatura
201,Finanzas,Contador Senior,6330,7,5,No,Bajo,3,Maestría
202,Ventas,Regional Sales Director,5274,13,5,No,Bajo,3,Licenciatura
203,RRHH,Employee Relations Manager,6613,12,2,No,Medio,4,Maestría
204,RRHH,Workforce Planning Analyst,3265,4,3,Sí,Medio,3,Licenciatura
205,Investigación,Lab Manager,6909,6,5,No,Bajo,3,Maestría
206,TI,Database Administrator,6431,2,4,Sí,Medio,3,Maestría
207,Legal,IP Attorney,6700,1,3,Sí,Medio,2,Maestría
208,Marketing,CMO,4400,13,4,Sí,Medio,4,Licenciatura
209,Soporte,Service Desk Analyst,2946,3,4,Sí,Medio,3,Licenciatura
210,Ventas,Ejecutivo de Ventas,7344,16,5,No,Bajo,2,Maestría
211,Finanzas,Internal Auditor,5784,20,3,No,Bajo,3,Licenciatura
212,Ventas,Business Development,4052,15,4,Sí,Medio,5,Licenciatura
213,Soporte,Service Desk Analyst,6999,18,4,No,Bajo,5,Maestría
214,RRHH,HR Analyst,3354,4,4,Sí,Medio,3,Licenciatura
215,Investigación,Científico de Datos,5646,19,2,No,Medio,5,Licenciatura
216,Ventas,Sales Manager,5354,16,4,No,Bajo,4,Licenciatura
217,Ventas,Sales Representative,2262,3,2,No,Alto,4,Sin título formal
218,Legal,IP Attorney,7265,5,4,No,Bajo,5,Maestría
219,Ventas,Channel Sales Manager,3922,6,3,Sí,Medio,5,Licenciatura
220,Finanzas,Analista Financiero,6352,18,2,No,Medio,3,Licenciatura
221,Legal,Abogado Corporativo,5362,6,5,Sí,Medio,3,Licenciatura
222,Operations,Supervisor de Operaciones,5004,1,1,Sí,Alto,4,Maestría
223,Operations,Procurement Specialist,7010,19,5,No,Bajo,4,Maestría
224,Finanzas,Internal Auditor,5301,13,3,No,Bajo,4,Licenciatura
225,RRHH,Employee Relations Manager,4732,15,5,Sí,Medio,3,Licenciatura
226,Soporte,Quality Assurance,4187,12,3,Sí,Medio,3,Licenciatura
227,Finanzas,Internal Auditor,4238,4,4,Sí,Medio,3,Licenciatura
228,RRHH,HR Analyst,8499,11,4,Sí,Medio,4,Doctorado
229,Legal,Compliance Officer,6403,10,4,No,Bajo,5,Licenciatura
230,Marketing,Market Research Analyst,3741,2,4,No,Medio,5,Licenciatura
231,Investigación,Bioinformático,6765,4,3,No,Bajo,3,Maestría
232,Ingeniería,Frontend Developer,5134,18,3,Sí,Medio,3,Secundaria
233,TI,ERP Analyst,6659,18,4,No,Bajo,2,Licenciatura
234,Ventas,Account Manager,4282,11,4,No,Bajo,3,Licenciatura
235,Legal,Compliance Officer,4813,2,4,Sí,Medio,3,Licenciatura
236,Operations,Distribution Manager,5245,20,2,No,Medio,5,Licenciatura
237,Finanzas,Revenue Analyst,5749,17,4,No,Bajo,3,Licenciatura
238,Ventas,Account Manager,4905,1,3,No,Medio,4,Maestría
239,Operations,Warehouse Supervisor,7267,19,4,No,Bajo,4,Maestría
240,RRHH,Learning & Development Specialist,5591,19,3,Sí,Medio,3,Licenciatura
241,TI,Data Engineer,4670,7,4,No,Bajo,4,Licenciatura
242,Ingeniería,Platform Engineer,4866,7,5,No,Bajo,3,Licenciatura
243,TI,Cloud Architect,3745,15,5,No,Bajo,4,Sin título formal
244,Finanzas,Revenue Analyst,4645,8,4,No,Bajo,3,Licenciatura
245,Finanzas,Budget Analyst,7758,16,5,No,Bajo,4,Maestría
246,Finanzas,Analista Financiero,8519,18,5,No,Bajo,3,Maestría
247,Soporte,Help Desk Analyst,3683,10,3,Sí,Medio,3,Licenciatura
248,Marketing,Content Strategist,5549,18,2,No,Medio,4,Licenciatura
249,Operations,Warehouse Supervisor,4693,17,3,Sí,Medio,4,Licenciatura
250,Ventas,Technical Pre-Sales,5075,1,3,Sí,Medio,5,Maestría
251,Investigación,Laboratory Technician,7647,10,4,No,Bajo,4,Maestría
252,Marketing,Content Strategist,5296,2,3,Sí,Medio,4,Maestría
253,Ingeniería,Frontend Developer,6814,6,4,No,Bajo,2,Maestría
254,Soporte,Systems Administrator,4553,18,5,No,Bajo,3,Licenciatura
255,Legal,Compliance Officer,5074,4,3,No,Bajo,3,Licenciatura
256,Soporte,Systems Administrator,5426,7,4,Sí,Medio,4,Maestría
257,TI,Security Analyst,4485,3,2,No,Medio,3,Licenciatura
258,Marketing,Especialista Digital,4086,8,4,No,Bajo,5,Licenciatura
259,Finanzas,Revenue Analyst,5403,1,2,No,Alto,2,Maestría
260,Finanzas,CFO Adjunto,5434,17,4,No,Bajo,4,Licenciatura
261,Finanzas,Treasury Analyst,6493,8,5,Sí,Medio,3,Maestría
262,Legal,Compliance Officer,7608,7,4,Sí,Medio,4,Maestría
263,Ventas,Channel Sales Manager,4887,12,5,Sí,Medio,5,Licenciatura
264,Marketing,Market Research Analyst,5709,6,5,No,Bajo,3,Maestría
265,Marketing,Market Research Analyst,5298,17,4,No,Bajo,3,Licenciatura
266,Ingeniería,Machine Learning Engineer,4925,10,3,Sí,Medio,4,Licenciatura
267,Marketing,Market Research Analyst,3782,14,2,No,Medio,5,Secundaria
268,Investigación,Científico de Datos,4517,6,4,Sí,Medio,5,Licenciatura
269,TI,Cloud Architect,4449,13,3,No,Bajo,4,Sin título formal
270,Legal,Paralegal,8023,12,3,Sí,Medio,4,Maestría
271,Legal,Paralegal,7782,8,3,Sí,Medio,4,Maestría
272,TI,ERP Analyst,4377,8,3,Sí,Medio,3,Licenciatura
273,Marketing,Content Manager,3903,14,4,Sí,Medio,3,Secundaria
274,Ingeniería,Full Stack Developer,8104,13,3,No,Bajo,3,Maestría
275,Ingeniería,DevOps Engineer,5428,10,3,Sí,Medio,4,Licenciatura
276,Soporte,Desktop Support,2976,5,3,Sí,Medio,3,Licenciatura
277,Legal,Senior Counsel,9500,6,3,No,Bajo,4,Doctorado
278,TI,ERP Analyst,5932,14,2,No,Medio,3,Licenciatura
279,Legal,Compliance Officer,5530,8,3,No,Bajo,2,Licenciatura
280,TI,Security Analyst,6769,5,3,No,Bajo,3,Maestría
281,Ventas,Business Development,7362,3,4,Sí,Medio,2,Doctorado
282,Ventas,Inside Sales Rep,7943,19,4,Sí,Medio,5,Maestría
283,Soporte,Systems Administrator,2810,1,2,Sí,Alto,5,Sin título formal
284,Investigación,Research Analyst,6844,7,5,No,Bajo,4,Maestría
285,Finanzas,Controller,5210,12,4,No,Bajo,2,Licenciatura
286,Investigación,Bioinformático,10790,12,3,No,Bajo,4,Doctorado
287,Marketing,Gerente de Marketing,4170,18,3,No,Bajo,4,Secundaria
288,Marketing,Social Media Manager,6707,11,4,No,Bajo,4,Maestría
289,Investigación,Laboratory Technician,5857,12,3,Sí,Medio,5,Licenciatura
290,Ingeniería,Machine Learning Engineer,3800,3,4,Sí,Medio,3,Secundaria
291,Marketing,Content Manager,4757,1,4,Sí,Medio,4,Maestría
292,Operations,Operations Manager,4625,1,4,Sí,Medio,3,Maestría
293,Ingeniería,Machine Learning Engineer,9401,18,4,No,Bajo,4,Maestría
294,RRHH,Recruiter,9383,17,3,Sí,Medio,4,Doctorado
295,Finanzas,Treasury Analyst,5138,13,4,Sí,Medio,5,Licenciatura
296,Marketing,Brand Manager,5560,3,2,Sí,Alto,3,Maestría
297,Legal,Compliance Officer,4108,1,4,Sí,Medio,3,Secundaria
298,Ventas,Channel Sales Manager,8348,8,5,Sí,Medio,4,Doctorado
299,Operations,Operations Manager,3745,3,1,No,Medio,5,Licenciatura
300,Soporte,Técnico de Soporte,2974,19,4,Sí,Medio,4,Sin título formal
301,TI,Arquitecto de Software,6061,19,4,Sí,Medio,4,Licenciatura
302,TI,Data Engineer,6302,3,2,No,Medio,3,Maestría
303,Ventas,Regional Sales Director,8262,20,4,No,Bajo,4,Maestría
304,Investigación,Laboratory Technician,6308,18,3,No,Bajo,4,Licenciatura
305,TI,Arquitecto de Software,7771,10,2,Sí,Alto,4,Maestría
306,RRHH,Compensation Analyst,3603,4,1,Sí,Alto,3,Licenciatura
307,Soporte,Systems Administrator,2895,3,4,Sí,Medio,2,Licenciatura
308,Ventas,Regional Sales Director,8161,20,5,No,Bajo,1,Maestría
309,TI,Security Analyst,9075,18,3,Sí,Medio,3,Maestría
310,Finanzas,Budget Analyst,4117,3,3,Sí,Medio,3,Licenciatura
311,Investigación,Científico de Datos,4957,8,2,No,Medio,3,Licenciatura
312,TI,Cloud Architect,10732,13,3,No,Bajo,3,Doctorado
313,Operations,Logistics Coordinator,4854,20,3,Sí,Medio,3,Licenciatura
314,Investigación,Lab Manager,7872,11,3,No,Bajo,4,Maestría
315,Soporte,Líder de Soporte,6528,7,5,Sí,Medio,3,Doctorado
316,Marketing,Social Media Manager,4996,3,4,No,Bajo,3,Maestría
317,Finanzas,Financial Analyst,4456,5,5,No,Bajo,3,Licenciatura
318,TI,ERP Analyst,5850,14,4,Sí,Medio,3,Licenciatura
319,Legal,Senior Counsel,6865,3,3,Sí,Medio,4,Maestría
320,Ingeniería,SRE Engineer,3400,13,5,No,Medio,3,Sin título formal
321,Ingeniería,Desarrollador Senior,5796,17,4,Sí,Medio,4,Licenciatura
322,Legal,Paralegal,4606,1,2,No,Alto,3,Licenciatura
323,Ventas,Account Executive,7350,5,3,No,Bajo,4,Doctorado
324,Investigación,Científico de Datos,6295,15,2,No,Medio,2,Licenciatura
325,Ventas,Ejecutivo de Ventas,7726,4,4,Sí,Medio,4,Doctorado
326,Soporte,Escalation Engineer,4104,15,4,Sí,Medio,4,Licenciatura
327,RRHH,Learning & Development Specialist,6553,13,3,Sí,Medio,3,Maestría
328,Ingeniería,Platform Engineer,4492,9,4,Sí,Medio,4,Licenciatura
329,Legal,Paralegal,5631,7,4,No,Bajo,5,Licenciatura
330,Soporte,Quality Assurance,6966,19,3,Sí,Medio,4,Maestría
331,Operations,Logistics Coordinator,5728,10,3,Sí,Medio,2,Maestría
332,Soporte,Help Desk Analyst,3995,14,4,Sí,Medio,3,Licenciatura
333,Investigación,Lab Manager,6797,6,3,Sí,Medio,3,Maestría
334,Ingeniería,Backend Developer,4096,16,3,Sí,Medio,3,Sin título formal
335,Legal,Senior Counsel,8380,14,4,No,Bajo,2,Maestría
336,Ingeniería,Full Stack Developer,5402,9,4,Sí,Medio,3,Licenciatura
337,Investigación,Lab Manager,8519,16,4,Sí,Medio,5,Maestría
338,Legal,Abogado Corporativo,8958,15,5,Sí,Medio,2,Maestría
339,Marketing,Brand Manager,6704,2,2,No,Alto,5,Doctorado
340,Ventas,Inside Sales Rep,6090,19,5,No,Bajo,4,Licenciatura
341,TI,Data Engineer,7393,7,4,Sí,Medio,4,Maestría
342,RRHH,HR Analyst,2598,10,4,No,Medio,5,Sin título formal
343,Legal,IP Attorney,8006,5,5,No,Bajo,2,Maestría
344,RRHH,HR Business Partner,3964,11,4,Sí,Medio,4,Licenciatura
345,Investigación,Research Analyst,7409,9,4,No,Bajo,4,Maestría
346,TI,ERP Analyst,8244,12,5,No,Bajo,3,Maestría
347,Ingeniería,Platform Engineer,6151,15,3,No,Bajo,5,Licenciatura
348,Marketing,Social Media Manager,4027,10,4,No,Bajo,3,Licenciatura
349,Investigación,Bioinformático,8556,2,3,Sí,Medio,2,Doctorado
350,RRHH,Employee Relations Manager,5029,14,5,Sí,Medio,5,Licenciatura
351,Finanzas,CFO Adjunto,8952,9,3,Sí,Medio,5,Doctorado
352,RRHH,Analista de RRHH,4134,10,3,Sí,Medio,2,Licenciatura
353,Ventas,Ejecutivo de Ventas,3513,3,3,Sí,Medio,1,Licenciatura
354,Soporte,Líder de Soporte,2695,14,4,Sí,Medio,3,Sin título formal
355,Ventas,Sales Operations Analyst,5430,4,3,No,Bajo,4,Maestría
356,RRHH,Learning & Development Specialist,2809,5,4,Sí,Medio,1,Sin título formal
357,RRHH,Employee Relations Manager,4387,7,3,Sí,Medio,3,Licenciatura
358,Ventas,Sales Representative,7650,19,3,No,Bajo,3,Maestría
359,RRHH,HR Business Partner,3241,3,4,Sí,Medio,4,Licenciatura
360,Ingeniería,Data Scientist,8911,7,4,Sí,Medio,3,Doctorado
361,Ingeniería,Full Stack Developer,4105,4,4,Sí,Medio,5,Licenciatura
362,Soporte,Service Desk Analyst,4672,19,3,No,Bajo,4,Licenciatura
363,Investigación,Científico de Datos,3595,3,2,Sí,Alto,4,Secundaria
364,Legal,Legal Secretary,9523,17,3,No,Bajo,3,Maestría
365,Legal,Senior Counsel,7806,9,3,Sí,Medio,4,Maestría
366,Legal,Legal Secretary,5103,3,4,No,Bajo,4,Licenciatura
367,Marketing,Especialista Digital,4477,14,3,Sí,Medio,4,Licenciatura
368,RRHH,Recruiter,3178,5,2,Sí,Alto,5,Secundaria
369,Legal,Senior Counsel,7591,9,5,Sí,Medio,4,Maestría
