experiment_id,model_type,accuracy,f1_score,training_time,dataset_version,timestamp,hyperparameters,notes
34,RandomForest,0.8934,0.8734,32.12,v1.3,2024-03-02 09:22:04,"{""n_estimators"": 350, ""max_depth"": 20, ""min_samples_split"": 2}","RF con más árboles"
35,LightGBM,0.9067,0.8878,6.23,v1.3,2024-03-02 11:45:15,"{""n_estimators"": 350, ""learning_rate"": 0.03, ""num_leaves"": 63}","Learning rate muy bajo"
36,XGBoost,0.9056,0.8867,13.45,v1.3,2024-03-02 14:12:26,"{""n_estimators"": 350, ""learning_rate"": 0.03, ""max_depth"": 10}","XGBoost con learning rate bajo"
37,Ensemble,0.9089,0.8899,45.67,v1.3,2024-03-03 09:33:37,"{""models"": [""LightGBM"", ""XGBoost"", ""CatBoost""], ""method"": ""voting"", ""weights"": [0.4, 0.3, 0.3]}","Ensemble ponderado"
38,LightGBM,0.9101,0.8912,7.12,v1.3,2024-03-03 11:45:48,"{""n_estimators"": 400, ""learning_rate"": 0.02, ""num_leaves"": 70}","Más árboles, menos learning rate"
39,XGBoost,0.9089,0.8899,15.67,v1.3,2024-03-03 14:22:59,"{""n_estimators"": 400, ""learning_rate"": 0.02, ""max_depth"": 12}","XGBoost profundo"
40,NeuralNetwork,0.8945,0.8745,45.23,v1.3,2024-03-04 09:12:10,"{""hidden_layers"": [128, 64, 32], ""dropout"": 0.3, ""epochs"": 50}","Red neuronal simple"
41,NeuralNetwork,0.8978,0.8778,52.34,v1.3,2024-03-04 11:34:21,"{""hidden_layers"": [256, 128, 64, 32], ""dropout"": 0.2, ""epochs"": 75}","Red más profunda"
42,NeuralNetwork,0.9012,0.8823,38.90,v1.3,2024-03-04 14:45:32,"{""hidden_layers"": [128, 64], ""dropout"": 0.4, ""epochs"": 100, ""batch_size"": 32}","Regularización más agresiva"
43,LightGBM,0.9123,0.8934,8.45,v1.4,2024-03-15 09:22:43,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 80}","Dataset v1.4: outliers removidos"
44,XGBoost,0.9112,0.8923,16.78,v1.4,2024-03-15 11:45:54,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""max_depth"": 12}","XGBoost sin outliers"
45,CatBoost,0.9134,0.8945,18.90,v1.4,2024-03-15 14:12:05,"{""iterations"": 500, ""learning_rate"": 0.01, ""depth"": 12}","CatBoost profundo"
46,RandomForest,0.9034,0.8845,42.34,v1.4,2024-03-16 09:33:16,"{""n_estimators"": 500, ""max_depth"": 25, ""min_samples_split"": 2}","RF máximo"
47,Ensemble,0.9167,0.8978,52.34,v1.4,2024-03-16 11:45:27,"{""models"": [""LightGBM"", ""XGBoost"", ""CatBoost"", ""RandomForest""], ""method"": ""stacking"", ""final_estimator"": ""LogisticRegression""}","Stacking con meta-learner"
48,LightGBM,0.9178,0.8989,9.12,v1.4,2024-03-16 14:22:38,"{""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 90, ""feature_fraction"": 0.9}","Feature fractioning"
49,XGBoost,0.9167,0.8978,18.45,v1.4,2024-03-17 09:12:49,"{""n_estimators"": 600, ""learning_rate"": 0.01, ""max_depth"": 12, ""subsample"": 0.9}","Subsampling"
50,Ensemble,0.9189,0.9001,58.90,v1.4,2024-03-17 11:45:00,"{""models"": [""LightGBM"", ""XGBoost"", ""CatBoost""], ""method"": ""weighted_average"", ""weights"": [0.45, 0.35, 0.20]}","Mejor modelo final - producción"
