delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
DEL-00019,Partner-D,Alimentos,Moto,Express,Sur,Soleado,45.2,13.6,3.6,4.0,No,Completada,4.8,31.5
DEL-00020,Partner-E,Electrónica,Moto,Estándar,Centro,Lluvioso,16.5,14.4,3.5,2.6,Yes,Retrasada,2.1,20.97
DEL-00021,Partner-A,Electrónica,Camión,Express,Norte,Nublado,17.2,5.5,2.6,2.1,Yes,Retrasada,2.1,20.44
DEL-00022,Partner-C,Electrónica,Bicicleta,Express,Sur,Lluvioso,10.0,2.3,1.8,1.4,Yes,Retrasada,2.7,8.37
DEL-00023,Partner-E,Ropa,Bicicleta,Express,Norte,Nublado,32.6,5.7,2.8,2.9,No,Completada,4.6,14.91
DEL-00024,Partner-D,Electrónica,Moto,Express,Sur,Nublado,4.1,7.5,0.8,0.9,No,Completada,4.0,13.93
DEL-00025,Partner-A,Documentos,Urbano,Express,Norte,Lluvioso,58.8,17.7,6.1,5.2,Yes,Retrasada,3.2,46.17
DEL-00026,Partner-B,Ropa,Moto,Express,Centro,Lluvioso,60.5,17.3,7.6,5.5,Yes,Retrasada,2.0,39.86
DEL-00027,Partner-D,Alimentos,Urbano,Estándar,Centro,Lluvioso,61.8,17.5,10.6,8.1,Yes,Retrasada,3.2,37.31
DEL-00028,Partner-C,Documentos,Camión,Estándar,Norte,Soleado,66.0,5.4,8.7,8.8,No,Completada,4.4,36.6
DEL-00029,Partner-C,Ropa,Moto,Estándar,Sur,Lluvioso,4.8,8.8,2.1,1.4,Yes,Retrasada,1.9,6.97
DEL-00030,Partner-C,Documentos,Moto,Estándar,Centro,Nublado,31.5,8.2,4.6,4.5,No,Completada,4.9,18.75
DEL-00031,Partner-B,Documentos,Camión,Express,Centro,Lluvioso,16.9,15.8,2.9,2.0,Yes,Completada,3.0,39.25
DEL-00032,Partner-B,Electrónica,Bicicleta,Estándar,Norte,Soleado,51.0,4.6,5.5,6.8,No,Completada,4.2,17.23
DEL-00033,Partner-A,Ropa,Camión,Express,Occidente,Lluvioso,30.9,3.1,5.8,3.1,Yes,Completada,1.5,26.54
DEL-00034,Partner-E,Ropa,Moto,Express,Norte,Lluvioso,11.3,9.4,1.9,1.5,Yes,Completada,2.5,17.22
DEL-00035,Partner-E,Ropa,Camión,Express,Occidente,Lluvioso,20.6,5.1,3.7,2.3,Yes,Retrasada,2.1,23.0
DEL-00036,Partner-B,Documentos,Bicicleta,Estándar,Norte,Soleado,12.6,7.8,1.9,2.1,No,Completada,4.0,8.28
DEL-00037,Partner-A,Alimentos,Camión,Estándar,Norte,Nublado,29.5,0.3,6.5,4.3,Yes,Completada,2.3,16.78
DEL-00038,Partner-E,Alimentos,Camión,Express,Centro,Lluvioso,37.2,7.9,6.4,3.6,Yes,Retrasada,3.5,35.82
DEL-00039,Partner-D,Electrónica,Moto,Estándar,Sur,Lluvioso,14.9,5.4,3.0,2.5,Yes,Completada,1.7,13.45
DEL-00040,Partner-D,Documentos,Moto,Estándar,Norte,Nublado,41.1,20.0,7.1,5.7,Yes,Retrasada,2.9,32.98
DEL-00041,Partner-B,Electrónica,Urbano,Express,Sur,Lluvioso,50.7,11.4,6.8,4.5,Yes,Retrasada,2.5,36.38
DEL-00042,Partner-A,Alimentos,Bicicleta,Express,Norte,Lluvioso,43.8,18.2,5.3,4.0,Yes,Retrasada,1.3,28.61
DEL-00043,Partner-E,Electrónica,Moto,Estándar,Occidente,Nublado,28.7,10.2,5.4,4.2,Yes,Retrasada,2.1,17.31
DEL-00044,Partner-D,Alimentos,Camión,Express,Centro,Nublado,60.9,10.9,6.1,5.4,Yes,Retrasada,3.1,51.24
DEL-00045,Partner-D,Alimentos,Camión,Estándar,Centro,Soleado,37.8,6.6,5.6,5.4,No,Completada,3.9,27.1
DEL-00046,Partner-C,Electrónica,Urbano,Express,Sur,Nublado,31.4,11.2,3.4,2.9,Yes,Completada,3.0,22.55
DEL-00047,Partner-B,Ropa,Urbano,Estándar,Centro,Lluvioso,42.2,7.0,7.9,6.3,Yes,Completada,1.7,18.02
DEL-00048,Partner-A,Alimentos,Bicicleta,Express,Sur,Soleado,17.4,9.8,2.2,2.1,No,Completada,3.9,10.59
DEL-00049,Partner-B,Documentos,Urbano,Estándar,Sur,Lluvioso,2.5,10.8,1.5,1.0,Yes,Retrasada,2.6,12.66
DEL-00050,Partner-A,Electrónica,Bicicleta,Estándar,Occidente,Lluvioso,26.5,19.3,4.0,3.9,No,Completada,4.2,18.41
DEL-00051,Partner-A,Alimentos,Urbano,Estándar,Norte,Soleado,10.2,15.3,2.4,2.1,Yes,Retrasada,2.9,15.96
DEL-00052,Partner-D,Documentos,Camión,Estándar,Norte,Nublado,72.1,2.2,9.8,9.7,No,Completada,3.9,36.95
DEL-00053,Partner-B,Electrónica,Camión,Estándar,Occidente,Lluvioso,3.9,5.9,1.6,1.2,Yes,Retrasada,3.0,11.21
DEL-00054,Partner-B,Ropa,Moto,Express,Sur,Lluvioso,62.3,1.6,7.4,5.4,Yes,Retrasada,2.1,27.24
DEL-00055,Partner-C,Ropa,Bicicleta,Estándar,Occidente,Soleado,45.5,17.8,5.3,6.5,No,Completada,3.8,22.24
DEL-00056,Partner-E,Electrónica,Bicicleta,Express,Sur,Lluvioso,39.6,9.0,5.4,3.6,Yes,Retrasada,2.2,18.22
DEL-00057,Partner-C,Electrónica,Urbano,Estándar,Occidente,Nublado,37.9,13.3,4.9,5.3,No,Completada,3.6,21.78
DEL-00058,Partner-A,Ropa,Moto,Estándar,Occidente,Soleado,15.3,7.4,3.2,2.9,Yes,Retrasada,1.5,12.35
DEL-00059,Partner-C,Ropa,Camión,Express,Norte,Nublado,46.3,4.9,4.2,4.1,No,Completada,5.0,39.12
DEL-00060,Partner-D,Electrónica,Urbano,Estándar,Centro,Nublado,53.3,8.4,7.8,7.2,Yes,Retrasada,2.0,27.16
DEL-00061,Partner-E,Alimentos,Moto,Estándar,Occidente,Lluvioso,70.2,10.3,10.9,9.5,Yes,Completada,3.2,30.43
DEL-00062,Partner-D,Documentos,Bicicleta,Estándar,Occidente,Lluvioso,65.4,19.6,10.2,8.5,Yes,Retrasada,2.9,27.65
DEL-00063,Partner-D,Ropa,Urbano,Estándar,Norte,Soleado,38.4,11.9,6.8,5.7,Yes,Completada,1.2,25.41
DEL-00064,Partner-A,Alimentos,Camión,Express,Norte,Lluvioso,58.9,5.4,6.7,5.3,Yes,Completada,3.4,45.27
DEL-00065,Partner-D,Electrónica,Moto,Express,Centro,Soleado,56.4,8.8,5.4,4.9,Yes,Retrasada,2.1,34.01
DEL-00066,Partner-A,Electrónica,Bicicleta,Express,Centro,Lluvioso,29.1,3.1,3.3,2.9,Yes,Retrasada,2.5,10.88
DEL-00067,Partner-B,Ropa,Urbano,Express,Occidente,Nublado,20.2,5.3,2.5,1.9,Yes,Retrasada,1.2,18.01
DEL-00068,Partner-E,Documentos,Camión,Estándar,Occidente,Lluvioso,16.1,7.8,3.9,2.8,Yes,Retrasada,1.1,20.42
DEL-00069,Partner-D,Documentos,Moto,Express,Occidente,Lluvioso,58.5,4.8,5.8,5.4,Yes,Retrasada,2.7,30.85
DEL-00070,Partner-B,Electrónica,Moto,Estándar,Occidente,Soleado,44.1,14.7,5.7,5.9,No,Completada,4.6,24.22
DEL-00071,Partner-B,Documentos,Bicicleta,Express,Centro,Lluvioso,72.6,6.0,7.1,6.5,Yes,Retrasada,3.2,27.26
DEL-00072,Partner-D,Documentos,Moto,Estándar,Norte,Lluvioso,40.9,9.2,8.3,5.9,Yes,Retrasada,1.3,19.27
DEL-00073,Partner-A,Documentos,Urbano,Express,Occidente,Nublado,23.7,8.3,2.4,2.3,No,Completada,4.2,16.56
DEL-00074,Partner-E,Alimentos,Camión,Estándar,Centro,Nublado,71.3,14.0,13.5,9.4,Yes,Retrasada,3.1,51.19
DEL-00075,Partner-C,Electrónica,Bicicleta,Express,Occidente,Lluvioso,71.4,17.1,9.2,6.1,Yes,Retrasada,1.2,31.87
DEL-00076,Partner-A,Ropa,Moto,Express,Norte,Soleado,59.3,5.0,5.5,5.1,Yes,Retrasada,3.1,30.21
DEL-00077,Partner-E,Alimentos,Urbano,Estándar,Sur,Nublado,1.7,17.2,0.8,0.8,No,Completada,3.8,16.9
DEL-00078,Partner-A,Alimentos,Moto,Estándar,Sur,Nublado,25.3,3.7,4.1,3.6,Yes,Retrasada,2.2,14.0
DEL-00079,Partner-E,Electrónica,Camión,Express,Norte,Nublado,59.1,17.4,5.6,5.3,Yes,Completada,3.1,62.7
DEL-00080,Partner-A,Ropa,Camión,Express,Norte,Lluvioso,46.2,1.5,5.7,4.1,Yes,Retrasada,2.1,31.6
DEL-00081,Partner-A,Electrónica,Urbano,Estándar,Occidente,Soleado,31.9,16.6,5.3,4.6,Yes,Retrasada,2.1,25.51
DEL-00082,Partner-C,Alimentos,Camión,Express,Norte,Soleado,8.4,2.1,1.6,1.3,Yes,Retrasada,2.7,9.07
DEL-00083,Partner-D,Electrónica,Bicicleta,Estándar,Centro,Soleado,44.0,4.4,4.9,6.2,No,Completada,4.8,12.28
DEL-00084,Partner-C,Alimentos,Camión,Express,Centro,Soleado,14.8,14.1,1.5,1.6,No,Completada,4.8,32.62
DEL-00085,Partner-D,Electrónica,Urbano,Express,Norte,Nublado,40.5,7.6,3.8,3.8,No,Completada,4.0,28.29
DEL-00086,Partner-E,Electrónica,Moto,Express,Sur,Nublado,5.2,1.8,1.0,0.9,Yes,Completada,1.7,7.18
DEL-00087,Partner-A,Documentos,Camión,Express,Centro,Nublado,51.4,9.8,5.6,4.7,Yes,Retrasada,1.5,49.97
DEL-00088,Partner-B,Documentos,Bicicleta,Estándar,Norte,Soleado,38.1,8.7,4.6,5.2,No,Completada,4.3,15.55
DEL-00089,Partner-C,Electrónica,Camión,Express,Occidente,Soleado,35.3,1.7,3.6,3.3,Yes,Completada,1.7,24.14
DEL-00090,Partner-C,Alimentos,Camión,Estándar,Norte,Lluvioso,63.6,5.0,11.3,8.5,Yes,Retrasada,1.6,38.07
DEL-00091,Partner-A,Electrónica,Urbano,Estándar,Centro,Nublado,71.9,13.0,8.9,9.2,No,Completada,3.8,31.04
DEL-00092,Partner-A,Alimentos,Camión,Estándar,Occidente,Nublado,69.4,11.4,12.4,9.3,Yes,Retrasada,2.1,46.19
DEL-00093,Partner-C,Documentos,Moto,Estándar,Norte,Lluvioso,35.4,0.9,6.6,5.0,Yes,Retrasada,2.5,12.89
DEL-00094,Partner-D,Electrónica,Camión,Express,Centro,Nublado,36.5,3.2,3.8,3.3,Yes,Retrasada,2.3,25.55
DEL-00095,Partner-B,Ropa,Camión,Express,Centro,Lluvioso,69.0,7.9,9.4,6.2,Yes,Retrasada,1.2,51.35
DEL-00096,Partner-D,Documentos,Bicicleta,Express,Centro,Soleado,44.3,3.0,4.5,4.0,Yes,Completada,1.3,17.24
DEL-00097,Partner-A,Documentos,Camión,Estándar,Sur,Nublado,53.2,19.0,9.8,7.6,Yes,Retrasada,1.0,46.9
DEL-00098,Partner-B,Documentos,Camión,Express,Sur,Soleado,12.9,6.1,2.0,1.7,Yes,Retrasada,2.7,21.2
DEL-00099,Partner-E,Alimentos,Camión,Express,Sur,Soleado,62.6,15.5,6.2,5.7,Yes,Completada,1.9,63.84
DEL-00100,Partner-D,Documentos,Camión,Express,Sur,Lluvioso,72.5,15.7,9.2,6.6,Yes,Completada,2.2,66.88
DEL-00101,Partner-D,Ropa,Urbano,Express,Sur,Lluvioso,5.3,9.7,1.4,0.9,Yes,Retrasada,1.7,15.5
DEL-00102,Partner-C,Ropa,Urbano,Estándar,Norte,Soleado,61.5,17.7,8.6,8.5,No,Completada,4.1,33.23
DEL-00103,Partner-D,Electrónica,Bicicleta,Express,Norte,Lluvioso,69.9,16.8,7.0,6.2,Yes,Completada,2.7,30.28
DEL-00104,Partner-D,Ropa,Moto,Express,Norte,Lluvioso,17.4,3.2,2.9,2.2,Yes,Retrasada,1.6,8.97
DEL-00105,Partner-B,Ropa,Camión,Express,Norte,Lluvioso,45.4,0.5,5.4,4.2,Yes,Retrasada,1.6,28.25
DEL-00106,Partner-A,Documentos,Moto,Express,Occidente,Lluvioso,4.7,7.9,1.2,0.9,Yes,Retrasada,1.9,13.18
DEL-00107,Partner-A,Documentos,Urbano,Express,Centro,Nublado,26.4,12.9,3.7,2.8,Yes,Completada,2.6,27.39
DEL-00108,Partner-A,Ropa,Moto,Estándar,Sur,Soleado,59.6,17.7,7.7,7.9,No,Completada,4.1,35.75
DEL-00109,Partner-D,Documentos,Moto,Express,Centro,Lluvioso,64.9,1.1,8.0,5.8,Yes,Completada,3.2,29.66
DEL-00110,Partner-D,Documentos,Urbano,Estándar,Occidente,Lluvioso,69.4,10.5,10.9,9.4,Yes,Retrasada,2.4,29.47
DEL-00111,Partner-A,Documentos,Bicicleta,Estándar,Occidente,Nublado,54.2,3.5,8.9,7.3,Yes,Completada,1.7,18.2
DEL-00112,Partner-A,Electrónica,Camión,Estándar,Sur,Soleado,12.0,12.2,2.3,2.5,No,Completada,4.7,20.6
DEL-00113,Partner-D,Electrónica,Urbano,Estándar,Centro,Lluvioso,34.1,1.7,5.5,4.7,Yes,Retrasada,1.6,10.38
DEL-00114,Partner-B,Ropa,Camión,Express,Centro,Lluvioso,53.2,4.4,6.9,4.9,Yes,Retrasada,3.1,39.15
DEL-00115,Partner-D,Electrónica,Bicicleta,Estándar,Norte,Nublado,41.3,17.8,7.1,6.1,Yes,Retrasada,2.3,17.49
DEL-00116,Partner-B,Alimentos,Urbano,Estándar,Norte,Lluvioso,42.2,7.5,8.5,6.1,Yes,Retrasada,1.2,19.45
DEL-00117,Partner-D,Ropa,Camión,Express,Sur,Lluvioso,48.7,9.1,7.2,4.5,Yes,Retrasada,2.9,41.59
DEL-00118,Partner-E,Electrónica,Moto,Express,Centro,Soleado,13.4,18.7,1.8,1.5,Yes,Retrasada,3.1,24.43
DEL-00119,Partner-E,Documentos,Urbano,Estándar,Norte,Nublado,48.6,11.9,7.5,6.7,Yes,Retrasada,3.1,26.05
DEL-00120,Partner-A,Electrónica,Moto,Estándar,Sur,Nublado,32.1,12.9,4.8,4.7,No,Completada,4.9,21.33
DEL-00121,Partner-D,Documentos,Camión,Express,Norte,Soleado,33.8,9.8,3.4,3.1,Yes,Retrasada,2.8,39.09
DEL-00122,Partner-D,Alimentos,Bicicleta,Express,Centro,Soleado,35.8,5.5,2.8,3.3,No,Completada,4.1,16.09
DEL-00123,Partner-B,Alimentos,Bicicleta,Estándar,Sur,Soleado,38.1,10.4,4.2,5.4,No,Completada,4.9,15.36
DEL-00124,Partner-B,Alimentos,Bicicleta,Express,Norte,Lluvioso,37.9,17.7,5.1,3.7,Yes,Completada,1.3,23.08
DEL-00125,Partner-C,Ropa,Bicicleta,Express,Occidente,Soleado,43.4,4.1,3.6,4.0,No,Completada,4.6,14.79
DEL-00126,Partner-E,Electrónica,Urbano,Express,Occidente,Lluvioso,59.9,6.9,6.9,5.6,Yes,Completada,2.3,28.85
DEL-00127,Partner-B,Documentos,Camión,Estándar,Sur,Nublado,67.1,3.0,11.3,9.2,Yes,Retrasada,2.5,35.35
DEL-00128,Partner-E,Ropa,Bicicleta,Estándar,Norte,Lluvioso,25.8,2.4,5.5,3.9,Yes,Retrasada,2.5,6.62
DEL-00129,Partner-E,Alimentos,Moto,Estándar,Sur,Nublado,47.7,12.5,7.7,6.8,Yes,Retrasada,2.4,27.21
DEL-00130,Partner-B,Electrónica,Camión,Estándar,Occidente,Soleado,31.9,4.2,5.4,4.7,Yes,Retrasada,2.8,21.03
DEL-00131,Partner-E,Documentos,Camión,Estándar,Centro,Soleado,35.3,10.8,6.8,5.1,Yes,Retrasada,2.5,28.19
DEL-00132,Partner-B,Documentos,Bicicleta,Express,Centro,Lluvioso,53.3,13.9,6.8,4.8,Yes,Retrasada,1.7,26.68
DEL-00133,Partner-E,Ropa,Camión,Estándar,Sur,Lluvioso,4.6,19.1,1.9,1.1,Yes,Retrasada,1.5,26.76
DEL-00134,Partner-E,Documentos,Urbano,Express,Sur,Soleado,5.2,18.1,0.8,0.8,No,Completada,3.7,21.16
DEL-00135,Partner-D,Electrónica,Urbano,Express,Sur,Lluvioso,49.5,17.6,6.7,4.5,Yes,Retrasada,1.8,40.13
DEL-00136,Partner-A,Alimentos,Moto,Express,Occidente,Soleado,70.1,0.9,7.3,6.3,Yes,Retrasada,3.3,33.01
DEL-00137,Partner-C,Electrónica,Moto,Estándar,Norte,Lluvioso,22.4,19.8,5.5,3.6,Yes,Completada,1.7,26.22
DEL-00138,Partner-C,Alimentos,Camión,Estándar,Sur,Soleado,55.6,15.9,7.9,7.6,No,Completada,4.8,48.38
DEL-00139,Partner-D,Documentos,Moto,Estándar,Norte,Soleado,73.7,9.7,8.5,10.0,No,Completada,4.1,31.0
DEL-00140,Partner-C,Documentos,Bicicleta,Express,Centro,Nublado,27.9,4.9,3.0,2.9,No,Completada,4.9,15.4
DEL-00141,Partner-C,Electrónica,Bicicleta,Estándar,Sur,Soleado,71.9,9.7,9.4,9.4,No,Completada,4.6,24.92
DEL-00142,Partner-E,Alimentos,Urbano,Express,Occidente,Nublado,53.2,1.7,5.2,4.8,Yes,Retrasada,2.4,21.56
DEL-00143,Partner-C,Ropa,Moto,Express,Occidente,Soleado,67.6,9.0,5.1,5.7,No,Completada,4.1,37.67
DEL-00144,Partner-E,Ropa,Bicicleta,Express,Occidente,Lluvioso,61.5,15.0,4.8,5.5,No,Completada,5.0,32.25
DEL-00145,Partner-A,Ropa,Moto,Estándar,Occidente,Soleado,58.0,15.4,9.0,8.1,Yes,Completada,1.9,33.96
DEL-00146,Partner-D,Ropa,Camión,Express,Sur,Nublado,64.7,2.5,8.2,6.0,Yes,Retrasada,2.9,46.6
DEL-00147,Partner-D,Ropa,Camión,Express,Sur,Lluvioso,26.9,5.7,4.8,2.9,Yes,Completada,2.5,29.18
DEL-00148,Partner-A,Alimentos,Urbano,Express,Norte,Nublado,4.0,12.0,1.2,1.0,Yes,Completada,2.1,15.82
DEL-00149,Partner-A,Alimentos,Bicicleta,Express,Centro,Nublado,45.4,13.5,4.1,4.1,No,Completada,3.8,22.33
DEL-00150,Partner-A,Alimentos,Camión,Estándar,Norte,Lluvioso,70.7,13.5,11.3,9.5,Yes,Completada,1.5,49.78
DEL-00151,Partner-B,Alimentos,Bicicleta,Express,Occidente,Soleado,42.8,19.4,3.3,4.0,No,Completada,3.8,28.33
DEL-00152,Partner-D,Documentos,Moto,Express,Norte,Lluvioso,29.2,12.2,3.5,2.7,Yes,Retrasada,2.2,28.16
DEL-00153,Partner-C,Documentos,Moto,Express,Sur,Nublado,10.1,20.0,1.5,1.3,Yes,Retrasada,2.0,24.41
DEL-00154,Partner-C,Documentos,Camión,Estándar,Centro,Lluvioso,20.7,10.4,4.4,3.3,Yes,Retrasada,3.3,22.39
DEL-00155,Partner-D,Electrónica,Urbano,Express,Norte,Lluvioso,42.2,11.8,4.4,4.0,Yes,Retrasada,1.9,32.56
DEL-00156,Partner-D,Documentos,Bicicleta,Estándar,Occidente,Lluvioso,13.9,15.9,3.4,2.3,Yes,Retrasada,2.3,15.7
DEL-00157,Partner-A,Electrónica,Moto,Estándar,Sur,Nublado,18.5,14.2,2.8,2.7,No,Completada,4.4,19.58
DEL-00158,Partner-E,Ropa,Camión,Express,Norte,Nublado,42.0,0.4,3.9,3.9,No,Completada,4.7,27.91
DEL-00159,Partner-B,Electrónica,Moto,Express,Sur,Soleado,47.1,5.2,4.9,4.2,Yes,Retrasada,1.9,24.62
DEL-00160,Partner-E,Alimentos,Urbano,Estándar,Norte,Nublado,74.4,13.1,9.9,9.5,No,Completada,4.2,35.26
DEL-00161,Partner-B,Electrónica,Camión,Estándar,Centro,Nublado,73.3,19.5,14.0,9.9,Yes,Completada,1.7,60.85
DEL-00162,Partner-C,Electrónica,Urbano,Estándar,Norte,Soleado,44.6,15.1,6.5,6.4,No,Completada,3.6,24.6
DEL-00163,Partner-B,Ropa,Bicicleta,Estándar,Sur,Nublado,54.7,10.1,8.4,7.7,Yes,Retrasada,2.5,19.44
DEL-00164,Partner-E,Ropa,Bicicleta,Express,Centro,Lluvioso,37.6,7.2,5.0,3.8,Yes,Retrasada,2.9,15.57
DEL-00165,Partner-B,Electrónica,Moto,Estándar,Sur,Lluvioso,53.8,12.8,8.0,7.5,Yes,Retrasada,3.4,27.49
DEL-00166,Partner-C,Electrónica,Urbano,Express,Sur,Lluvioso,34.5,11.2,3.6,3.3,Yes,Retrasada,2.5,28.59
DEL-00167,Partner-D,Electrónica,Bicicleta,Estándar,Occidente,Soleado,54.8,11.3,7.3,7.8,No,Completada,4.5,17.02
DEL-00168,Partner-C,Documentos,Bicicleta,Estándar,Sur,Soleado,13.8,5.7,2.3,2.4,No,Completada,4.9,9.14
DEL-00169,Partner-D,Alimentos,Camión,Express,Sur,Lluvioso,2.0,8.0,1.3,0.9,Yes,Completada,3.0,17.67
DEL-00170,Partner-E,Alimentos,Bicicleta,Estándar,Sur,Lluvioso,24.6,19.3,4.9,4.1,Yes,Retrasada,1.8,15.94
DEL-00171,Partner-D,Documentos,Moto,Express,Sur,Nublado,57.9,0.7,5.4,5.3,No,Completada,4.7,27.13
DEL-00172,Partner-A,Ropa,Camión,Express,Centro,Soleado,20.1,3.3,2.4,2.1,Yes,Completada,2.5,18.65
DEL-00173,Partner-D,Electrónica,Bicicleta,Express,Norte,Soleado,49.8,7.2,4.9,4.6,Yes,Completada,3.4,19.16
DEL-00174,Partner-D,Electrónica,Moto,Express,Centro,Soleado,39.0,10.5,4.0,3.7,Yes,Completada,1.9,27.37
DEL-00175,Partner-E,Alimentos,Bicicleta,Express,Occidente,Soleado,23.2,18.4,2.4,2.2,Yes,Retrasada,1.8,20.92
DEL-00176,Partner-B,Ropa,Bicicleta,Estándar,Norte,Lluvioso,54.6,9.2,6.5,7.1,No,Completada,4.0,15.38
DEL-00177,Partner-B,Alimentos,Urbano,Express,Centro,Nublado,32.8,9.3,3.2,3.3,No,Completada,4.5,23.23
DEL-00178,Partner-E,Alimentos,Camión,Estándar,Occidente,Soleado,53.3,4.3,7.3,7.4,No,Completada,3.7,33.25
DEL-00179,Partner-B,Documentos,Bicicleta,Express,Occidente,Soleado,20.8,17.3,2.3,2.2,No,Completada,4.4,20.38
DEL-00180,Partner-C,Documentos,Camión,Express,Centro,Nublado,44.9,13.5,4.3,4.0,Yes,Retrasada,2.3,48.25
DEL-00181,Partner-B,Ropa,Camión,Express,Occidente,Nublado,41.0,18.4,4.2,4.0,No,Completada,3.8,56.58
DEL-00182,Partner-E,Electrónica,Bicicleta,Express,Occidente,Soleado,15.8,7.8,1.7,1.8,No,Completada,4.2,12.96
DEL-00183,Partner-D,Ropa,Urbano,Express,Norte,Soleado,23.0,5.6,2.2,2.4,No,Completada,4.2,17.99
DEL-00184,Partner-D,Electrónica,Moto,Estándar,Centro,Nublado,62.0,1.0,11.0,8.4,Yes,Retrasada,2.8,21.98
DEL-00185,Partner-B,Documentos,Moto,Estándar,Centro,Lluvioso,64.9,1.9,11.9,8.9,Yes,Retrasada,3.0,23.11
DEL-00186,Partner-C,Ropa,Urbano,Express,Sur,Soleado,60.7,11.5,5.9,5.4,Yes,Retrasada,1.8,38.56
DEL-00187,Partner-C,Documentos,Moto,Express,Occidente,Soleado,74.4,17.4,7.5,6.3,Yes,Retrasada,1.4,47.37
DEL-00188,Partner-B,Ropa,Camión,Express,Centro,Nublado,31.9,9.1,3.9,3.2,Yes,Retrasada,2.7,37.0
DEL-00189,Partner-D,Ropa,Bicicleta,Express,Norte,Nublado,73.0,12.8,6.9,6.5,Yes,Completada,3.1,30.71
DEL-00190,Partner-C,Documentos,Bicicleta,Express,Occidente,Lluvioso,67.2,15.3,6.1,5.7,Yes,Retrasada,2.1,27.49
DEL-00191,Partner-D,Alimentos,Urbano,Estándar,Sur,Lluvioso,8.4,7.3,2.3,1.6,Yes,Retrasada,2.0,8.5
DEL-00192,Partner-B,Ropa,Moto,Express,Norte,Soleado,36.5,2.8,3.7,3.3,Yes,Retrasada,1.0,17.55
DEL-00193,Partner-A,Ropa,Urbano,Estándar,Norte,Soleado,29.7,14.7,4.0,4.1,No,Completada,4.8,19.63
DEL-00194,Partner-B,Alimentos,Moto,Express,Sur,Lluvioso,27.3,4.4,4.4,2.9,Yes,Completada,3.1,13.83
DEL-00195,Partner-A,Alimentos,Moto,Estándar,Centro,Lluvioso,24.6,3.0,4.3,3.6,Yes,Retrasada,2.9,12.61
DEL-00196,Partner-C,Alimentos,Urbano,Estándar,Centro,Nublado,5.5,18.0,1.7,1.8,No,Completada,4.2,18.21
DEL-00197,Partner-E,Electrónica,Bicicleta,Estándar,Sur,Lluvioso,64.8,11.5,13.2,8.5,Yes,Retrasada,1.0,18.52
