week,channel,spend_usd,impressions,clicks,leads,attributed_revenue_usd,cpl_usd,roas,region,audience_segment
2022-02-28,Email,1234.77,4115,694,52,10135.4,23.75,8.21,Norte,Mayores 55+
2022-02-28,Display,3583.52,3981,27,1,116.93,3583.52,0.03,Sur,Profesionales 41-55
2022-03-07,SEO,2448.47,3060,126,7,1322.07,349.78,0.54,Norte,Profesionales 41-55
2022-03-07,Paid Search,4208.97,1683,75,2,474.71,2104.49,0.11,Sur,Adultos 26-40
2022-03-07,Paid Search,4099.76,1639,80,3,766.34,1366.59,0.19,Centro,Mayores 55+
2022-03-07,Social,2840.27,2366,53,1,145.79,2840.27,0.05,Centro,Mayores 55+
2022-03-07,Social,2751.1,2292,68,1,167.62,2751.1,0.06,Sur,Jovenes 18-25
2022-03-07,Email,1402.7,4675,896,62,10383.2,22.62,7.4,Sur,Profesionales 41-55
2022-03-07,Display,3669.57,4077,28,1,107.75,3669.57,0.03,Occidente,Jovenes 18-25
2022-03-14,SEO,2466.56,3083,124,5,978.6,493.31,0.4,Occidente,Mayores 55+
2022-03-14,Paid Search,4073.56,1629,58,2,509.11,2036.78,0.12,Norte,Mayores 55+
2022-03-14,Paid Search,3845.74,1538,72,3,650.64,1281.91,0.17,Sur,Jovenes 18-25
2022-03-14,Social,2763.43,2302,72,1,179.27,2763.43,0.06,Centro,Mayores 55+
2022-03-14,Social,2894.63,2412,73,1,169.83,2894.63,0.06,Occidente,Adultos 26-40
2022-03-14,Email,1609.64,5365,955,53,9528.3,30.37,5.92,Centro,Mayores 55+
2022-03-14,Display,4152.1,4613,33,1,109.71,4152.1,0.03,Centro,Profesionales 41-55
2022-03-21,SEO,2364.78,2955,105,3,481.95,788.26,0.2,Sur,Adultos 26-40
2022-03-21,Paid Search,3650.93,1460,59,2,425.18,1825.46,0.12,Sur,Mayores 55+
2022-03-21,Paid Search,4060.74,1624,75,3,533.16,1353.58,0.13,Occidente,Mayores 55+
2022-03-21,Social,2384.95,1987,52,1,171.21,2384.95,0.07,Occidente,Adultos 26-40
2022-03-21,Social,2790.11,2325,59,1,143.33,2790.11,0.05,Occidente,Adultos 26-40
2022-03-21,Email,1653.23,5510,1158,96,19462.07,17.22,11.77,Occidente,Jovenes 18-25
2022-03-21,Display,3500.74,3889,30,1,104.72,3500.74,0.03,Centro,Mayores 55+
2022-03-28,SEO,2370.51,2963,101,4,829.34,592.63,0.35,Centro,Mayores 55+
2022-03-28,Paid Search,3887.86,1555,54,1,223.47,3887.86,0.06,Centro,Adultos 26-40
2022-03-28,Paid Search,4389.18,1755,82,3,727.12,1463.06,0.17,Sur,Adultos 26-40
2022-03-28,Social,3084.95,2570,75,1,148.41,3084.95,0.05,Norte,Adultos 26-40
2022-03-28,Social,2770.63,2308,58,1,156.35,2770.63,0.06,Norte,Adultos 26-40
2022-03-28,Email,1709.12,5697,864,40,7398.26,42.73,4.33,Occidente,Mayores 55+
2022-03-28,Display,4529.76,5033,35,1,135.87,4529.76,0.03,Sur,Jovenes 18-25
2022-04-04,SEO,2647.89,3309,106,5,1009.99,529.58,0.38,Norte,Profesionales 41-55
2022-04-04,Paid Search,4241.26,1696,75,2,465.97,2120.63,0.11,Norte,Mayores 55+
2022-04-04,Paid Search,4606.14,1842,65,3,695.79,1535.38,0.15,Occidente,Adultos 26-40
2022-04-04,Social,2745.81,2288,70,1,136.2,2745.81,0.05,Occidente,Mayores 55+
2022-04-04,Social,2745.88,2288,69,1,171.1,2745.88,0.06,Norte,Profesionales 41-55
2022-04-04,Email,1671.73,5572,900,57,11903.11,29.33,7.12,Occidente,Profesionales 41-55
2022-04-04,Display,3434.44,3816,34,1,106.18,3434.44,0.03,Centro,Profesionales 41-55
2022-04-11,SEO,2334.74,2918,106,5,920.08,466.95,0.39,Sur,Jovenes 18-25
2022-04-11,Paid Search,3874.11,1549,62,2,394.3,1937.05,0.1,Occidente,Mayores 55+
2022-04-11,Paid Search,4134.7,1653,56,1,211.59,4134.7,0.05,Sur,Profesionales 41-55
2022-04-11,Social,2937.73,2448,64,1,140.63,2937.73,0.05,Centro,Profesionales 41-55
2022-04-11,Social,2970.4,2475,62,1,127.24,2970.4,0.04,Sur,Profesionales 41-55
2022-04-11,Email,1328.8,4429,808,60,10488.72,22.15,7.89,Sur,Mayores 55+
2022-04-11,Display,3731.8,4146,34,1,124.65,3731.8,0.03,Norte,Adultos 26-40
2022-04-18,SEO,2347.18,2933,96,3,584.93,782.39,0.25,Sur,Profesionales 41-55
2022-04-18,Paid Search,3627.35,1450,50,1,259.08,3627.35,0.07,Occidente,Jovenes 18-25
2022-04-18,Paid Search,4669.63,1867,80,2,429.52,2334.81,0.09,Sur,Jovenes 18-25
2022-04-18,Social,2592.08,2160,69,1,123.92,2592.08,0.05,Occidente,Jovenes 18-25
2022-04-18,Social,2864.7,2387,71,1,168.67,2864.7,0.06,Centro,Jovenes 18-25
2022-04-18,Email,1722.26,5740,875,65,13552.85,26.5,7.87,Sur,Mayores 55+
2022-04-18,Display,3940.62,4378,34,1,143.52,3940.62,0.04,Centro,Jovenes 18-25
2022-04-25,SEO,2582.22,3227,123,7,1112.73,368.89,0.43,Sur,Profesionales 41-55
2022-04-25,Paid Search,4402.14,1760,63,1,182.61,4402.14,0.04,Norte,Mayores 55+
2022-04-25,Paid Search,4137.63,1655,72,2,392.74,2068.82,0.09,Centro,Mayores 55+
2022-04-25,Social,2439.79,2033,50,1,167.47,2439.79,0.07,Sur,Mayores 55+
2022-04-25,Social,2476.41,2063,51,1,135.94,2476.41,0.05,Sur,Jovenes 18-25
2022-04-25,Email,1301.84,4339,872,59,13330.41,22.07,10.24,Centro,Mayores 55+
2022-04-25,Display,3549.22,3943,33,1,141.25,3549.22,0.04,Occidente,Mayores 55+
2022-05-02,SEO,2185.33,2731,77,3,501.62,728.44,0.23,Centro,Jovenes 18-25
2022-05-02,Paid Search,3685.07,1474,73,3,679.85,1228.36,0.18,Norte,Profesionales 41-55
2022-05-02,Paid Search,4296.07,1718,79,2,443.34,2148.04,0.1,Occidente,Profesionales 41-55
2022-05-02,Social,2532.45,2110,61,1,149.5,2532.45,0.06,Norte,Mayores 55+
2022-05-02,Social,2672.29,2226,58,1,171.46,2672.29,0.06,Centro,Mayores 55+
2022-05-02,Email,1587.15,5290,871,71,15981.06,22.35,10.07,Norte,Mayores 55+
2022-05-02,Display,3505.67,3895,28,1,133.08,3505.67,0.04,Norte,Mayores 55+
2022-05-09,SEO,2434.94,3043,93,3,595.39,811.65,0.24,Occidente,Jovenes 18-25
2022-05-09,Paid Search,3826.48,1530,65,3,643.66,1275.49,0.17,Occidente,Jovenes 18-25
2022-05-09,Paid Search,3606.38,1442,63,2,476.92,1803.19,0.13,Centro,Jovenes 18-25
2022-05-09,Social,2843.89,2369,55,1,174.78,2843.89,0.06,Occidente,Jovenes 18-25
2022-05-09,Social,2924.08,2436,58,1,137.51,2924.08,0.05,Centro,Mayores 55+
2022-05-09,Email,1650.63,5502,1180,64,13062.48,25.79,7.91,Occidente,Adultos 26-40
2022-05-09,Display,4506.24,5006,40,1,137.47,4506.24,0.03,Centro,Mayores 55+
2022-05-16,SEO,2379.91,2974,116,4,576.74,594.98,0.24,Centro,Mayores 55+
2022-05-16,Paid Search,4660.23,1864,76,2,410.51,2330.11,0.09,Occidente,Mayores 55+
2022-05-16,Paid Search,4745.39,1898,91,4,788.06,1186.35,0.17,Occidente,Adultos 26-40
2022-05-16,Social,3099.05,2582,69,1,148.38,3099.05,0.05,Occidente,Mayores 55+
2022-05-16,Social,3210.27,2675,83,1,129.13,3210.27,0.04,Norte,Adultos 26-40
2022-05-16,Email,1501.03,5003,933,74,17015.21,20.28,11.34,Occidente,Jovenes 18-25
2022-05-16,Display,4031.14,4479,35,1,115.68,4031.14,0.03,Sur,Jovenes 18-25
2022-05-23,SEO,2477.12,3096,128,5,969.37,495.42,0.39,Norte,Profesionales 41-55
2022-05-23,Paid Search,4643.95,1857,89,3,611.6,1547.98,0.13,Occidente,Jovenes 18-25
2022-05-23,Paid Search,4348.0,1739,65,2,402.58,2174.0,0.09,Sur,Jovenes 18-25
2022-05-23,Social,2744.54,2287,53,1,172.35,2744.54,0.06,Occidente,Adultos 26-40
2022-05-23,Social,2962.96,2469,80,1,167.77,2962.96,0.06,Centro,Profesionales 41-55
2022-05-23,Email,1443.68,4812,743,49,10058.44,29.46,6.97,Sur,Adultos 26-40
2022-05-23,Display,3610.08,4011,33,1,128.79,3610.08,0.04,Occidente,Adultos 26-40
2022-05-30,SEO,2299.14,2873,106,4,768.05,574.79,0.33,Occidente,Profesionales 41-55
2022-05-30,Paid Search,4423.79,1769,64,2,412.82,2211.89,0.09,Centro,Mayores 55+
2022-05-30,Paid Search,4439.8,1775,73,2,527.89,2219.9,0.12,Occidente,Jovenes 18-25
2022-05-30,Social,2579.25,2149,61,1,179.56,2579.25,0.07,Centro,Jovenes 18-25
2022-05-30,Social,3201.47,2667,79,1,153.96,3201.47,0.05,Norte,Mayores 55+
2022-05-30,Email,1649.78,5499,1149,87,15521.62,18.96,9.41,Centro,Adultos 26-40
2022-05-30,Display,4163.94,4626,38,1,130.6,4163.94,0.03,Sur,Jovenes 18-25
2022-06-06,SEO,3082.81,3853,142,5,878.7,616.56,0.29,Centro,Adultos 26-40
2022-06-06,Paid Search,4051.92,1620,62,2,382.91,2025.96,0.09,Sur,Profesionales 41-55
2022-06-06,Paid Search,4662.76,1865,91,4,794.45,1165.69,0.17,Occidente,Profesionales 41-55
2022-06-06,Social,3307.82,2756,72,1,177.77,3307.82,0.05,Sur,Adultos 26-40
2022-06-06,Social,3412.77,2843,86,2,356.07,1706.38,0.1,Centro,Jovenes 18-25
2022-06-06,Email,1793.89,5979,866,57,11193.82,31.47,6.24,Centro,Mayores 55+
2022-06-06,Display,4825.59,5361,50,1,107.22,4825.59,0.02,Norte,Profesionales 41-55
2022-06-13,SEO,3092.59,3865,120,3,609.95,1030.86,0.2,Centro,Mayores 55+
2022-06-13,Paid Search,4088.71,1635,56,1,263.64,4088.71,0.06,Norte,Jovenes 18-25
2022-06-13,Paid Search,4252.43,1700,72,2,417.3,2126.22,0.1,Occidente,Adultos 26-40
2022-06-13,Social,3436.12,2863,85,2,313.88,1718.06,0.09,Centro,Jovenes 18-25
2022-06-13,Social,3255.82,2713,67,1,134.17,3255.82,0.04,Centro,Jovenes 18-25
2022-06-13,Email,1888.06,6293,1072,86,18196.41,21.95,9.64,Norte,Mayores 55+
2022-06-13,Display,4104.16,4560,43,1,135.56,4104.16,0.03,Norte,Adultos 26-40
2022-06-20,SEO,2866.91,3583,130,4,802.6,716.73,0.28,Sur,Adultos 26-40
2022-06-20,Paid Search,5017.75,2007,74,3,674.31,1672.58,0.13,Sur,Adultos 26-40
2022-06-20,Paid Search,4382.38,1752,63,2,352.5,2191.19,0.08,Sur,Adultos 26-40
2022-06-20,Social,3117.16,2597,81,1,171.99,3117.16,0.06,Sur,Jovenes 18-25
2022-06-20,Social,2949.02,2457,76,1,120.95,2949.02,0.04,Centro,Jovenes 18-25
2022-06-20,Email,1465.25,4884,851,42,6933.56,34.89,4.73,Occidente,Profesionales 41-55
2022-06-20,Display,4417.47,4908,33,1,141.38,4417.47,0.03,Norte,Profesionales 41-55
2022-06-27,SEO,2715.39,3394,140,4,713.95,678.85,0.26,Occidente,Mayores 55+
2022-06-27,Paid Search,4877.93,1951,81,3,547.4,1625.98,0.11,Norte,Profesionales 41-55
2022-06-27,Paid Search,4770.1,1908,66,2,463.42,2385.05,0.1,Centro,Mayores 55+
2022-06-27,Social,3537.04,2947,83,1,156.33,3537.04,0.04,Norte,Jovenes 18-25
2022-06-27,Social,3405.98,2838,84,2,326.5,1702.99,0.1,Sur,Mayores 55+
2022-06-27,Email,1626.02,5420,869,51,10010.28,31.88,6.16,Occidente,Jovenes 18-25
2022-06-27,Display,4152.56,4613,34,1,141.77,4152.56,0.03,Occidente,Jovenes 18-25
2022-07-04,SEO,2412.76,3015,88,3,592.83,804.25,0.25,Centro,Adultos 26-40
2022-07-04,Paid Search,4698.13,1879,81,3,615.03,1566.04,0.13,Norte,Mayores 55+
2022-07-04,Paid Search,4417.09,1766,79,3,757.18,1472.36,0.17,Norte,Profesionales 41-55
2022-07-04,Social,3172.78,2643,69,1,132.76,3172.78,0.04,Occidente,Adultos 26-40
2022-07-04,Social,3400.88,2834,74,1,126.89,3400.88,0.04,Centro,Adultos 26-40
2022-07-04,Email,1802.07,6006,1230,102,22998.36,17.67,12.76,Norte,Profesionales 41-55
2022-07-04,Display,3778.22,4198,30,1,140.23,3778.22,0.04,Centro,Jovenes 18-25
2022-07-11,SEO,2487.16,3108,93,4,596.04,621.79,0.24,Norte,Jovenes 18-25
2022-07-11,Paid Search,4961.11,1984,73,2,412.0,2480.56,0.08,Centro,Profesionales 41-55
2022-07-11,Paid Search,4927.13,1970,91,3,550.43,1642.38,0.11,Norte,Adultos 26-40
2022-07-11,Social,2763.45,2302,67,1,136.33,2763.45,0.05,Occidente,Mayores 55+
2022-07-11,Social,3178.94,2649,71,1,150.74,3178.94,0.05,Centro,Mayores 55+
2022-07-11,Email,1457.39,4857,936,64,12937.9,22.77,8.88,Centro,Jovenes 18-25
2022-07-11,Display,4031.08,4478,42,1,105.81,4031.08,0.03,Sur,Adultos 26-40
2022-07-18,SEO,2967.93,3709,118,4,719.25,741.98,0.24,Occidente,Adultos 26-40
2022-07-18,Paid Search,4106.05,1642,69,2,450.34,2053.03,0.11,Centro,Jovenes 18-25
2022-07-18,Paid Search,4477.34,1790,82,2,432.92,2238.67,0.1,Norte,Profesionales 41-55
2022-07-18,Social,3150.0,2625,75,1,145.06,3150.0,0.05,Norte,Mayores 55+
2022-07-18,Social,2637.27,2197,57,1,157.09,2637.27,0.06,Centro,Jovenes 18-25
2022-07-18,Email,1618.67,5395,818,51,9793.84,31.74,6.05,Norte,Mayores 55+
2022-07-18,Display,4889.09,5432,47,1,133.4,4889.09,0.03,Norte,Jovenes 18-25
2022-07-25,SEO,2775.25,3469,106,5,846.4,555.05,0.3,Sur,Adultos 26-40
2022-07-25,Paid Search,4069.49,1627,61,1,189.45,4069.49,0.05,Norte,Adultos 26-40
2022-07-25,Paid Search,5245.49,2098,92,3,676.83,1748.5,0.13,Occidente,Profesionales 41-55
2022-07-25,Social,3416.56,2847,83,1,124.1,3416.56,0.04,Occidente,Profesionales 41-55
2022-07-25,Social,3353.81,2794,81,1,124.45,3353.81,0.04,Occidente,Mayores 55+
2022-07-25,Email,1421.12,4737,807,45,9520.8,31.58,6.7,Norte,Mayores 55+
2022-07-25,Display,4350.78,4834,39,1,139.0,4350.78,0.03,Occidente,Adultos 26-40
2022-08-01,SEO,2602.76,3253,112,3,445.36,867.59,0.17,Norte,Profesionales 41-55
2022-08-01,Paid Search,5288.59,2115,74,3,538.33,1762.86,0.1,Occidente,Mayores 55+
2022-08-01,Paid Search,4653.36,1861,81,2,513.56,2326.68,0.11,Occidente,Mayores 55+
2022-08-01,Social,3333.61,2778,83,1,157.85,3333.61,0.05,Centro,Jovenes 18-25
2022-08-01,Social,2922.63,2435,69,1,135.12,2922.63,0.05,Sur,Profesionales 41-55
2022-08-01,Email,1442.84,4809,922,74,13676.57,19.5,9.48,Occidente,Adultos 26-40
2022-08-01,Display,4525.45,5028,47,1,114.08,4525.45,0.03,Centro,Adultos 26-40
2022-08-08,SEO,2890.35,3612,143,7,1353.45,412.91,0.47,Norte,Mayores 55+
2022-08-08,Paid Search,4631.77,1852,62,2,519.41,2315.88,0.11,Centro,Mayores 55+
2022-08-08,Paid Search,4193.12,1677,84,2,404.06,2096.56,0.1,Norte,Jovenes 18-25
2022-08-08,Social,3229.62,2691,86,2,311.67,1614.81,0.1,Sur,Adultos 26-40
2022-08-08,Social,2785.1,2320,69,1,174.16,2785.1,0.06,Occidente,Jovenes 18-25
2022-08-08,Email,1605.88,5352,1031,56,10950.01,28.68,6.82,Centro,Mayores 55+
2022-08-08,Display,4048.88,4498,32,1,133.65,4048.88,0.03,Sur,Profesionales 41-55
2022-08-15,SEO,2897.1,3621,130,5,997.0,579.42,0.34,Occidente,Mayores 55+
2022-08-15,Paid Search,5266.25,2106,99,4,752.72,1316.56,0.14,Centro,Jovenes 18-25
2022-08-15,Paid Search,4815.67,1926,92,3,555.08,1605.22,0.12,Norte,Profesionales 41-55
2022-08-15,Social,2695.5,2246,54,1,150.8,2695.5,0.06,Occidente,Jovenes 18-25
2022-08-15,Social,3492.49,2910,72,1,140.98,3492.49,0.04,Norte,Mayores 55+
2022-08-15,Email,1428.86,4762,857,46,11019.85,31.06,7.71,Centro,Adultos 26-40
2022-08-15,Display,3777.21,4196,39,1,127.2,3777.21,0.03,Sur,Adultos 26-40
2022-08-22,SEO,2369.1,2961,120,5,1019.2,473.82,0.43,Occidente,Mayores 55+
2022-08-22,Paid Search,4779.87,1911,93,2,389.96,2389.94,0.08,Sur,Mayores 55+
2022-08-22,Paid Search,4081.1,1632,62,2,360.4,2040.55,0.09,Occidente,Mayores 55+
2022-08-22,Social,2676.03,2230,70,1,152.16,2676.03,0.06,Sur,Adultos 26-40
2022-08-22,Social,2887.14,2405,53,1,154.24,2887.14,0.05,Sur,Jovenes 18-25
2022-08-22,Email,1661.62,5538,941,77,15671.54,21.58,9.43,Norte,Mayores 55+
2022-08-22,Display,4892.8,5436,35,1,113.92,4892.8,0.02,Norte,Profesionales 41-55
2022-08-29,SEO,2988.03,3735,122,6,1135.41,498.0,0.38,Centro,Adultos 26-40
2022-08-29,Paid Search,3988.45,1595,68,3,574.22,1329.48,0.14,Occidente,Mayores 55+
2022-08-29,Paid Search,4802.59,1921,90,2,488.61,2401.29,0.1,Occidente,Jovenes 18-25
2022-08-29,Social,2889.14,2407,55,1,122.51,2889.14,0.04,Centro,Mayores 55+
2022-08-29,Social,3531.95,2943,83,1,165.2,3531.95,0.05,Sur,Profesionales 41-55
2022-08-29,Email,1579.2,5264,1053,83,15483.98,19.03,9.8,Norte,Profesionales 41-55
2022-08-29,Display,4316.78,4796,36,1,141.91,4316.78,0.03,Centro,Adultos 26-40
2022-09-05,SEO,2497.15,3121,109,6,1088.33,416.19,0.44,Norte,Mayores 55+
2022-09-05,Paid Search,3669.45,1467,64,2,448.0,1834.72,0.12,Centro,Jovenes 18-25
2022-09-05,Paid Search,3670.89,1468,65,2,458.06,1835.44,0.12,Occidente,Adultos 26-40
2022-09-05,Social,2959.4,2466,64,1,172.2,2959.4,0.06,Centro,Mayores 55+
2022-09-05,Social,2610.63,2175,72,2,249.0,1305.31,0.1,Occidente,Profesionales 41-55
2022-09-05,Email,1505.89,5019,993,51,8287.05,29.53,5.5,Occidente,Jovenes 18-25
2022-09-05,Display,3551.48,3946,28,1,113.38,3551.48,0.03,Norte,Adultos 26-40
2022-09-12,SEO,2634.3,3292,135,5,994.71,526.86,0.38,Sur,Profesionales 41-55
2022-09-12,Paid Search,4071.52,1628,72,2,371.97,2035.76,0.09,Sur,Mayores 55+
2022-09-12,Paid Search,4222.36,1688,82,2,488.39,2111.18,0.12,Occidente,Adultos 26-40
2022-09-12,Social,3216.95,2680,68,1,149.47,3216.95,0.05,Norte,Adultos 26-40
2022-09-12,Social,3096.37,2580,70,1,146.71,3096.37,0.05,Norte,Profesionales 41-55
2022-09-12,Email,1575.53,5251,1024,68,12459.57,23.17,7.91,Centro,Adultos 26-40
2022-09-12,Display,4254.17,4726,44,1,134.1,4254.17,0.03,Sur,Jovenes 18-25
2022-09-19,SEO,2863.85,3579,139,5,897.85,572.77,0.31,Centro,Profesionales 41-55
2022-09-19,Paid Search,4158.93,1663,83,2,507.63,2079.47,0.12,Norte,Profesionales 41-55
2022-09-19,Paid Search,4071.68,1628,74,2,424.3,2035.84,0.1,Occidente,Jovenes 18-25
2022-09-19,Social,2485.27,2071,53,1,147.95,2485.27,0.06,Centro,Adultos 26-40
2022-09-19,Social,3117.49,2597,80,1,130.92,3117.49,0.04,Sur,Mayores 55+
2022-09-19,Email,1501.29,5004,1033,80,16115.85,18.77,10.73,Centro,Adultos 26-40
2022-09-19,Display,3594.36,3993,37,1,141.48,3594.36,0.04,Centro,Jovenes 18-25
2022-09-26,SEO,2312.95,2891,106,4,612.05,578.24,0.26,Centro,Jovenes 18-25
2022-09-26,Paid Search,4203.24,1681,61,2,379.14,2101.62,0.09,Centro,Jovenes 18-25
2022-09-26,Paid Search,4609.8,1843,62,1,232.45,4609.8,0.05,Centro,Adultos 26-40
2022-09-26,Social,3024.25,2520,68,1,149.88,3024.25,0.05,Centro,Profesionales 41-55
2022-09-26,Social,2785.67,2321,72,1,137.85,2785.67,0.05,Norte,Jovenes 18-25
2022-09-26,Email,1346.14,4487,780,49,9173.55,27.47,6.81,Sur,Profesionales 41-55
2022-09-26,Display,4433.78,4926,36,1,112.58,4433.78,0.03,Occidente,Adultos 26-40
2022-10-03,SEO,2695.5,3369,118,4,645.62,673.87,0.24,Norte,Profesionales 41-55
2022-10-03,Paid Search,4136.49,1654,59,1,259.19,4136.49,0.06,Occidente,Adultos 26-40
2022-10-03,Paid Search,4782.98,1913,93,4,1032.68,1195.75,0.22,Centro,Adultos 26-40
2022-10-03,Social,3021.02,2517,70,1,149.93,3021.02,0.05,Centro,Mayores 55+
2022-10-03,Social,2399.47,1999,65,1,178.0,2399.47,0.07,Sur,Profesionales 41-55
2022-10-03,Email,1296.9,4322,709,48,10916.54,27.02,8.42,Occidente,Profesionales 41-55
2022-10-03,Display,4044.03,4493,40,1,138.36,4044.03,0.03,Centro,Mayores 55+
2022-10-10,SEO,2399.45,2999,100,4,632.06,599.86,0.26,Centro,Jovenes 18-25
