customer_id,company_size,plan,monthly_usage,support_tickets,contract_length,monthly_revenue,churned,days_since_last_login,num_users,industry
CUST0025,Small,Basic,64.22,10,6,441.83,0,10,20,Technology
CUST0026,Medium,Professional,531.57,1,12,1263.72,1,39,40,Technology
CUST0027,Medium,Professional,395.47,4,24,784.33,0,8,45,Retail
CUST0028,Medium,Professional,329.3,2,12,1360.49,0,32,29,Healthcare
CUST0029,Enterprise,Enterprise,1189.34,0,36,3499.22,0,9,162,Healthcare
CUST0030,Enterprise,Enterprise,917.88,1,24,4425.47,0,10,134,Technology
CUST0031,Medium,Professional,553.71,3,12,946.94,1,2,41,Healthcare
CUST0032,Medium,Professional,524.36,1,24,1293.74,0,4,41,Finance
CUST0033,Medium,Professional,316.73,3,12,989.15,0,2,48,Finance
CUST0034,Medium,Professional,689.53,6,24,1153.93,0,9,31,Finance
CUST0035,Enterprise,Enterprise,1325.91,3,36,1285.9,0,7,145,Finance
CUST0036,Small,Basic,137.41,5,12,319.87,1,28,6,Technology
CUST0037,Small,Basic,137.79,10,12,401.28,1,51,13,Finance
CUST0038,Small,Basic,195.15,6,6,338.23,1,4,5,Retail
CUST0039,Small,Basic,146.3,5,6,418.02,1,32,15,Manufacturing
CUST0040,Small,Basic,205.79,3,12,325.98,0,38,11,Manufacturing
CUST0041,Small,Basic,219.33,4,12,343.67,0,38,14,Manufacturing
CUST0042,Small,Basic,166.25,9,12,359.71,1,27,11,Technology
CUST0043,Medium,Professional,337.35,2,24,1140.03,0,19,43,Finance
CUST0044,Small,Basic,163.85,5,6,328.35,1,49,6,Finance
CUST0045,Small,Basic,244.61,5,6,335.71,0,22,5,Finance
CUST0046,Medium,Professional,353.34,4,24,1475.88,0,33,60,Retail
CUST0047,Small,Basic,257.64,10,12,419.61,0,57,19,Retail
CUST0048,Medium,Professional,550.7,3,24,842.64,1,28,40,Manufacturing
CUST0049,Small,Basic,87.71,8,6,377.93,0,19,15,Healthcare
CUST0050,Medium,Professional,633.16,4,12,1081.19,0,37,46,Technology
CUST0051,Enterprise,Enterprise,938.89,3,36,3481.21,0,13,247,Technology
CUST0052,Enterprise,Enterprise,723.22,2,36,3114.55,0,12,156,Retail
CUST0053,Enterprise,Enterprise,767.16,3,24,5422.07,0,4,236,Manufacturing
CUST0054,Small,Basic,240.31,8,12,379.71,0,35,17,Finance
CUST0055,Small,Basic,299.98,7,6,344.93,0,28,7,Manufacturing
CUST0056,Enterprise,Enterprise,890.84,3,24,4048.49,0,3,163,Technology
CUST0057,Medium,Professional,611.12,2,12,863.14,0,19,41,Finance
CUST0058,Enterprise,Enterprise,1453.18,1,36,3704.62,0,2,247,Technology
CUST0059,Small,Basic,249.06,2,6,378.28,0,44,14,Finance
CUST0060,Small,Basic,76.38,7,12,366.82,1,58,15,Healthcare
CUST0061,Small,Basic,166.22,6,12,397.35,0,41,13,Manufacturing
CUST0062,Small,Basic,134.1,9,12,390.22,1,41,19,Technology
CUST0063,Small,Basic,188.95,10,12,394.01,1,24,13,Finance
CUST0064,Medium,Professional,479.27,1,24,1020.65,0,5,40,Manufacturing
CUST0065,Medium,Professional,470.2,6,24,987.05,0,35,44,Manufacturing
CUST0066,Small,Basic,79.89,10,12,381.49,1,23,13,Manufacturing
CUST0067,Small,Basic,106.87,4,12,397.92,1,38,14,Manufacturing
CUST0068,Small,Basic,209.47,9,6,331.9,0,13,6,Retail
CUST0069,Small,Basic,113.12,9,6,361.56,0,14,20,Retail
CUST0070,Medium,Professional,334.07,2,24,1301.24,0,7,28,Manufacturing
CUST0071,Medium,Professional,418.94,5,24,901.59,0,27,39,Manufacturing
CUST0072,Small,Basic,116.16,3,6,325.92,1,20,8,Retail
CUST0073,Small,Basic,122.81,5,12,330.09,0,36,5,Retail
CUST0074,Small,Basic,156.28,10,6,380.65,1,28,12,Manufacturing
CUST0075,Enterprise,Enterprise,1051.32,3,36,5058.63,0,9,118,Healthcare
CUST0076,Medium,Professional,593.81,5,24,1250.29,1,16,56,Healthcare
CUST0077,Enterprise,Enterprise,1161.0,1,36,2676.25,0,15,247,Finance
CUST0078,Enterprise,Enterprise,1475.24,3,36,1186.05,0,11,146,Manufacturing
CUST0079,Medium,Professional,565.03,4,24,1217.79,1,35,35,Healthcare
CUST0080,Small,Basic,214.42,10,6,398.65,1,59,15,Technology
CUST0081,Medium,Professional,406.82,2,12,1192.11,0,18,56,Finance
CUST0082,Small,Basic,188.06,3,6,346.08,0,28,12,Manufacturing
CUST0083,Medium,Professional,503.55,3,24,904.94,0,26,32,Technology
CUST0084,Small,Basic,266.01,6,6,367.16,1,53,9,Manufacturing
CUST0085,Small,Basic,266.32,9,12,318.24,1,68,5,Retail
CUST0086,Medium,Professional,692.31,2,12,1421.9,0,36,59,Healthcare
CUST0087,Small,Basic,297.1,4,12,437.07,0,63,20,Manufacturing
CUST0088,Medium,Professional,339.88,4,24,1011.46,0,0,46,Finance
CUST0089,Enterprise,Enterprise,970.85,3,36,5130.48,0,2,139,Manufacturing
CUST0090,Small,Basic,268.1,2,12,409.5,0,8,15,Retail
CUST0091,Enterprise,Enterprise,1054.94,2,24,3082.77,1,0,123,Healthcare
CUST0092,Small,Basic,191.48,4,12,354.87,1,21,16,Technology
CUST0093,Enterprise,Enterprise,1068.92,2,24,3394.66,0,14,161,Retail
CUST0094,Enterprise,Enterprise,759.09,2,24,2223.54,0,9,219,Technology
CUST0095,Medium,Professional,641.33,1,24,865.36,0,15,54,Manufacturing
CUST0096,Medium,Professional,409.79,5,24,1486.99,0,3,43,Healthcare
CUST0097,Enterprise,Enterprise,875.2,1,36,1981.9,0,8,173,Manufacturing
CUST0098,Medium,Professional,592.94,1,24,1140.05,0,18,27,Finance
CUST0099,Small,Basic,182.71,6,12,365.12,1,21,9,Manufacturing
CUST0100,Enterprise,Enterprise,1074.67,0,24,2219.41,0,4,175,Manufacturing
CUST0101,Enterprise,Enterprise,772.24,3,36,2003.25,0,0,201,Finance
CUST0102,Medium,Professional,343.34,2,24,1133.58,1,30,41,Technology
CUST0103,Small,Basic,277.35,6,12,369.4,1,52,12,Retail
CUST0104,Enterprise,Enterprise,1409.81,1,24,993.61,0,12,177,Technology
CUST0105,Medium,Professional,546.26,3,24,870.36,0,2,34,Retail
CUST0106,Medium,Professional,517.79,6,24,790.57,1,22,40,Finance
CUST0107,Small,Basic,215.69,2,6,355.51,0,6,8,Healthcare
CUST0108,Enterprise,Enterprise,1169.11,1,24,5382.03,0,10,244,Finance
CUST0109,Small,Basic,77.48,2,6,347.16,1,16,9,Retail
CUST0110,Medium,Professional,510.43,6,24,1155.63,0,4,26,Finance
CUST0111,Medium,Professional,590.9,6,12,1032.01,0,33,31,Healthcare
CUST0112,Small,Basic,172.57,9,6,391.0,0,9,20,Technology
CUST0113,Medium,Professional,452.36,5,24,1290.92,1,33,29,Healthcare
CUST0114,Medium,Professional,472.03,2,12,807.42,0,26,31,Retail
CUST0115,Small,Basic,143.58,4,12,330.31,1,60,8,Manufacturing
CUST0116,Small,Basic,189.09,10,6,333.63,1,42,8,Technology
CUST0117,Small,Basic,200.1,7,12,413.74,0,13,18,Manufacturing
CUST0118,Small,Basic,78.72,6,12,352.21,0,28,20,Finance
CUST0119,Enterprise,Enterprise,723.16,2,36,6228.02,0,9,242,Retail
CUST0120,Small,Basic,235.24,2,6,339.21,0,11,9,Healthcare
CUST0121,Small,Basic,244.21,3,12,379.53,0,6,19,Finance
CUST0122,Small,Basic,201.77,8,12,341.07,1,34,7,Retail
CUST0123,Small,Basic,181.73,6,12,408.36,1,5,18,Retail
CUST0124,Small,Basic,241.04,6,6,335.24,1,41,11,Retail
CUST0125,Medium,Professional,500.1,6,12,1309.53,1,22,36,Manufacturing
CUST0126,Medium,Professional,529.36,6,24,1034.63,0,40,54,Technology
CUST0127,Medium,Professional,632.81,3,24,1442.73,0,5,45,Technology
CUST0128,Small,Basic,236.45,5,12,373.89,0,42,17,Technology
CUST0129,Medium,Professional,440.44,6,24,982.87,0,9,32,Technology
CUST0130,Small,Basic,94.29,9,6,365.22,1,59,10,Finance
CUST0131,Medium,Professional,475.91,4,12,940.8,0,28,45,Retail
CUST0132,Medium,Professional,315.04,3,24,1077.13,0,18,47,Healthcare
CUST0133,Medium,Professional,479.89,5,12,1281.78,0,12,57,Technology
CUST0134,Medium,Professional,692.95,1,24,1121.93,0,32,28,Manufacturing
CUST0135,Small,Basic,140.97,6,6,397.73,1,49,19,Technology
CUST0136,Medium,Professional,431.88,5,12,891.21,0,24,28,Healthcare
CUST0137,Enterprise,Enterprise,948.19,3,36,5280.6,0,4,185,Retail
CUST0138,Small,Basic,217.53,10,6,367.15,0,11,17,Technology
CUST0139,Medium,Professional,436.69,4,12,1062.56,0,12,26,Manufacturing
CUST0140,Small,Basic,215.48,4,6,336.34,1,48,14,Finance
CUST0141,Enterprise,Enterprise,1241.09,1,36,1936.49,0,14,142,Finance
CUST0142,Small,Basic,275.99,5,12,381.53,0,47,12,Manufacturing
CUST0143,Enterprise,Enterprise,1473.01,1,36,2876.03,0,4,218,Retail
CUST0144,Medium,Professional,414.03,2,12,992.82,0,17,48,Technology
CUST0145,Small,Basic,271.16,2,12,433.43,1,53,18,Retail
CUST0146,Small,Basic,129.67,3,6,372.24,0,42,17,Retail
CUST0147,Small,Basic,162.15,2,12,356.35,1,10,20,Finance
CUST0148,Enterprise,Enterprise,788.95,2,36,2095.88,0,7,240,Finance
CUST0149,Small,Basic,199.18,2,12,432.45,0,65,19,Technology
CUST0150,Small,Basic,96.83,3,12,316.83,0,67,5,Finance
CUST0151,Enterprise,Enterprise,1012.36,3,24,4365.96,0,1,239,Technology
CUST0152,Small,Basic,233.24,3,6,311.38,1,42,5,Healthcare
CUST0153,Medium,Professional,552.69,2,24,921.66,0,4,36,Healthcare
CUST0154,Small,Basic,128.9,6,6,334.21,1,65,11,Manufacturing
CUST0155,Medium,Professional,644.86,1,24,832.98,0,21,27,Retail
CUST0156,Medium,Professional,435.61,2,24,1122.41,0,31,50,Healthcare
CUST0157,Enterprise,Enterprise,763.14,1,36,4012.11,0,9,232,Healthcare
CUST0158,Small,Basic,91.66,9,12,377.93,1,44,14,Technology
CUST0159,Medium,Professional,330.02,6,12,1445.04,0,25,52,Healthcare
CUST0160,Enterprise,Enterprise,727.84,0,36,1930.64,0,7,136,Finance
CUST0161,Small,Basic,143.0,3,12,336.05,0,17,6,Healthcare
CUST0162,Small,Basic,174.76,8,6,334.1,1,15,13,Manufacturing
CUST0163,Medium,Professional,380.07,2,24,743.29,0,4,38,Healthcare
CUST0164,Enterprise,Enterprise,1413.07,1,36,2961.2,0,5,181,Manufacturing
CUST0165,Small,Basic,56.57,10,12,337.42,1,47,11,Retail
CUST0166,Small,Basic,181.42,8,12,329.79,1,9,7,Retail
CUST0167,Medium,Professional,651.18,5,12,1191.02,0,40,53,Healthcare
CUST0168,Medium,Professional,365.86,3,24,844.21,0,14,28,Finance
CUST0169,Enterprise,Enterprise,800.14,2,36,4194.82,0,2,120,Retail
CUST0170,Medium,Professional,637.01,5,24,1292.67,0,2,34,Finance
CUST0171,Small,Basic,204.53,2,12,385.47,0,63,13,Technology
CUST0172,Small,Basic,124.36,3,12,395.08,1,7,14,Retail
CUST0173,Medium,Professional,593.68,3,24,1104.64,0,25,38,Manufacturing
CUST0174,Medium,Professional,479.84,2,24,1157.29,0,6,31,Healthcare
CUST0175,Enterprise,Enterprise,1350.78,2,24,4995.63,0,6,207,Manufacturing
CUST0176,Enterprise,Enterprise,772.04,3,24,3348.38,0,14,219,Manufacturing
CUST0177,Medium,Professional,414.3,1,24,1308.82,0,6,28,Finance
CUST0178,Medium,Professional,445.01,3,12,1200.61,0,4,50,Healthcare
CUST0179,Enterprise,Enterprise,802.93,0,24,2180.2,0,12,171,Manufacturing
CUST0180,Medium,Professional,500.03,1,24,900.35,0,2,48,Healthcare
CUST0181,Enterprise,Enterprise,962.37,2,24,3979.96,0,5,232,Healthcare
CUST0182,Medium,Professional,583.5,3,24,1065.7,0,30,44,Retail
CUST0183,Small,Basic,199.23,6,6,344.0,0,29,8,Healthcare
CUST0184,Medium,Professional,359.11,6,24,1154.25,1,15,58,Retail
CUST0185,Small,Basic,152.59,9,6,354.58,0,7,19,Technology
CUST0186,Small,Basic,128.44,4,12,373.05,0,58,15,Retail
CUST0187,Medium,Professional,411.6,3,12,963.25,0,14,41,Healthcare
CUST0188,Enterprise,Enterprise,979.04,2,36,2493.95,0,9,153,Healthcare
CUST0189,Small,Basic,122.61,6,6,431.19,1,10,17,Retail
CUST0190,Medium,Professional,673.21,6,24,1454.83,1,17,55,Manufacturing
CUST0191,Medium,Professional,555.18,1,12,1295.29,0,6,40,Retail
CUST0192,Small,Basic,151.73,9,6,346.72,1,61,9,Manufacturing
CUST0193,Small,Basic,183.79,2,6,315.13,0,22,6,Healthcare
CUST0194,Enterprise,Enterprise,849.05,2,36,988.95,1,1,109,Finance
CUST0195,Medium,Professional,655.7,2,24,1394.25,0,32,46,Retail
CUST0196,Enterprise,Enterprise,1274.88,0,36,4724.66,0,10,184,Finance
CUST0197,Medium,Professional,630.8,5,24,1358.77,1,20,37,Retail
CUST0198,Small,Basic,115.2,5,6,368.01,0,57,9,Technology
CUST0199,Small,Basic,65.53,3,6,320.05,1,59,5,Healthcare
CUST0200,Medium,Professional,447.02,2,24,1042.45,0,14,44,Manufacturing
CUST0201,Small,Basic,239.34,5,12,384.14,0,31,16,Manufacturing
CUST0202,Enterprise,Enterprise,762.48,0,36,3018.26,0,1,120,Retail
CUST0203,Small,Basic,79.06,5,12,363.31,1,62,9,Retail
CUST0204,Medium,Professional,525.56,5,24,1070.17,0,29,28,Retail
CUST0205,Medium,Professional,531.32,1,12,1148.23,0,27,50,Healthcare
CUST0206,Medium,Professional,312.69,4,24,706.85,0,11,28,Technology
CUST0207,Small,Basic,143.91,10,12,426.99,0,17,17,Manufacturing
CUST0208,Small,Basic,258.71,2,6,407.77,0,38,17,Healthcare
CUST0209,Medium,Professional,362.05,2,24,876.75,1,7,49,Retail
CUST0210,Medium,Professional,478.58,6,12,1118.1,0,3,26,Manufacturing
CUST0211,Medium,Professional,356.05,3,12,1130.67,0,14,39,Technology
CUST0212,Small,Basic,153.39,6,6,408.1,0,7,15,Retail
CUST0213,Enterprise,Enterprise,737.51,2,36,2653.13,0,12,144,Retail
CUST0214,Medium,Professional,396.39,2,24,1327.67,0,19,51,Healthcare
CUST0215,Enterprise,Enterprise,1010.74,2,24,3140.42,0,6,114,Finance
CUST0216,Enterprise,Enterprise,741.23,3,24,5361.56,0,1,194,Technology
CUST0217,Enterprise,Enterprise,867.11,2,36,2941.05,0,9,250,Finance
CUST0218,Small,Basic,278.61,5,12,329.7,0,50,11,Technology
CUST0219,Small,Basic,127.11,7,12,372.21,0,65,14,Retail
CUST0220,Small,Basic,142.68,8,6,378.19,0,5,20,Manufacturing
CUST0221,Medium,Professional,418.08,2,24,1241.36,0,21,26,Finance
CUST0222,Enterprise,Enterprise,905.86,3,36,4036.43,0,15,227,Retail
CUST0223,Small,Basic,180.99,3,6,445.91,0,6,20,Healthcare
CUST0224,Small,Basic,176.43,7,6,333.94,0,7,12,Manufacturing
CUST0225,Enterprise,Enterprise,709.48,2,36,5600.37,1,9,224,Retail
CUST0226,Enterprise,Enterprise,892.78,2,24,4445.73,0,11,145,Manufacturing
CUST0227,Small,Basic,124.99,3,6,358.27,1,4,17,Manufacturing
CUST0228,Small,Basic,70.67,8,6,340.19,1,42,20,Manufacturing
CUST0229,Enterprise,Enterprise,916.88,0,36,4395.77,0,8,110,Technology
CUST0230,Medium,Professional,534.81,6,12,782.67,0,25,36,Retail
CUST0231,Small,Basic,145.96,4,12,384.73,0,10,12,Healthcare
CUST0232,Small,Basic,292.23,7,12,343.44,0,3,18,Healthcare
CUST0233,Medium,Professional,571.88,6,12,1068.05,1,24,47,Manufacturing
CUST0234,Small,Basic,145.0,4,6,329.62,1,49,12,Retail
CUST0235,Small,Basic,83.13,4,6,391.4,1,55,14,Technology
CUST0236,Medium,Professional,538.77,3,12,1312.07,1,24,31,Retail
CUST0237,Small,Basic,192.99,4,6,337.23,1,48,7,Manufacturing
CUST0238,Small,Basic,155.28,9,12,359.21,1,9,20,Healthcare
CUST0239,Medium,Professional,354.2,1,12,1021.42,0,25,56,Finance
CUST0240,Small,Basic,125.11,5,6,368.2,1,61,15,Retail
CUST0241,Enterprise,Enterprise,960.71,2,24,2569.25,0,12,174,Manufacturing
CUST0242,Small,Basic,285.74,5,12,352.69,0,56,10,Retail
CUST0243,Enterprise,Enterprise,893.62,1,36,2386.44,0,13,204,Technology
CUST0244,Medium,Professional,517.46,3,24,1136.99,0,34,55,Technology
CUST0245,Small,Basic,190.81,8,6,349.22,0,42,12,Technology
CUST0246,Small,Basic,161.44,8,6,339.77,1,59,8,Manufacturing
CUST0247,Medium,Professional,418.17,1,12,1066.03,0,7,34,Retail
CUST0248,Small,Basic,137.08,3,12,348.07,0,56,15,Finance
CUST0249,Small,Basic,262.3,3,6,386.75,0,21,14,Manufacturing
CUST0250,Medium,Professional,392.74,4,24,1425.46,1,40,60,Finance
CUST0251,Small,Basic,226.18,5,6,349.8,0,35,11,Manufacturing
CUST0252,Medium,Professional,345.58,6,24,1321.22,0,31,59,Technology
CUST0253,Medium,Professional,546.95,6,24,1052.17,0,19,50,Healthcare
CUST0254,Small,Basic,95.76,4,6,330.2,1,65,9,Retail
CUST0255,Small,Basic,188.73,9,6,383.06,1,36,17,Retail
CUST0256,Enterprise,Enterprise,809.23,3,36,1909.26,0,15,113,Healthcare
CUST0257,Medium,Professional,618.35,2,12,1039.07,1,18,53,Manufacturing
CUST0258,Medium,Professional,519.89,1,24,920.34,1,36,35,Finance
CUST0259,Enterprise,Enterprise,1137.08,3,36,3594.18,0,3,193,Retail
CUST0260,Small,Basic,159.77,3,6,324.0,1,30,6,Finance
CUST0261,Medium,Professional,625.41,1,12,1247.85,0,36,52,Retail
CUST0262,Medium,Professional,529.09,5,24,1223.66,1,6,35,Healthcare
CUST0263,Enterprise,Enterprise,899.74,2,24,1501.24,0,7,170,Manufacturing
CUST0264,Medium,Professional,553.45,1,12,1001.86,0,25,42,Manufacturing
CUST0265,Medium,Professional,647.56,6,12,1163.74,0,5,48,Healthcare
CUST0266,Medium,Professional,387.13,4,24,1008.32,0,13,47,Manufacturing
CUST0267,Enterprise,Enterprise,1330.64,0,36,2828.5,0,1,186,Healthcare
CUST0268,Small,Basic,100.58,4,12,319.48,1,38,10,Manufacturing
CUST0269,Small,Basic,62.95,6,6,366.95,1,29,16,Healthcare
CUST0270,Medium,Professional,507.78,4,12,1133.64,1,0,25,Technology
CUST0271,Enterprise,Enterprise,1006.46,0,24,2736.05,0,3,208,Healthcare
CUST0272,Small,Basic,182.63,2,6,354.21,0,21,9,Healthcare
CUST0273,Medium,Professional,643.99,1,24,841.74,0,6,34,Finance
CUST0274,Medium,Professional,399.11,6,12,1213.32,0,5,49,Technology
CUST0275,Medium,Professional,382.18,5,24,996.76,1,32,43,Retail
CUST0276,Small,Basic,173.72,3,6,340.36,0,30,6,Manufacturing
CUST0277,Small,Basic,146.71,8,6,338.0,1,46,5,Retail
CUST0278,Enterprise,Enterprise,872.59,0,36,4717.06,0,12,118,Finance
CUST0279,Enterprise,Enterprise,921.97,2,24,2211.63,0,2,208,Retail
CUST0280,Enterprise,Enterprise,948.14,3,24,2958.31,0,7,139,Finance
CUST0281,Enterprise,Enterprise,1232.86,1,36,3415.75,1,3,129,Technology
CUST0282,Medium,Professional,366.79,2,24,1044.96,0,17,35,Finance
CUST0283,Enterprise,Enterprise,910.36,0,24,3649.58,0,15,107,Technology
CUST0284,Small,Basic,273.57,3,6,334.67,0,29,10,Healthcare
CUST0285,Small,Basic,280.06,4,12,323.4,0,4,5,Technology
CUST0286,Small,Basic,256.5,7,12,375.28,0,15,12,Manufacturing
CUST0287,Small,Basic,266.51,6,12,314.44,1,41,6,Technology
CUST0288,Small,Basic,165.98,9,6,373.07,0,25,11,Manufacturing
CUST0289,Enterprise,Enterprise,886.4,2,24,5128.02,0,0,162,Retail
CUST0290,Enterprise,Enterprise,864.16,1,24,2351.18,0,13,196,Technology
CUST0291,Enterprise,Enterprise,1417.83,3,24,2001.3,0,11,136,Technology
CUST0292,Medium,Professional,536.76,1,12,1514.32,0,27,57,Technology
CUST0293,Small,Basic,225.18,7,12,398.08,0,40,13,Finance
CUST0294,Small,Basic,88.85,4,6,371.97,1,57,11,Finance
CUST0295,Small,Basic,165.84,3,12,351.9,1,11,16,Manufacturing
CUST0296,Enterprise,Enterprise,772.97,1,24,4425.26,0,11,110,Healthcare
CUST0297,Medium,Professional,641.84,5,24,832.72,1,35,41,Technology
CUST0298,Small,Basic,82.68,8,6,320.45,1,47,9,Manufacturing
CUST0299,Medium,Professional,379.1,6,12,749.99,0,28,41,Technology
CUST0300,Enterprise,Enterprise,834.39,3,24,5418.17,0,12,184,Technology
CUST0301,Medium,Professional,411.94,2,24,1255.83,0,2,36,Manufacturing
CUST0302,Small,Basic,65.24,6,12,401.65,1,49,14,Retail
CUST0303,Medium,Professional,695.76,6,12,1512.45,0,22,58,Finance
CUST0304,Small,Basic,199.28,2,12,345.57,1,35,15,Manufacturing
CUST0305,Medium,Professional,406.61,6,12,717.04,0,3,39,Manufacturing
CUST0306,Medium,Professional,370.44,5,12,1331.85,0,20,49,Finance
CUST0307,Enterprise,Enterprise,1150.49,1,24,2125.97,0,15,107,Healthcare
CUST0308,Medium,Professional,510.58,1,12,1334.6,0,21,30,Finance
CUST0309,Enterprise,Enterprise,747.64,1,36,3037.12,0,4,187,Finance
CUST0310,Enterprise,Enterprise,1168.81,2,36,3908.52,0,9,118,Retail
CUST0311,Medium,Professional,369.68,5,24,1128.62,0,39,52,Finance
CUST0312,Medium,Professional,350.94,6,24,1203.51,0,0,36,Finance
CUST0313,Small,Basic,209.91,3,6,322.64,1,63,6,Retail
CUST0314,Small,Basic,255.42,7,6,408.85,1,57,15,Technology
CUST0315,Small,Basic,62.04,9,6,346.41,0,53,7,Finance
CUST0316,Medium,Professional,615.49,5,24,1197.61,0,14,49,Manufacturing
CUST0317,Enterprise,Enterprise,759.36,1,24,3742.89,0,12,108,Technology
CUST0318,Medium,Professional,581.8,4,24,1234.58,0,10,30,Technology
CUST0319,Small,Basic,224.3,10,12,362.1,0,33,8,Manufacturing
CUST0320,Small,Basic,88.4,7,12,331.18,1,0,6,Healthcare
CUST0321,Enterprise,Enterprise,1210.55,0,24,4179.58,0,15,222,Healthcare
CUST0322,Enterprise,Enterprise,1213.49,3,24,3856.19,0,5,220,Healthcare
CUST0323,Small,Basic,106.56,6,12,387.18,1,7,19,Manufacturing
CUST0324,Small,Basic,188.4,8,6,371.55,1,66,16,Technology
CUST0325,Medium,Professional,331.58,6,24,1044.13,0,2,55,Retail
CUST0326,Enterprise,Enterprise,1459.25,1,24,4915.28,0,6,137,Retail
CUST0327,Small,Basic,258.53,6,6,332.27,0,40,7,Finance
CUST0328,Small,Basic,279.29,2,12,420.93,0,66,17,Technology
CUST0329,Medium,Professional,669.97,5,12,1046.91,0,6,34,Technology
CUST0330,Enterprise,Enterprise,729.97,2,36,4658.84,0,12,205,Retail
CUST0331,Medium,Professional,576.21,1,24,1543.6,0,30,50,Retail
CUST0332,Small,Basic,293.12,5,6,398.11,0,17,14,Healthcare
CUST0333,Enterprise,Enterprise,850.35,1,24,4241.44,0,13,182,Manufacturing
CUST0334,Enterprise,Enterprise,1267.66,3,36,2775.66,0,4,114,Retail
CUST0335,Enterprise,Enterprise,1369.58,1,24,4580.92,0,1,107,Retail
CUST0336,Medium,Professional,554.16,1,24,1179.97,0,1,42,Healthcare
CUST0337,Medium,Professional,437.7,3,24,798.2,0,5,36,Manufacturing
CUST0338,Small,Basic,117.27,8,6,364.58,1,65,11,Manufacturing
CUST0339,Medium,Professional,389.51,5,12,996.6,0,19,33,Technology
CUST0340,Medium,Professional,486.68,6,12,921.99,0,33,49,Healthcare
CUST0341,Medium,Professional,524.58,5,24,1042.45,1,38,25,Manufacturing
CUST0342,Medium,Professional,404.46,6,24,875.79,0,19,46,Technology
CUST0343,Enterprise,Enterprise,1228.42,1,36,2055.1,0,0,114,Retail
CUST0344,Small,Basic,135.79,5,6,414.97,1,68,18,Healthcare
CUST0345,Enterprise,Enterprise,935.03,3,24,3821.59,0,4,191,Manufacturing
CUST0346,Enterprise,Enterprise,877.8,1,24,1792.35,0,9,146,Retail
CUST0347,Small,Basic,266.6,3,6,337.36,0,60,14,Healthcare
CUST0348,Small,Basic,84.34,5,6,375.67,1,43,17,Retail
CUST0349,Enterprise,Enterprise,1323.15,3,24,5483.94,0,10,217,Retail
CUST0350,Small,Basic,194.07,4,6,320.85,0,62,6,Finance
CUST0351,Small,Basic,145.83,2,12,379.2,1,68,18,Technology
CUST0352,Enterprise,Enterprise,1241.4,1,24,2416.5,0,7,182,Healthcare
CUST0353,Small,Basic,66.32,2,6,343.64,0,38,8,Healthcare
CUST0354,Medium,Professional,437.09,4,12,1422.31,0,22,58,Manufacturing
CUST0355,Enterprise,Enterprise,868.95,0,24,5102.72,0,5,203,Finance
CUST0356,Small,Basic,215.49,2,6,374.38,0,6,13,Technology
CUST0357,Medium,Professional,382.2,6,12,1026.71,1,40,32,Manufacturing
CUST0358,Medium,Professional,467.53,1,12,1364.77,0,32,58,Manufacturing
CUST0359,Small,Basic,257.87,5,12,344.73,0,45,8,Technology
CUST0360,Small,Basic,132.65,2,12,422.49,0,1,20,Healthcare
CUST0361,Enterprise,Enterprise,1278.85,0,24,4477.57,0,8,226,Technology
CUST0362,Enterprise,Enterprise,1399.31,2,24,3846.08,0,11,175,Manufacturing
CUST0363,Medium,Professional,303.87,2,12,1352.58,0,10,32,Healthcare
