customer_id,total_purchases,avg_order_value,days_since_last_purchase,product_category_preference,email_engagement_score,support_tickets_count,lifetime_value,region,signup_date
CUST-00079,79,136.93,61,Libros,0.721,10,4409.19,Murcia,2021-01-02
CUST-00080,56,373.22,141,Deportes,0.725,16,17495.9,Valencia,2018-07-25
CUST-00081,59,190.03,154,Libros,0.014,17,4640.83,Sevilla,2018-04-04
CUST-00082,33,324.37,251,Libros,0.103,0,8741.68,Madrid,2020-08-19
CUST-00083,88,104.42,26,Alimentación,0.252,15,3700.2,Murcia,2018-05-14
CUST-00084,19,294.86,351,Alimentación,0.054,4,5770.57,Zaragoza,2023-04-28
CUST-00085,64,72.45,213,Ropa,0.606,19,2332.86,Bilbao,2020-12-06
CUST-00086,114,159.22,301,Alimentación,0.99,9,14734.44,Zaragoza,2018-05-04
CUST-00087,55,143.35,41,Deportes,0.157,5,6282.12,Barcelona,2018-11-17
CUST-00088,116,349.35,240,Juguetes,0.291,7,22665.18,Madrid,2019-08-03
CUST-00089,60,463.1,320,Ropa,0.59,6,18967.42,Murcia,2021-01-20
CUST-00090,69,415.92,36,Hogar,0.06,9,23978.72,Sevilla,2022-08-16
CUST-00091,32,242.32,155,Alimentación,0.7,8,5818.98,Bilbao,2020-10-08
CUST-00092,11,446.37,165,Ropa,0.604,0,1876.6,Murcia,2023-05-24
CUST-00093,148,34.51,89,Libros,0.471,20,3565.05,Madrid,2019-07-24
CUST-00094,126,484.99,240,Juguetes,0.348,10,35990.14,Valencia,2018-08-03
CUST-00095,106,351.43,147,Belleza,0.663,12,38451.43,Valencia,2021-01-31
CUST-00096,23,167.54,165,Alimentación,0.116,12,4155.6,Madrid,2022-08-17
CUST-00097,106,41.29,265,Alimentación,0.362,15,3776.55,Madrid,2022-04-06
CUST-00098,69,281.37,147,Deportes,0.438,15,7946.05,Madrid,2023-06-17
CUST-00099,80,282.16,282,Hogar,0.408,7,26930.06,Sevilla,2023-02-13
CUST-00100,31,329.14,78,Alimentación,0.498,9,7733.98,Barcelona,2019-07-14
CUST-00101,121,133.21,282,Alimentación,0.145,6,18208.67,Zaragoza,2020-11-06
CUST-00102,71,389.75,212,Ropa,0.34,16,14955.62,Valencia,2018-01-06
CUST-00103,149,499.47,250,Libros,0.865,14,58399.86,Bilbao,2019-12-08
CUST-00104,117,467.43,96,Juguetes,0.981,7,44550.89,Málaga,2019-04-24
CUST-00105,82,376.18,361,Electrónica,0.913,12,19972.38,Zaragoza,2021-09-21
CUST-00106,10,76.23,302,Alimentación,0.332,3,828.45,Valencia,2020-06-20
CUST-00107,4,365.39,209,Alimentación,0.871,4,536.9,Barcelona,2022-05-20
CUST-00108,102,330.17,168,Belleza,0.852,17,21621.14,Bilbao,2019-10-11
CUST-00109,18,128.86,350,Electrónica,0.921,7,2254.74,Murcia,2020-06-07
CUST-00110,114,95.69,153,Ropa,0.903,1,6457.24,Barcelona,2018-04-25
CUST-00111,96,223.88,125,Belleza,0.531,18,19635.97,Bilbao,2019-01-04
CUST-00112,21,310.6,195,Hogar,0.62,7,4878.26,Valencia,2021-04-09
CUST-00113,119,324.38,235,Deportes,0.255,0,42809.44,Valencia,2020-08-10
CUST-00114,19,229.24,176,Hogar,0.988,9,3811.31,Bilbao,2020-05-18
CUST-00115,78,111.62,196,Alimentación,0.853,3,4470.59,Bilbao,2021-03-17
CUST-00116,76,25.64,337,Libros,0.396,0,1577.1,Málaga,2021-11-05
CUST-00117,74,391.23,117,Alimentación,0.607,11,14391.67,Madrid,2019-01-25
CUST-00118,25,453.15,330,Hogar,0.039,14,3738.81,Bilbao,2020-01-18
CUST-00119,76,173.46,212,Ropa,0.176,4,13286.6,Valencia,2022-11-30
CUST-00120,43,139.63,246,Libros,0.967,9,5835.4,Málaga,2019-11-25
CUST-00121,20,83.27,115,Alimentación,0.86,12,1949.42,Barcelona,2022-07-06
CUST-00122,102,21.75,274,Ropa,0.124,11,2008.95,Málaga,2021-10-08
CUST-00123,96,67.55,119,Juguetes,0.471,19,7106.12,Bilbao,2021-02-23
CUST-00124,17,323.17,237,Deportes,0.909,9,4858.33,Málaga,2018-08-27
CUST-00125,10,162.62,252,Electrónica,0.116,7,1786.43,Valencia,2018-10-05
CUST-00126,95,340.19,356,Alimentación,0.946,13,26778.94,Zaragoza,2022-01-28
CUST-00127,26,419.34,315,Juguetes,0.408,8,3591.88,Valencia,2020-01-29
CUST-00128,114,476.02,185,Alimentación,0.099,11,42871.41,Sevilla,2021-08-13
CUST-00129,102,148.8,62,Electrónica,0.949,14,5805.52,Málaga,2019-03-11
CUST-00130,86,133.13,64,Electrónica,0.787,6,4141.73,Madrid,2022-04-17
CUST-00131,60,174.35,75,Deportes,0.789,19,3165.0,Sevilla,2022-10-25
CUST-00132,139,136.57,89,Hogar,0.11,0,7946.81,Valencia,2020-01-04
CUST-00133,5,99.51,26,Belleza,0.127,13,384.84,Sevilla,2022-03-08
CUST-00134,115,392.34,262,Alimentación,0.594,14,33995.2,Barcelona,2023-04-21
CUST-00135,118,327.02,15,Libros,0.061,15,41002.78,Madrid,2020-05-23
CUST-00136,114,50.64,41,Alimentación,0.322,4,2073.15,Barcelona,2019-07-18
CUST-00137,136,158.03,258,Juguetes,0.605,3,21788.38,Málaga,2018-08-23
CUST-00138,116,445.72,211,Juguetes,0.339,14,34065.23,Sevilla,2022-02-03
CUST-00139,110,166.57,130,Belleza,0.374,4,16822.78,Barcelona,2020-08-29
CUST-00140,22,60.22,49,Ropa,0.745,11,1365.37,Barcelona,2021-02-13
CUST-00141,32,214.24,340,Belleza,0.941,13,7412.93,Madrid,2022-01-16
CUST-00142,80,185.55,295,Libros,0.507,4,13226.93,Madrid,2019-04-05
CUST-00143,143,193.27,142,Belleza,0.574,13,29313.54,Barcelona,2023-06-19
CUST-00144,8,102.5,359,Libros,0.762,10,505.06,Madrid,2019-01-07
CUST-00145,18,83.81,324,Juguetes,0.972,2,1465.59,Valencia,2019-03-17
CUST-00146,117,180.33,189,Juguetes,0.312,10,21080.72,Zaragoza,2021-03-08
CUST-00147,40,91.34,316,Electrónica,0.05,2,1990.82,Barcelona,2021-09-17
CUST-00148,114,215.88,110,Alimentación,0.755,3,15028.43,Zaragoza,2018-08-16
CUST-00149,135,338.56,23,Alimentación,0.221,19,15965.14,Bilbao,2019-02-23
CUST-00150,36,385.62,148,Deportes,0.328,0,10379.07,Bilbao,2020-05-31
CUST-00151,98,273.3,117,Hogar,0.5,11,9772.4,Valencia,2022-10-31
CUST-00152,5,237.98,39,Juguetes,0.862,18,816.69,Madrid,2020-04-08
CUST-00153,30,211.44,166,Libros,0.172,19,4529.6,Zaragoza,2021-11-13
CUST-00154,112,424.57,124,Ropa,0.436,12,36689.4,Málaga,2020-03-21
CUST-00155,57,176.54,86,Belleza,0.076,20,4051.52,Bilbao,2020-11-10
CUST-00156,90,367.78,330,Belleza,0.815,7,12992.63,Sevilla,2019-06-09
CUST-00157,40,383.7,335,Hogar,0.075,20,11429.74,Sevilla,2022-03-26
CUST-00158,81,88.21,34,Belleza,0.469,20,4090.79,Murcia,2019-07-17
CUST-00159,130,50.98,236,Belleza,0.452,1,4187.61,Madrid,2019-08-11
CUST-00160,130,201.47,297,Ropa,0.554,1,18458.45,Barcelona,2022-07-17
CUST-00161,122,258.16,31,Belleza,0.451,10,37295.33,Sevilla,2018-06-22
CUST-00162,64,358.2,224,Electrónica,0.524,19,10152.74,Valencia,2020-02-03
CUST-00163,105,390.62,347,Juguetes,0.598,20,36198.89,Bilbao,2018-05-15
CUST-00164,143,344.01,145,Ropa,0.252,19,53421.69,Málaga,2019-11-14
CUST-00165,90,165.46,335,Hogar,0.698,12,6195.66,Barcelona,2021-12-22
CUST-00166,144,197.69,168,Libros,0.813,16,10934.53,Barcelona,2021-10-05
CUST-00167,5,190.86,92,Belleza,0.951,10,1100.21,Zaragoza,2020-09-22
CUST-00168,36,90.15,151,Deportes,0.844,3,2456.51,Sevilla,2021-01-10
CUST-00169,34,304.66,78,Belleza,0.162,19,10649.92,Madrid,2018-12-06
CUST-00170,106,191.69,121,Electrónica,0.97,19,11306.28,Murcia,2022-03-14
CUST-00171,137,131.0,240,Deportes,0.904,6,11325.58,Murcia,2023-04-24
CUST-00172,73,392.39,257,Alimentación,0.527,5,29652.82,Murcia,2022-06-29
CUST-00173,14,325.97,190,Libros,0.555,3,4290.96,Valencia,2020-11-22
CUST-00174,22,385.11,139,Libros,0.449,16,3665.29,Barcelona,2020-06-14
CUST-00175,116,444.05,13,Deportes,0.415,12,38725.4,Barcelona,2019-04-28
CUST-00176,96,123.9,163,Ropa,0.931,20,7157.59,Zaragoza,2018-10-27
CUST-00177,74,459.94,241,Electrónica,0.696,4,33455.49,Valencia,2020-08-18
CUST-00178,21,24.22,110,Electrónica,0.835,17,582.98,Murcia,2021-05-31
CUST-00179,74,130.26,62,Ropa,0.048,13,8434.88,Zaragoza,2021-06-29
CUST-00180,29,420.79,255,Ropa,0.597,0,10601.39,Murcia,2021-03-23
CUST-00181,75,223.18,314,Hogar,0.353,18,11297.0,Sevilla,2021-09-22
CUST-00182,18,477.4,278,Belleza,0.507,16,6863.7,Barcelona,2020-03-10
CUST-00183,100,490.8,129,Electrónica,0.747,11,49554.51,Murcia,2019-12-08
CUST-00184,149,371.57,170,Ropa,0.133,11,43815.7,Sevilla,2022-07-25
CUST-00185,123,321.39,69,Alimentación,0.063,14,13175.1,Valencia,2019-02-17
CUST-00186,11,168.06,158,Deportes,0.515,17,1342.24,Madrid,2018-03-16
CUST-00187,92,433.14,24,Libros,0.866,10,21753.3,Sevilla,2022-06-26
CUST-00188,103,375.5,197,Juguetes,0.339,5,28875.21,Málaga,2020-10-15
CUST-00189,22,367.63,40,Libros,0.431,5,6396.91,Málaga,2019-10-20
CUST-00190,84,335.55,156,Ropa,0.446,13,12683.23,Barcelona,2020-06-28
CUST-00191,11,367.5,180,Alimentación,0.615,13,2211.65,Málaga,2022-06-09
CUST-00192,104,191.21,347,Ropa,0.16,0,8521.11,Madrid,2021-05-29
CUST-00193,33,47.61,330,Electrónica,0.366,12,1813.9,Murcia,2018-03-08
CUST-00194,95,195.43,39,Alimentación,0.574,16,11701.22,Valencia,2019-10-06
CUST-00195,30,27.57,95,Deportes,0.499,12,928.16,Bilbao,2018-08-30
CUST-00196,115,119.07,313,Libros,0.286,15,6574.86,Bilbao,2018-10-05
CUST-00197,45,450.86,227,Alimentación,0.997,10,18281.25,Barcelona,2021-12-24
CUST-00198,77,427.91,364,Libros,0.71,20,15047.24,Barcelona,2020-01-11
CUST-00199,52,399.15,121,Ropa,0.79,0,12968.37,Sevilla,2021-03-18
CUST-00200,142,77.94,44,Alimentación,0.066,12,13276.94,Málaga,2022-01-12
CUST-00201,105,414.32,37,Juguetes,0.125,10,38200.72,Murcia,2020-07-10
CUST-00202,33,440.81,282,Belleza,0.64,5,14415.86,Murcia,2018-09-22
CUST-00203,32,266.28,155,Electrónica,0.165,10,9724.67,Zaragoza,2019-04-07
CUST-00204,21,136.54,325,Libros,0.956,8,1183.22,Málaga,2019-09-13
CUST-00205,149,89.78,337,Hogar,0.624,19,8077.94,Barcelona,2023-03-08
CUST-00206,21,37.05,328,Electrónica,0.771,8,689.37,Madrid,2022-04-20
CUST-00207,128,446.16,279,Electrónica,0.29,9,41954.76,Zaragoza,2022-07-07
CUST-00208,117,50.39,30,Libros,0.158,13,4338.16,Zaragoza,2019-02-22
CUST-00209,81,432.82,163,Hogar,0.734,11,41293.09,Málaga,2018-09-25
CUST-00210,82,132.24,62,Ropa,0.267,7,4627.97,Málaga,2018-04-14
CUST-00211,108,135.41,81,Juguetes,0.813,18,13878.67,Bilbao,2019-01-24
CUST-00212,132,241.41,157,Alimentación,0.497,2,36668.65,Valencia,2020-11-01
CUST-00213,56,297.92,24,Deportes,0.051,15,13976.9,Murcia,2022-09-23
CUST-00214,138,18.97,55,Libros,0.431,8,2499.42,Murcia,2022-04-14
CUST-00215,12,209.28,291,Belleza,0.562,11,2003.82,Zaragoza,2018-05-31
CUST-00216,141,150.66,319,Alimentación,0.68,3,8832.8,Zaragoza,2018-07-18
CUST-00217,87,285.55,187,Belleza,0.755,6,20923.06,Zaragoza,2020-04-02
CUST-00218,10,81.46,170,Electrónica,0.804,16,579.42,Madrid,2021-05-26
CUST-00219,82,93.81,315,Belleza,0.739,9,6418.19,Valencia,2020-11-04
CUST-00220,122,410.64,188,Libros,0.331,3,59211.33,Murcia,2021-04-10
CUST-00221,122,143.78,335,Electrónica,0.783,18,14381.49,Bilbao,2022-01-17
CUST-00222,44,269.25,317,Alimentación,0.775,12,5129.73,Madrid,2021-10-26
CUST-00223,147,474.88,56,Electrónica,0.191,14,40650.45,Sevilla,2018-11-07
CUST-00224,106,258.38,313,Deportes,0.921,1,25613.46,Zaragoza,2020-11-28
CUST-00225,123,269.86,160,Belleza,0.957,14,37206.18,Sevilla,2019-12-03
CUST-00226,124,108.25,126,Libros,0.279,9,6743.45,Málaga,2023-06-16
CUST-00227,54,349.77,250,Libros,0.317,11,15193.9,Bilbao,2023-03-29
CUST-00228,32,293.14,278,Libros,0.38,12,9723.24,Bilbao,2023-05-10
CUST-00229,11,154.5,365,Libros,0.079,14,1513.19,Valencia,2022-03-11
CUST-00230,52,416.56,138,Deportes,0.933,8,9174.47,Murcia,2021-06-14
CUST-00231,13,339.87,271,Deportes,0.226,7,1534.22,Sevilla,2020-04-26
CUST-00232,26,345.38,70,Alimentación,0.005,17,10597.33,Málaga,2018-11-20
CUST-00233,123,330.51,147,Alimentación,0.321,20,14360.43,Zaragoza,2022-04-24
CUST-00234,137,373.26,19,Deportes,0.913,5,34573.29,Barcelona,2022-09-12
CUST-00235,102,397.16,95,Electrónica,0.937,9,44118.53,Valencia,2018-01-19
CUST-00236,86,153.01,328,Ropa,0.543,15,14479.14,Bilbao,2018-10-02
CUST-00237,50,407.27,169,Libros,0.162,14,17990.27,Murcia,2022-01-11
CUST-00238,87,398.52,290,Electrónica,0.674,6,15877.54,Valencia,2022-10-20
CUST-00239,132,174.04,205,Juguetes,0.669,5,27189.26,Zaragoza,2020-09-04
CUST-00240,2,141.48,120,Deportes,0.447,8,327.85,Málaga,2019-09-11
CUST-00241,93,350.99,31,Libros,0.668,14,18805.94,Madrid,2020-04-10
CUST-00242,76,193.26,113,Ropa,0.219,4,10727.41,Bilbao,2020-07-20
CUST-00243,141,457.71,275,Juguetes,0.802,6,63612.53,Málaga,2021-10-25
CUST-00244,136,356.33,39,Alimentación,0.917,3,17231.83,Barcelona,2021-01-26
CUST-00245,43,174.14,266,Hogar,0.442,6,7077.87,Sevilla,2020-09-28
CUST-00246,15,234.91,262,Alimentación,0.415,18,1240.19,Barcelona,2020-08-04
CUST-00247,102,138.41,1,Electrónica,0.746,18,5163.26,Bilbao,2020-05-17
CUST-00248,139,497.15,35,Ropa,0.986,15,22704.86,Málaga,2020-04-17
CUST-00249,108,196.61,195,Hogar,0.449,12,13548.93,Valencia,2021-10-30
CUST-00250,31,101.56,275,Belleza,0.393,4,3006.91,Valencia,2019-04-02
CUST-00251,77,239.56,278,Electrónica,0.424,12,19202.86,Madrid,2019-05-22
CUST-00252,40,148.69,57,Belleza,0.032,13,5075.87,Murcia,2023-04-02
CUST-00253,53,47.64,304,Deportes,0.034,19,2284.6,Madrid,2022-11-22
CUST-00254,12,210.1,119,Deportes,0.54,1,1074.34,Madrid,2019-08-16
CUST-00255,148,304.99,344,Belleza,0.818,7,25800.64,Sevilla,2018-10-21
CUST-00256,77,148.45,285,Juguetes,0.949,5,9869.15,Sevilla,2020-05-24
CUST-00257,89,471.67,343,Electrónica,0.381,16,24635.62,Murcia,2020-05-02
CUST-00258,77,197.58,275,Hogar,0.474,7,8681.87,Zaragoza,2021-12-20
CUST-00259,15,287.76,213,Alimentación,0.557,4,2803.83,Valencia,2019-06-07
CUST-00260,21,462.28,189,Belleza,0.092,6,3362.64,Sevilla,2020-02-12
CUST-00261,49,405.26,300,Ropa,0.724,17,9835.83,Madrid,2019-03-04
CUST-00262,4,117.73,97,Libros,0.962,3,457.82,Málaga,2022-03-25
CUST-00263,53,207.37,122,Deportes,0.552,9,7062.52,Murcia,2020-12-28
CUST-00264,67,189.43,254,Libros,0.466,15,12507.35,Málaga,2019-10-18
CUST-00265,81,215.76,288,Belleza,0.864,4,5498.09,Sevilla,2021-02-07
CUST-00266,40,110.15,117,Libros,0.38,7,3301.73,Zaragoza,2021-09-02
CUST-00267,126,483.76,328,Libros,0.74,14,27515.15,Málaga,2022-06-17
CUST-00268,36,364.35,250,Hogar,0.184,17,15625.69,Málaga,2023-05-15
CUST-00269,20,473.42,342,Electrónica,0.049,0,6354.75,Madrid,2022-09-22
CUST-00270,39,19.43,258,Ropa,0.456,1,648.69,Sevilla,2021-09-27
CUST-00271,5,18.21,282,Alimentación,0.411,0,70.7,Murcia,2019-07-17
CUST-00272,129,409.38,345,Electrónica,0.431,5,20929.39,Bilbao,2018-07-17
CUST-00273,50,315.59,129,Deportes,0.815,8,16023.18,Valencia,2018-06-11
CUST-00274,118,289.03,356,Juguetes,0.226,2,30298.07,Málaga,2022-10-24
CUST-00275,104,198.94,282,Ropa,0.476,20,6382.9,Madrid,2018-12-17
CUST-00276,112,327.78,169,Alimentación,0.566,3,40577.51,Barcelona,2023-02-26
CUST-00277,55,452.12,354,Deportes,0.888,15,13527.07,Madrid,2023-03-08
CUST-00278,140,288.3,16,Libros,0.179,10,12677.39,Barcelona,2019-03-01
CUST-00279,20,160.15,288,Juguetes,0.24,12,2912.59,Valencia,2021-01-12
CUST-00280,36,398.39,352,Juguetes,0.724,16,13924.84,Málaga,2019-12-10
CUST-00281,112,127.59,38,Ropa,0.341,19,16567.53,Madrid,2020-03-23
CUST-00282,70,395.02,230,Electrónica,0.491,11,22058.46,Málaga,2020-02-08
CUST-00283,150,335.43,43,Hogar,0.772,9,51232.72,Zaragoza,2021-12-31
CUST-00284,69,89.8,364,Ropa,0.784,4,5983.61,Barcelona,2019-10-11
CUST-00285,24,17.52,157,Ropa,0.445,8,164.83,Málaga,2018-06-28
CUST-00286,115,285.14,262,Juguetes,0.408,0,12482.16,Valencia,2021-02-09
CUST-00287,99,20.99,211,Belleza,0.388,2,1979.01,Barcelona,2021-02-19
CUST-00288,98,97.21,137,Hogar,0.301,15,4109.21,Sevilla,2018-12-09
CUST-00289,108,160.38,39,Libros,0.361,7,16434.37,Zaragoza,2020-10-12
CUST-00290,28,80.71,3,Alimentación,0.949,10,2389.71,Sevilla,2020-02-18
CUST-00291,86,223.85,333,Alimentación,0.974,4,10980.67,Málaga,2021-05-20
CUST-00292,81,101.15,203,Alimentación,0.969,9,7876.79,Sevilla,2021-07-20
CUST-00293,84,197.39,201,Deportes,0.365,18,7955.78,Murcia,2021-01-22
CUST-00294,119,472.34,107,Electrónica,0.438,9,58915.1,Valencia,2018-05-22
CUST-00295,36,322.17,123,Alimentación,0.253,4,10945.29,Zaragoza,2022-06-05
CUST-00296,115,495.49,245,Ropa,0.582,17,43075.13,Zaragoza,2023-02-28
CUST-00297,93,355.29,274,Electrónica,0.594,2,13164.99,Zaragoza,2019-05-24
CUST-00298,12,288.16,330,Hogar,0.677,12,4046.22,Málaga,2019-11-11
CUST-00299,3,62.82,113,Ropa,0.511,16,151.18,Zaragoza,2021-11-09
CUST-00300,96,204.7,347,Alimentación,0.589,16,8561.45,Sevilla,2018-02-20
CUST-00301,76,216.75,43,Ropa,0.116,4,10106.12,Murcia,2019-12-04
CUST-00302,134,249.22,243,Deportes,0.098,14,19603.77,Murcia,2019-09-07
CUST-00303,6,426.85,331,Ropa,0.109,5,2911.79,Madrid,2022-02-25
CUST-00304,142,92.67,286,Hogar,0.426,14,6693.66,Sevilla,2020-04-09
CUST-00305,111,206.86,314,Hogar,0.883,14,19126.5,Valencia,2020-03-07
CUST-00306,53,150.0,360,Deportes,0.809,2,6515.92,Madrid,2022-06-26
CUST-00307,84,110.58,58,Belleza,0.262,15,7198.23,Valencia,2021-08-01
CUST-00308,101,299.7,178,Juguetes,0.352,14,25899.55,Málaga,2022-07-25
CUST-00309,35,166.9,122,Ropa,0.305,5,3715.05,Bilbao,2018-10-17
CUST-00310,36,293.78,216,Juguetes,0.186,20,8287.85,Zaragoza,2023-02-26
CUST-00311,126,155.08,95,Hogar,0.315,14,16755.01,Valencia,2022-11-08
CUST-00312,125,81.22,196,Electrónica,0.964,16,9013.01,Málaga,2020-04-17
CUST-00313,114,252.02,42,Juguetes,0.565,7,16171.73,Murcia,2019-07-17
CUST-00314,44,393.66,289,Libros,0.743,15,13765.96,Sevilla,2018-08-20
CUST-00315,140,414.29,187,Libros,0.542,1,57072.81,Barcelona,2020-06-22
CUST-00316,27,371.95,334,Juguetes,0.751,9,10919.66,Sevilla,2018-03-08
