OrderDate,Region,Category,SubCategory,Sales,Profit,Quantity,Discount
2024-03-30,South,Technology,Accessories,175.00,26.90,5,0.15
2024-04-01,Central,Furniture,Tables,690.00,-82.60,2,0.20
2024-04-04,East,Office Supplies,Labels,38.00,10.10,16,0.00
2024-04-06,West,Technology,Laptops,1520.00,208.30,1,0.10
2024-04-08,South,Furniture,Sofas,1950.00,228.70,1,0.25
2024-04-11,Central,Office Supplies,Markers,48.00,13.10,14,0.05
2024-04-13,East,Technology,Phones,880.00,105.60,3,0.15
2024-04-16,West,Furniture,Chairs,495.00,74.20,3,0.10
2024-04-18,South,Office Supplies,Envelopes,26.50,5.80,19,0.00
2024-04-21,Central,Technology,Printers,460.00,55.70,1,0.05
2024-04-23,East,Furniture,Cabinets,1050.00,135.90,1,0.20
2024-04-26,West,Office Supplies,Scissors,20.50,5.70,11,0.10
2024-04-28,South,Technology,Phones,910.00,110.30,2,0.00
2024-05-01,Central,Furniture,Tables,760.00,-92.40,2,0.30
2024-05-03,East,Office Supplies,Paper,325.00,50.20,8,0.05
2024-05-06,West,Technology,Accessories,168.00,25.60,7,0.15
2024-05-08,South,Furniture,Chairs,470.00,70.80,4,0.10
2024-05-11,Central,Office Supplies,Labels,42.00,11.30,20,0.00
2024-05-13,East,Technology,Laptops,1350.00,188.50,1,0.20
2024-05-16,West,Furniture,Sofas,2200.00,258.40,1,0.15
2024-05-18,South,Office Supplies,Markers,55.00,15.20,16,0.10
2024-05-21,Central,Technology,Phones,870.00,104.80,2,0.05
2024-05-23,East,Furniture,Tables,710.00,-86.30,2,0.25
2024-05-26,West,Office Supplies,Envelopes,34.00,8.40,21,0.00
2024-05-28,South,Technology,Printers,490.00,62.10,1,0.15
2024-05-31,Central,Furniture,Cabinets,1150.00,148.60,1,0.10
2024-06-02,East,Office Supplies,Scissors,24.00,6.80,13,0.05
2024-06-05,West,Technology,Phones,940.00,112.50,3,0.20
2024-06-07,South,Furniture,Chairs,530.00,79.40,3,0.00
2024-06-10,Central,Office Supplies,Paper,340.00,52.30,9,0.10
2024-06-12,East,Technology,Accessories,182.00,27.90,6,0.05
2024-06-15,West,Furniture,Tables,820.00,-98.70,2,0.30
2024-06-17,South,Office Supplies,Labels,44.00,11.80,17,0.15
2024-06-20,Central,Technology,Laptops,1480.00,202.40,1,0.00
2024-06-22,East,Furniture,Sofas,2050.00,240.20,1,0.20
2024-06-25,West,Office Supplies,Markers,50.00,13.80,15,0.10
2024-06-27,South,Technology,Phones,890.00,107.20,2,0.05
2024-06-30,Central,Furniture,Chairs,500.00,75.10,4,0.15
2024-07-02,East,Office Supplies,Envelopes,32.00,7.80,23,0.00
2024-07-05,West,Technology,Printers,475.00,59.40,1,0.10
2024-07-07,South,Furniture,Cabinets,1080.00,139.50,1,0.20
2024-07-10,Central,Office Supplies,Scissors,21.00,5.90,14,0.05
2024-07-12,East,Technology,Phones,925.00,111.40,3,0.15
2024-07-15,West,Furniture,Tables,740.00,-89.80,2,0.25
2024-07-17,South,Office Supplies,Paper,305.00,46.70,7,0.10
2024-07-20,Central,Technology,Accessories,172.00,26.30,8,0.00
2024-07-22,East,Furniture,Chairs,490.00,73.50,3,0.20
2024-07-25,West,Office Supplies,Labels,40.00,10.70,19,0.05
2024-07-27,South,Technology,Laptops,1420.00,195.80,1,0.15
2024-07-30,Central,Furniture,Sofas,2150.00,252.30,1,0.10
2024-08-01,East,Office Supplies,Markers,53.00,14.60,13,0.00
2024-08-04,West,Technology,Phones,905.00,109.10,2,0.10
2024-08-06,South,Furniture,Tables,770.00,-93.50,2,0.30
2024-08-09,Central,Office Supplies,Envelopes,36.00,8.90,20,0.05
2024-08-11,East,Technology,Printers,485.00,61.20,1,0.15
2024-08-14,West,Furniture,Cabinets,1120.00,145.30,1,0.00
2024-08-16,South,Office Supplies,Scissors,23.00,6.50,12,0.10
2024-08-19,Central,Technology,Phones,865.00,104.20,3,0.20
2024-08-21,East,Furniture,Chairs,475.00,71.40,4,0.05
2024-08-24,West,Office Supplies,Paper,315.00,48.10,6,0.15
2024-08-26,South,Technology,Accessories,165.00,25.20,7,0.10
2024-08-29,Central,Furniture,Tables,800.00,-96.40,2,0.25
2024-08-31,East,Office Supplies,Labels,37.00,9.80,18,0.00
2024-09-03,West,Technology,Laptops,1550.00,212.60,1,0.10
2024-09-05,South,Furniture,Sofas,1980.00,232.40,1,0.15
2024-09-08,Central,Office Supplies,Markers,46.00,12.70,16,0.05
2024-09-10,East,Technology,Phones,885.00,106.50,2,0.20
2024-09-13,West,Furniture,Chairs,515.00,77.60,3,0.00
2024-09-15,South,Office Supplies,Envelopes,29.00,6.90,21,0.10
2024-09-18,Central,Technology,Printers,465.00,57.30,1,0.15
2024-09-20,East,Furniture,Cabinets,1020.00,132.70,1,0.05
2024-09-23,West,Office Supplies,Scissors,19.50,5.40,10,0.00
2024-09-25,South,Technology,Phones,930.00,111.90,3,0.10
2024-09-28,Central,Furniture,Tables,680.00,-82.10,2,0.20
2024-09-30,East,Office Supplies,Paper,330.00,50.80,8,0.05
2024-10-03,West,Technology,Accessories,178.00,27.20,6,0.15
2024-10-05,South,Furniture,Chairs,485.00,72.90,4,0.10
2024-10-08,Central,Office Supplies,Labels,41.00,11.00,17,0.00
2024-10-10,East,Technology,Laptops,1390.00,191.30,1,0.20
2024-10-13,West,Furniture,Sofas,2080.00,244.10,1,0.05
2024-10-15,South,Office Supplies,Markers,49.00,13.50,14,0.15
2024-10-18,Central,Technology,Phones,855.00,103.50,2,0.10
2024-10-20,East,Furniture,Tables,730.00,-88.20,2,0.25
2024-10-23,West,Office Supplies,Envelopes,33.00,8.10,22,0.00
2024-10-25,South,Technology,Printers,470.00,58.60,1,0.05
2024-10-28,Central,Furniture,Cabinets,1180.00,152.40,1,0.15
2024-10-30,East,Office Supplies,Scissors,25.00,7.00,11,0.10
2024-11-02,West,Technology,Phones,915.00,110.20,2,0.00
2024-11-04,South,Furniture,Chairs,525.00,79.10,3,0.20
2024-11-07,Central,Office Supplies,Paper,295.00,44.50,7,0.05
2024-11-09,East,Technology,Accessories,160.00,24.50,5,0.15
2024-11-12,West,Furniture,Tables,850.00,-102.30,2,0.30
2024-11-14,South,Office Supplies,Labels,45.00,12.10,19,0.10
2024-11-17,Central,Technology,Laptops,1460.00,199.70,1,0.00
2024-11-19,East,Furniture,Sofas,2250.00,264.20,1,0.15
2024-11-22,West,Office Supplies,Markers,51.00,14.00,15,0.05
2024-11-24,South,Technology,Phones,875.00,105.80,3,0.10
2024-11-27,Central,Furniture,Chairs,465.00,69.80,4,0.20
2024-11-29,East,Office Supplies,Envelopes,31.00,7.50,20,0.00
2024-12-02,West,Technology,Printers,480.00,60.30,1,0.10
2024-12-04,South,Furniture,Cabinets,1060.00,137.20,1,0.15
2024-12-07,Central,Office Supplies,Scissors,22.50,6.30,13,0.05
2024-12-09,East,Technology,Phones,935.00,112.80,2,0.20
2024-12-12,West,Furniture,Tables,790.00,-95.60,2,0.25
2024-12-14,South,Office Supplies,Paper,320.00,49.10,8,0.00
2024-12-17,Central,Technology,Accessories,185.00,28.30,7,0.10
2024-12-19,East,Furniture,Chairs,505.00,76.00,3,0.15
2024-12-22,West,Office Supplies,Labels,39.00,10.40,18,0.05
2024-12-24,South,Technology,Laptops,1510.00,206.90,1,0.10
2024-12-27,Central,Furniture,Sofas,2180.00,255.80,1,0.00
2024-12-29,East,Office Supplies,Markers,54.00,14.90,16,0.20
2025-01-03,West,Technology,Phones,860.00,103.90,3,0.05
2025-01-05,South,Furniture,Tables,750.00,-90.70,2,0.15
2025-01-08,Central,Office Supplies,Envelopes,35.50,8.70,21,0.10
2025-01-10,East,Technology,Printers,495.00,62.80,1,0.00
2025-01-13,West,Furniture,Cabinets,1130.00,146.50,1,0.20
2025-01-15,South,Office Supplies,Scissors,20.00,5.60,14,0.05
2025-01-18,Central,Technology,Phones,900.00,108.40,2,0.15
2025-01-20,East,Furniture,Chairs,480.00,72.30,4,0.10
2025-01-23,West,Office Supplies,Paper,308.00,47.10,9,0.00
2025-01-25,South,Technology,Accessories,170.00,26.00,6,0.25
2025-01-28,Central,Furniture,Tables,810.00,-98.10,2,0.30
2025-01-30,East,Office Supplies,Labels,43.00,11.50,17,0.10
2025-02-02,West,Technology,Laptops,1540.00,211.30,1,0.05
2025-02-04,South,Furniture,Sofas,2120.00,248.70,1,0.15
2025-02-07,Central,Office Supplies,Markers,47.00,12.90,15,0.00
2025-02-09,East,Technology,Phones,895.00,107.80,3,0.10
2025-02-12,West,Furniture,Chairs,510.00,77.00,3,0.20
2025-02-14,South,Office Supplies,Envelopes,27.50,6.60,19,0.05
2025-02-17,Central,Technology,Printers,455.00,56.80,1,0.15
2025-02-19,East,Furniture,Cabinets,1040.00,134.90,1,0.10
2025-02-22,West,Office Supplies,Scissors,21.50,6.00,12,0.00
2025-02-24,South,Technology,Phones,920.00,111.10,2,0.05
2025-02-27,Central,Furniture,Tables,700.00,-84.90,2,0.20
2025-03-01,East,Office Supplies,Paper,345.00,52.90,7,0.10
2025-03-04,West,Technology,Accessories,175.00,26.80,8,0.15
2025-03-06,South,Furniture,Chairs,475.00,71.60,3,0.00
2025-03-09,Central,Office Supplies,Labels,38.50,10.30,20,0.10
2025-03-11,East,Technology,Laptops,1410.00,194.10,1,0.05
2025-03-14,West,Furniture,Sofas,2060.00,241.50,1,0.20
2025-03-16,South,Office Supplies,Markers,52.50,14.40,14,0.15
2025-03-19,Central,Technology,Phones,880.00,106.10,3,0.00
2025-03-21,East,Furniture,Tables,740.00,-89.50,2,0.25
2025-03-24,West,Office Supplies,Envelopes,31.50,7.70,22,0.10
2025-03-26,South,Technology,Printers,488.00,61.50,1,0.05
2025-03-29,Central,Furniture,Cabinets,1170.00,151.10,1,0.15
2025-03-31,East,Office Supplies,Scissors,23.50,6.60,11,0.00
2025-04-03,West,Technology,Phones,910.00,109.80,2,0.10
2025-04-05,South,Furniture,Chairs,520.00,78.70,4,0.20
2025-04-08,Central,Office Supplies,Paper,302.00,46.10,8,0.05
2025-04-10,East,Technology,Accessories,163.00,25.00,6,0.15
2025-04-13,West,Furniture,Tables,830.00,-100.40,2,0.30
2025-04-15,South,Office Supplies,Labels,44.50,11.90,18,0.00
2025-04-18,Central,Technology,Laptops,1490.00,204.80,1,0.10
2025-04-20,East,Furniture,Sofas,2220.00,260.70,1,0.05
2025-04-23,West,Office Supplies,Markers,48.50,13.30,16,0.15
2025-04-25,South,Technology,Phones,868.00,104.70,3,0.10
2025-04-28,Central,Furniture,Chairs,488.00,73.80,3,0.00
2025-04-30,East,Office Supplies,Envelopes,29.50,7.10,20,0.20
2025-05-03,West,Technology,Printers,472.00,58.90,1,0.05
2025-05-05,South,Furniture,Cabinets,1090.00,141.80,1,0.15
2025-05-08,Central,Office Supplies,Scissors,19.00,5.30,13,0.10
2025-05-10,East,Technology,Phones,928.00,112.30,2,0.00
2025-05-13,West,Furniture,Tables,760.00,-92.00,2,0.25
2025-05-15,South,Office Supplies,Paper,335.00,51.40,9,0.10
2025-05-18,Central,Technology,Accessories,180.00,27.60,7,0.05
2025-05-20,East,Furniture,Chairs,498.00,75.20,4,0.15
2025-05-23,West,Office Supplies,Labels,41.50,11.10,19,0.00
2025-05-25,South,Technology,Laptops,1475.00,202.60,1,0.20
2025-05-28,Central,Furniture,Sofas,2160.00,253.40,1,0.10
2025-05-30,East,Office Supplies,Markers,50.50,13.90,15,0.05
2025-06-02,West,Technology,Phones,872.00,105.40,3,0.15
2025-06-04,South,Furniture,Tables,785.00,-95.10,2,0.00
2025-06-07,Central,Office Supplies,Envelopes,34.50,8.50,21,0.10
2025-06-09,East,Technology,Printers,492.00,62.10,1,0.20
2025-06-12,West,Furniture,Cabinets,1145.00,148.20,1,0.05
2025-06-14,South,Office Supplies,Scissors,24.50,6.90,12,0.15
2025-06-17,Central,Technology,Phones,898.00,108.20,2,0.10
2025-06-19,East,Furniture,Chairs,512.00,77.40,3,0.00
2025-06-22,West,Office Supplies,Paper,328.00,50.30,7,0.20
2025-06-24,South,Technology,Accessories,176.00,27.00,8,0.05
2025-06-27,Central,Furniture,Tables,805.00,-97.80,2,0.30
2025-06-29,East,Office Supplies,Labels,39.50,10.60,18,0.10
2025-07-02,West,Technology,Laptops,1530.00,209.90,1,0.00
2025-07-04,South,Furniture,Sofas,2100.00,246.30,1,0.15
2025-07-07,Central,Office Supplies,Markers,51.50,14.20,16,0.05
2025-07-09,East,Technology,Phones,878.00,106.30,3,0.10
2025-07-12,West,Furniture,Chairs,502.00,75.70,4,0.20
2025-07-14,South,Office Supplies,Envelopes,32.50,7.90,20,0.00
2025-07-17,Central,Technology,Printers,468.00,58.20,1,0.10
2025-07-19,East,Furniture,Cabinets,1070.00,138.60,1,0.15
2025-07-22,West,Office Supplies,Scissors,20.50,5.70,14,0.05
2025-07-24,South,Technology,Phones,918.00,110.90,2,0.00
2025-07-27,Central,Furniture,Tables,725.00,-87.60,2,0.25
2025-07-29,East,Office Supplies,Paper,318.00,48.70,8,0.10
2025-08-01,West,Technology,Accessories,169.00,25.80,7,0.15
2025-08-03,South,Furniture,Chairs,482.00,72.70,3,0.00
2025-08-06,Central,Office Supplies,Labels,42.50,11.40,19,0.05
2025-08-08,East,Technology,Laptops,1440.00,198.20,1,0.20
2025-08-11,West,Furniture,Sofas,2190.00,257.10,1,0.10
2025-08-13,South,Office Supplies,Markers,53.50,14.80,15,0.00
2025-08-16,Central,Technology,Phones,862.00,104.10,3,0.15
2025-08-18,East,Furniture,Tables,775.00,-94.20,2,0.25
2025-08-21,West,Office Supplies,Envelopes,36.50,8.90,22,0.10
2025-08-23,South,Technology,Printers,482.00,60.80,1,0.05
2025-08-26,Central,Furniture,Cabinets,1155.00,149.30,1,0.00
2025-08-28,East,Office Supplies,Scissors,22.00,6.20,13,0.20
2025-08-31,West,Technology,Phones,908.00,109.50,2,0.10
2025-09-02,South,Furniture,Chairs,518.00,78.30,3,0.05
2025-09-05,Central,Office Supplies,Paper,310.00,47.40,9,0.15
2025-09-07,East,Technology,Accessories,182.00,27.90,6,0.00
2025-09-10,West,Furniture,Tables,840.00,-101.80,2,0.30
2025-09-12,South,Office Supplies,Labels,46.00,12.30,17,0.10
2025-09-15,Central,Technology,Laptops,1505.00,207.10,1,0.05
2025-09-17,East,Furniture,Sofas,2280.00,266.80,1,0.15
2025-09-20,West,Office Supplies,Markers,49.50,13.60,14,0.00
2025-09-22,South,Technology,Phones,888.00,107.10,3,0.10
2025-09-25,Central,Furniture,Chairs,492.00,74.20,4,0.20
2025-09-27,East,Office Supplies,Envelopes,30.50,7.40,21,0.05
2025-09-30,West,Technology,Printers,478.00,59.80,1,0.15
2025-10-02,South,Furniture,Cabinets,1105.00,143.40,1,0.10
2025-10-05,Central,Office Supplies,Scissors,21.00,5.90,12,0.00
2025-10-07,East,Technology,Phones,922.00,111.60,2,0.05
2025-10-10,West,Furniture,Tables,770.00,-93.30,2,0.25
2025-10-12,South,Office Supplies,Paper,342.00,52.50,7,0.10
2025-10-15,Central,Technology,Accessories,174.00,26.60,8,0.15
2025-10-17,East,Furniture,Chairs,508.00,76.80,3,0.00
2025-10-20,West,Office Supplies,Labels,40.50,10.80,18,0.20
2025-10-22,South,Technology,Laptops,1465.00,201.30,1,0.05
2025-10-25,Central,Furniture,Sofas,2140.00,250.60,1,0.15
2025-10-27,East,Office Supplies,Markers,52.00,14.30,16,0.10
2025-10-30,West,Technology,Phones,876.00,106.00,3,0.00
2025-11-01,South,Furniture,Tables,795.00,-96.40,2,0.30
2025-11-04,Central,Office Supplies,Envelopes,33.50,8.20,20,0.05
2025-11-06,East,Technology,Printers,486.00,61.20,1,0.10
2025-11-09,West,Furniture,Cabinets,1165.00,150.70,1,0.15
2025-11-11,South,Office Supplies,Scissors,23.00,6.40,14,0.00
2025-11-14,Central,Technology,Phones,912.00,110.10,2,0.20
2025-11-16,East,Furniture,Chairs,478.00,72.00,4,0.05
2025-11-19,West,Office Supplies,Paper,322.00,49.30,8,0.10
2025-11-21,South,Technology,Accessories,168.00,25.60,6,0.15
2025-11-24,Central,Furniture,Tables,820.00,-99.20,2,0.25
2025-11-26,East,Office Supplies,Labels,38.00,10.20,19,0.00
2025-11-29,West,Technology,Laptops,1525.00,210.60,1,0.10
2025-12-01,South,Furniture,Sofas,2210.00,258.90,1,0.05
2025-12-04,Central,Office Supplies,Markers,50.00,13.70,15,0.15
2025-12-06,East,Technology,Phones,882.00,106.60,3,0.10
2025-12-09,West,Furniture,Chairs,498.00,75.10,3,0.00
2025-12-11,South,Office Supplies,Envelopes,28.00,6.70,22,0.20
2025-12-14,Central,Technology,Printers,474.00,59.10,1,0.05
2025-12-16,East,Furniture,Cabinets,1085.00,140.50,1,0.15
2025-12-19,West,Office Supplies,Scissors,22.50,6.30,11,0.10
2025-12-21,South,Technology,Phones,932.00,112.50,2,0.00
2025-12-24,Central,Furniture,Tables,735.00,-89.00,2,0.25
2025-12-26,East,Office Supplies,Paper,338.00,51.80,9,0.10
2025-12-29,West,Technology,Accessories,181.00,27.70,7,0.05
2025-10-16,East,Office Supplies,Scissors,120.89,23.85,8,0.05
2025-11-23,East,Furniture,Cabinets,466.74,45.06,1,0.05
2025-09-08,East,Furniture,Tables,1903.64,254.9,3,0.2
2025-04-04,South,Office Supplies,Binders,283.78,23.01,11,0.1
2024-12-10,East,Office Supplies,Labels,52.24,5.38,12,0.2
2024-02-14,Central,Furniture,Chairs,2443.54,391.96,2,0
2025-10-05,South,Furniture,Tables,1879.6,-153.43,1,0.25
2024-10-23,East,Office Supplies,Paper,161.35,16.17,15,0.25
2024-06-15,South,Technology,Laptops,1054.74,186.68,1,0.2
2025-06-30,West,Office Supplies,Labels,161.09,30.11,18,0.05
2024-02-27,West,Office Supplies,Markers,169.45,39.42,3,0.05
2025-08-03,South,Office Supplies,Scissors,207.2,21.34,15,0.05
2024-09-09,South,Furniture,Cabinets,2285.43,214.52,2,0.1
2024-05-21,Central,Office Supplies,Paper,346.52,-35.35,5,0.25
2025-11-27,Central,Furniture,Chairs,1208.01,188.24,3,0.15
2025-07-20,East,Furniture,Chairs,1831.59,-128.12,3,0.3
2025-10-18,South,Office Supplies,Markers,182.38,43.91,15,0
2024-09-26,West,Furniture,Chairs,2228.09,92.88,2,0.3
2025-09-15,West,Office Supplies,Markers,308.57,39.11,18,0.3
2024-01-01,South,Technology,Phones,301.02,27.7,3,0.3
2024-09-02,East,Office Supplies,Envelopes,379.58,-1.6,3,0.25
2024-03-11,West,Office Supplies,Scissors,197.98,20.39,18,0.05
2025-09-13,Central,Office Supplies,Envelopes,305.78,-17.27,7,0.25
2025-11-18,South,Technology,Printers,313.36,36.86,2,0
2025-08-25,West,Furniture,Tables,415.1,-54.93,3,0.25
2024-03-10,East,Technology,Phones,844.11,-3.69,3,0.25
2025-07-06,West,Furniture,Cabinets,910.29,-25.38,2,0.3
2024-04-06,East,Furniture,Cabinets,1144.02,254.85,2,0.15
2024-02-25,East,Office Supplies,Labels,295.36,26.09,4,0.05
2025-07-03,Central,Office Supplies,Labels,85.64,19.26,15,0.05
2024-03-18,Central,Furniture,Chairs,506.24,-73.69,3,0.3
2024-04-05,West,Office Supplies,Labels,201.97,-6.0,7,0.3
2024-03-01,West,Technology,Phones,1480.17,126.61,3,0.3
2024-10-19,Central,Furniture,Cabinets,725.07,176.73,2,0.05
2025-08-16,East,Furniture,Sofas,520.05,78.3,3,0.15
2025-06-27,West,Office Supplies,Envelopes,45.84,7.75,6,0
2025-11-22,West,Technology,Phones,1421.15,240.04,2,0.2
2025-09-26,East,Technology,Accessories,1411.85,91.57,2,0.25
2024-09-01,South,Technology,Laptops,1056.78,119.66,3,0.15
2024-03-15,East,Technology,Phones,248.9,25.65,2,0.2
2024-12-23,East,Office Supplies,Markers,124.72,1.62,15,0.3
2024-11-05,East,Furniture,Sofas,2356.69,242.49,1,0.05
2024-04-19,West,Technology,Accessories,966.52,181.22,3,0.05
2024-09-27,Central,Technology,Phones,274.6,-18.4,4,0.3
2024-01-04,South,Office Supplies,Scissors,392.22,-6.84,6,0.25
2025-12-23,Central,Furniture,Chairs,634.94,101.03,3,0.05
2025-01-13,West,Technology,Laptops,206.47,29.25,3,0.3
2024-02-10,South,Office Supplies,Scissors,111.07,22.88,4,0.1
2025-02-20,West,Office Supplies,Binders,390.84,21.48,6,0.15
2024-12-06,Central,Furniture,Tables,960.29,121.48,3,0
2024-02-09,Central,Office Supplies,Binders,329.39,36.57,15,0.1
2024-08-21,West,Office Supplies,Scissors,89.35,19.91,11,0.1
2024-10-12,South,Furniture,Cabinets,1826.99,434.54,3,0.1
2024-04-28,South,Office Supplies,Envelopes,385.58,27.64,9,0
2025-03-20,South,Furniture,Sofas,1316.43,167.24,3,0
2025-08-13,West,Technology,Phones,1106.86,260.24,1,0.2
2025-07-05,West,Technology,Printers,244.46,27.57,3,0.2
2024-05-07,South,Furniture,Sofas,1800.48,341.09,2,0.15
2025-07-21,West,Office Supplies,Labels,271.0,20.17,13,0.25
2024-06-27,South,Technology,Phones,560.23,116.05,2,0.15
2025-09-13,South,Technology,Printers,746.92,108.03,2,0.2
2024-06-22,East,Technology,Accessories,276.07,-15.7,2,0.25
2024-07-22,West,Office Supplies,Paper,109.26,24.03,16,0.2
2024-03-15,Central,Technology,Laptops,1119.77,145.49,4,0.15
2024-05-31,East,Office Supplies,Labels,99.25,5.96,17,0.15
2024-09-12,East,Technology,Laptops,1231.91,144.66,3,0.3
2025-09-19,Central,Furniture,Cabinets,2284.14,-17.35,3,0.3
2024-09-22,West,Furniture,Sofas,2008.21,352.14,3,0.15
2024-10-08,Central,Office Supplies,Scissors,125.01,14.24,9,0.1
2025-07-07,East,Office Supplies,Binders,104.04,-8.93,5,0.25
2025-02-28,Central,Technology,Printers,711.3,-17.04,2,0.3
2025-08-21,East,Furniture,Cabinets,1401.66,281.31,2,0.1
2025-03-05,West,Technology,Laptops,518.46,66.24,4,0
2025-11-15,Central,Furniture,Tables,2165.06,339.53,1,0.2
2025-02-07,East,Office Supplies,Scissors,180.02,10.81,15,0.05
2025-01-23,South,Office Supplies,Labels,140.84,28.22,13,0.1
2025-03-07,South,Office Supplies,Labels,22.46,5.61,18,0
2024-12-24,West,Furniture,Chairs,2040.59,409.85,3,0
2024-09-10,West,Office Supplies,Envelopes,73.67,13.55,5,0.15
2025-07-31,West,Technology,Accessories,1185.31,203.22,2,0.2
2024-04-27,West,Technology,Phones,931.22,172.71,3,0.2
2025-01-19,Central,Furniture,Tables,559.59,21.36,3,0.3
2024-04-14,South,Furniture,Chairs,2072.08,-285.28,3,0.3
2025-06-29,Central,Furniture,Sofas,544.81,28.62,3,0.1
2025-03-06,Central,Office Supplies,Labels,384.9,-40.07,15,0.25
2024-06-29,South,Furniture,Cabinets,1376.23,142.69,3,0.2
2024-09-08,East,Technology,Printers,479.22,82.46,4,0.2
2025-01-23,South,Office Supplies,Labels,342.62,31.67,6,0.15
2024-09-21,South,Technology,Accessories,900.32,88.48,2,0
2025-02-20,Central,Furniture,Tables,1850.28,-5.09,3,0.25
2024-01-18,East,Technology,Laptops,695.94,127.21,2,0.1
2025-01-12,Central,Furniture,Sofas,1293.56,150.26,3,0.2
2025-12-20,Central,Technology,Accessories,489.39,-45.13,1,0.25
2024-05-02,West,Office Supplies,Binders,299.36,8.05,9,0.25
2025-06-21,South,Office Supplies,Binders,129.05,14.25,12,0.05
2025-12-26,West,Technology,Phones,1465.3,195.22,3,0.25
2025-10-15,Central,Office Supplies,Paper,236.01,32.59,16,0.15
2024-07-07,East,Technology,Printers,304.02,45.1,1,0.15
2025-08-13,East,Office Supplies,Binders,327.29,81.42,10,0
2024-05-01,Central,Furniture,Tables,2028.96,470.11,2,0.15
2024-10-31,Central,Technology,Phones,973.0,-85.3,1,0.3
2024-08-04,South,Furniture,Chairs,729.82,47.45,1,0.2
2024-01-03,Central,Technology,Printers,543.2,103.96,2,0.1
2025-12-20,Central,Office Supplies,Scissors,104.87,9.16,9,0.3
2025-08-26,West,Technology,Phones,885.16,190.6,2,0.1
2024-03-14,East,Office Supplies,Markers,244.09,33.64,19,0.1
2025-04-24,South,Furniture,Cabinets,2379.62,353.99,3,0.2
2024-03-23,East,Technology,Accessories,965.01,92.43,1,0
2025-11-21,East,Furniture,Sofas,1610.12,247.62,1,0.15
2025-03-28,South,Office Supplies,Envelopes,182.82,26.33,16,0
2025-02-22,South,Technology,Phones,1307.94,246.85,3,0.15
2024-10-22,Central,Furniture,Chairs,1355.13,155.37,2,0.1
2025-02-17,East,Furniture,Cabinets,1267.82,155.13,1,0.2
2025-05-25,Central,Office Supplies,Binders,117.82,16.21,5,0.1
2025-12-16,Central,Office Supplies,Paper,389.66,-30.48,20,0.3
2024-06-11,South,Furniture,Chairs,1559.73,387.52,1,0.05
2024-04-26,Central,Office Supplies,Scissors,335.38,-20.94,16,0.25
2025-12-23,South,Technology,Printers,1473.33,236.11,2,0.15
2025-01-27,West,Furniture,Tables,2214.46,192.66,2,0.3
2025-02-28,South,Furniture,Sofas,2123.15,-128.31,2,0.25
2025-08-24,Central,Office Supplies,Labels,222.35,35.66,12,0.1
2025-07-10,Central,Technology,Accessories,1323.96,167.61,2,0.2
2025-02-24,East,Technology,Printers,1102.06,272.96,4,0.15
2025-10-29,West,Technology,Phones,320.43,-38.42,3,0.3
2025-03-26,East,Furniture,Cabinets,432.23,96.9,1,0.15
