Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
18,Research & Development,29,4,4,Female,2,2,2,6400,4,No,17,3,2,2,12,7,4,0,0,0,0,No
36,Research & Development,1,5,3,Male,3,3,3,11210,0,No,23,3,4,0,14,3,3,6,4,2,5,No
58,Research & Development,21,1,4,Male,3,1,4,5490,2,No,22,3,4,3,23,3,4,10,4,7,4,No
47,Research & Development,3,2,4,Female,3,5,4,19280,6,No,21,3,1,1,29,2,4,8,6,5,1,No
57,Research & Development,8,3,3,Male,3,3,1,15720,0,Yes,21,4,1,0,34,1,3,34,26,4,26,No
44,Research & Development,9,1,2,Male,4,4,1,13690,5,No,14,4,2,0,12,5,4,26,14,2,21,Yes
33,Research & Development,5,4,2,Female,3,3,4,8580,1,No,13,3,3,0,9,6,3,5,0,5,0,Yes
33,Research & Development,19,2,2,Male,3,2,3,12970,3,No,18,3,1,1,39,0,4,9,7,0,0,No
46,Research & Development,3,4,2,Male,2,3,3,12920,5,No,18,3,2,1,27,1,4,27,20,6,13,No
47,Research & Development,13,3,1,Male,3,2,1,9030,8,Yes,17,3,1,0,23,4,3,18,17,10,3,No
21,Human Resources,10,3,2,Male,2,3,2,14560,0,No,11,3,4,1,27,4,4,0,0,0,0,No
37,Research & Development,11,3,2,Male,3,1,3,4440,9,Yes,13,3,3,1,10,2,4,18,2,1,4,Yes
45,Research & Development,16,3,3,Male,3,2,1,12090,4,No,15,3,2,0,38,1,3,6,6,1,6,No
49,Sales,24,3,1,Male,2,3,3,7750,2,No,12,3,3,1,4,4,3,25,22,13,9,No
47,Human Resources,27,3,2,Male,2,2,2,8780,0,No,22,3,2,2,4,3,2,16,6,11,11,No
27,Research & Development,8,2,2,Male,2,3,1,15980,9,No,18,3,3,1,36,3,4,5,5,2,1,No
21,Sales,12,3,2,Male,2,4,1,18220,7,No,25,3,3,1,35,5,4,0,0,0,0,No
38,Research & Development,20,3,2,Male,2,4,2,17380,5,No,17,3,2,1,28,3,3,11,5,4,6,Yes
39,Research & Development,3,2,3,Male,2,4,4,13890,4,Yes,12,2,3,3,19,5,3,12,2,9,11,No
39,Sales,27,2,3,Female,4,4,1,15120,4,No,15,1,2,3,21,5,3,7,2,2,1,No
51,Research & Development,2,3,4,Female,3,1,1,6020,5,No,22,4,3,0,23,3,3,28,19,9,24,No
33,Sales,10,5,4,Female,2,3,3,8050,3,No,24,3,3,1,10,4,4,4,2,0,3,No
25,Research & Development,10,1,2,Male,3,4,1,18220,8,No,16,4,4,1,25,3,3,1,1,0,0,No
59,Research & Development,11,4,1,Male,4,3,1,11350,5,No,14,1,1,0,9,3,4,33,27,3,18,No
47,Research & Development,3,2,4,Male,1,2,2,7540,1,No,24,3,2,1,5,3,3,16,16,0,12,No
41,Research & Development,9,4,2,Male,2,3,1,10600,4,No,12,2,2,0,11,4,3,22,15,5,4,Yes
30,Sales,29,1,4,Male,4,2,2,6420,5,Yes,25,3,4,3,21,2,4,6,3,5,3,No
29,Sales,16,3,2,Female,2,1,2,3540,3,No,16,3,2,0,20,3,3,9,6,2,7,No
45,Research & Development,9,3,4,Male,3,2,3,11480,5,Yes,17,2,4,2,28,0,2,24,20,11,11,No
27,Sales,22,3,2,Male,2,1,2,7240,2,Yes,20,4,1,0,33,2,3,4,2,3,1,No
22,Sales,15,2,3,Female,4,5,4,18260,4,No,14,3,2,0,10,3,4,1,1,0,0,No
49,Sales,1,3,3,Male,4,1,4,6950,0,No,18,3,3,1,26,4,2,20,20,2,14,No
58,Research & Development,19,2,4,Male,4,1,1,7840,1,Yes,21,3,3,0,33,4,4,16,6,8,4,No
50,Research & Development,21,2,4,Male,3,3,3,14850,6,No,25,3,1,0,36,2,3,26,19,0,15,No
43,Research & Development,10,3,3,Male,3,2,2,9590,1,No,18,3,4,0,25,1,3,17,3,10,7,No
27,Research & Development,4,1,4,Female,3,5,4,18250,6,No,19,3,2,0,32,3,4,7,0,1,6,No
36,Sales,16,3,4,Female,2,1,1,3260,1,Yes,19,3,3,0,3,3,2,17,9,2,12,Yes
57,Research & Development,22,3,1,Male,3,5,3,17260,2,Yes,20,3,3,0,2,1,3,30,16,14,4,No
43,Sales,20,4,2,Male,4,2,3,11830,2,No,18,3,3,3,37,2,4,22,20,0,19,No
55,Research & Development,19,2,1,Male,3,3,3,12240,2,No,19,3,3,2,12,0,3,9,6,3,6,No
21,Research & Development,23,2,2,Male,3,2,2,5460,1,No,15,3,2,2,16,3,2,1,1,1,0,No
49,Research & Development,11,3,3,Female,3,2,3,7300,3,No,15,3,2,2,9,2,3,5,2,3,5,No
53,Sales,23,2,1,Female,2,1,4,3450,1,Yes,18,2,2,1,8,0,3,10,6,10,7,No
36,Research & Development,11,2,1,Female,3,1,3,2390,6,Yes,11,4,3,2,2,7,3,15,5,9,1,No
47,Sales,21,3,3,Female,4,2,1,10610,0,Yes,24,3,2,0,21,4,3,24,6,5,19,No
45,Research & Development,17,2,3,Male,4,2,4,13060,0,No,21,3,2,0,37,3,1,20,11,7,1,No
37,Research & Development,23,2,4,Male,3,1,1,8370,1,No,23,3,3,1,30,4,4,6,6,1,5,No
51,Research & Development,15,3,2,Female,2,4,4,12650,1,No,13,2,4,1,13,3,3,32,28,1,29,No
37,Research & Development,24,1,2,Male,2,1,2,7560,5,No,18,2,4,3,30,0,3,4,3,2,3,No
42,Human Resources,3,3,3,Male,3,2,1,6780,3,No,17,3,2,0,1,6,3,23,17,13,17,No
25,Sales,2,4,3,Female,4,1,2,1730,0,Yes,14,3,3,0,2,2,3,3,0,1,2,No
38,Research & Development,19,3,3,Male,3,1,3,2800,1,No,23,2,4,3,11,3,3,15,1,11,12,No
29,Sales,25,3,2,Male,4,1,2,4860,0,No,11,3,3,0,16,2,3,7,5,1,3,No
56,Research & Development,2,4,2,Female,3,3,2,9800,7,No,19,4,1,3,7,3,4,15,6,12,7,No
37,Research & Development,9,3,4,Male,4,3,3,11630,2,Yes,13,3,1,3,9,0,3,18,18,13,9,Yes
54,Sales,27,2,3,Female,3,3,2,9310,5,No,24,3,3,0,8,3,3,34,3,1,4,No
32,Research & Development,3,4,1,Male,3,3,3,7360,4,No,24,3,1,1,0,0,4,8,4,0,8,No
29,Research & Development,4,5,3,Male,3,2,2,7080,6,Yes,17,4,3,0,14,2,4,1,0,0,1,No
23,Research & Development,16,4,3,Male,4,5,4,19030,8,Yes,11,4,3,1,17,0,2,2,2,2,2,Yes
19,Human Resources,7,3,4,Female,3,1,1,3980,1,No,11,3,4,0,8,4,3,0,0,0,0,Yes
57,Research & Development,20,3,4,Male,2,5,2,17730,2,No,13,3,3,2,5,4,3,15,2,2,8,No
27,Research & Development,24,3,2,Male,4,2,3,4910,0,Yes,15,3,3,1,6,0,3,1,1,1,0,No
33,Research & Development,19,3,3,Male,2,2,1,9430,1,Yes,15,3,4,0,15,3,3,6,3,0,1,Yes
57,Sales,13,4,2,Male,4,4,4,17720,1,No,15,4,2,0,25,5,3,31,15,10,24,No
55,Research & Development,18,2,4,Male,3,5,2,20000,6,No,12,2,4,2,31,1,3,16,4,13,12,No
55,Research & Development,13,3,4,Female,3,1,4,3780,5,No,21,3,4,0,15,3,3,2,2,2,2,No
18,Research & Development,4,2,3,Male,3,3,2,10020,2,No,24,3,3,0,1,3,3,0,0,0,0,No
37,Sales,11,3,2,Male,3,2,3,5830,2,No,19,3,1,2,6,3,2,7,2,2,5,No
29,Research & Development,21,3,2,Female,4,2,2,11360,0,Yes,18,3,3,2,36,1,4,2,1,1,0,Yes
49,Research & Development,17,5,2,Male,3,1,2,8730,3,Yes,13,3,4,3,37,1,2,7,3,4,1,No
54,Research & Development,13,3,3,Male,4,5,1,20000,1,No,21,3,4,1,22,5,3,12,6,8,8,No
44,Research & Development,23,4,3,Male,1,3,2,14250,2,No,23,2,3,2,31,3,2,3,2,2,0,No
59,Sales,25,2,4,Male,2,4,1,15330,7,Yes,14,3,2,2,22,4,3,27,5,4,25,No
54,Research & Development,12,3,3,Male,4,2,3,10420,9,No,22,4,4,0,26,5,4,8,2,3,2,No
27,Sales,19,3,3,Male,2,3,3,14810,2,No,23,3,4,1,31,2,1,1,1,1,0,No
45,Sales,27,2,2,Female,3,3,3,13740,3,No,17,3,1,0,29,0,4,5,3,3,0,No
28,Research & Development,28,5,2,Female,2,2,4,7840,1,No,19,3,3,0,5,3,1,7,1,2,3,No
39,Sales,27,2,4,Female,3,1,1,3110,6,Yes,20,3,2,0,8,3,3,2,2,2,0,No
27,Research & Development,14,3,3,Male,4,1,1,2250,5,No,14,3,4,0,5,2,3,9,4,0,4,No
43,Research & Development,10,3,4,Female,2,2,2,9420,4,Yes,21,4,1,0,20,1,4,18,13,11,17,No
55,Sales,3,1,2,Female,4,2,2,12440,5,No,19,3,3,1,34,3,3,19,2,6,4,No
59,Research & Development,22,3,2,Male,4,1,2,6710,8,Yes,18,3,1,2,11,1,4,0,0,0,0,No
28,Research & Development,12,2,4,Male,4,3,1,9230,6,Yes,24,2,3,1,4,3,3,0,0,0,0,No
34,Sales,25,2,3,Female,2,2,1,6720,7,Yes,17,3,3,0,2,3,4,13,3,5,3,No
25,Research & Development,17,3,1,Male,3,1,2,6590,7,No,16,3,2,0,29,0,3,4,4,1,3,No
30,Research & Development,24,5,4,Male,1,2,2,12840,2,No,18,4,4,0,24,4,4,1,0,0,1,No
20,Sales,8,4,3,Female,3,5,1,17370,0,Yes,22,3,1,1,27,3,2,1,1,1,1,No
46,Sales,9,2,4,Male,3,1,1,7180,3,No,24,2,2,2,28,2,3,3,0,1,2,No
27,Human Resources,3,4,4,Male,1,2,4,5140,1,No,24,3,3,1,6,3,4,2,0,0,0,No
30,Sales,27,3,3,Female,2,3,4,9920,0,No,11,3,3,2,5,5,4,5,0,0,3,No
19,Sales,13,3,2,Male,2,2,4,12500,0,No,21,3,2,1,35,3,2,1,0,1,0,No
58,Research & Development,26,3,1,Male,3,2,3,13390,2,No,16,3,2,0,38,2,4,17,1,15,16,No
33,Sales,9,3,4,Female,3,5,3,12010,10,No,22,4,4,0,15,3,4,11,9,0,11,No
27,Research & Development,19,5,4,Female,4,2,1,9240,0,Yes,25,3,1,1,21,5,3,2,1,2,0,Yes
27,Sales,25,2,3,Male,2,3,3,11060,4,No,22,3,4,2,27,4,4,5,1,5,4,No
40,Research & Development,8,3,4,Male,3,2,1,11750,0,No,13,3,4,2,36,0,3,19,7,3,15,No
58,Sales,29,5,4,Female,3,2,1,7110,1,No,16,3,4,2,3,2,4,10,6,7,6,No
48,Sales,26,4,3,Female,2,1,4,9060,2,No,20,4,1,0,24,1,2,30,28,2,10,No
59,Research & Development,6,3,3,Male,3,5,2,17220,3,No,11,3,3,0,6,0,3,31,9,1,23,No
58,Sales,20,3,1,Male,3,5,2,20000,0,No,11,3,4,0,34,2,3,24,11,5,14,No
21,Sales,5,4,3,Male,3,2,4,12380,4,No,17,3,4,1,34,3,4,1,1,1,0,No
50,Research & Development,19,5,4,Female,3,1,3,6220,1,No,15,4,4,0,27,1,3,12,10,2,9,No
53,Sales,13,3,4,Male,4,1,3,11080,4,No,23,2,2,1,37,4,4,6,4,6,0,No
40,Research & Development,29,3,2,Male,3,1,2,6730,1,No,16,3,1,3,21,3,1,15,8,11,0,No
24,Research & Development,28,2,2,Female,3,2,3,8940,4,Yes,13,3,4,1,31,4,4,6,0,4,6,Yes
43,Research & Development,5,4,3,Male,2,4,2,15150,0,Yes,16,2,2,0,23,4,3,20,3,0,7,No
53,Research & Development,12,2,4,Male,4,1,1,5690,0,No,23,3,2,0,14,3,3,26,16,0,24,No
26,Research & Development,21,2,4,Male,3,5,3,20000,5,Yes,19,4,4,1,13,3,3,6,4,0,0,No
56,Research & Development,20,2,3,Male,3,2,2,12000,2,No,22,4,3,0,33,4,4,38,25,10,8,No
36,Research & Development,9,5,3,Female,3,5,4,18520,2,No,18,3,3,1,22,3,4,17,5,9,3,No
29,Research & Development,22,4,3,Male,2,4,2,13430,7,No,19,3,3,0,3,4,3,9,1,7,3,Yes
51,Research & Development,10,3,4,Male,4,2,4,6530,7,No,11,2,4,0,5,3,3,11,5,10,0,No
28,Research & Development,16,4,4,Male,3,2,2,9250,3,Yes,21,3,3,3,20,4,3,0,0,0,0,No
40,Sales,10,2,2,Male,2,4,2,14190,2,No,11,3,2,3,8,2,4,11,3,2,6,No
55,Research & Development,17,2,2,Female,1,4,2,14210,3,Yes,15,4,3,2,1,0,2,28,12,3,17,Yes
58,Sales,1,2,3,Female,2,3,1,9540,6,Yes,22,3,1,0,6,3,3,16,16,6,11,No
48,Human Resources,11,2,1,Male,2,3,2,12300,8,No,24,2,3,3,14,3,4,8,7,0,1,No
36,Sales,12,4,2,Female,2,3,1,13350,6,No,17,3,2,1,39,2,4,11,5,2,1,No
48,Research & Development,26,3,4,Male,2,3,4,14960,6,Yes,25,4,3,1,28,1,3,11,9,0,10,No
26,Human Resources,16,5,1,Male,1,2,2,8210,5,No,16,3,3,1,21,3,3,1,1,0,1,No
57,Research & Development,2,1,4,Male,3,2,1,10900,5,No,23,3,2,1,35,3,3,15,2,14,14,No
49,Sales,15,2,4,Female,1,2,1,11710,3,No,11,3,4,1,32,3,3,29,10,11,26,No
56,Research & Development,16,4,2,Male,2,3,1,8770,2,No,20,3,3,0,6,0,2,8,6,1,4,Yes
43,Sales,7,3,4,Female,2,2,4,7880,6,No,25,3,3,2,32,1,3,16,1,13,15,No
26,Research & Development,4,3,3,Female,3,2,4,9330,8,No,22,3,4,3,28,4,2,8,4,8,5,No
31,Research & Development,7,2,3,Female,4,1,3,6630,9,Yes,15,3,3,2,22,3,3,10,6,10,8,Yes
42,Sales,5,1,1,Male,3,5,3,18620,1,Yes,19,3,2,1,22,4,2,21,17,7,20,No
36,Research & Development,23,3,4,Male,4,5,2,20000,3,Yes,20,3,3,2,28,4,4,11,9,8,11,Yes
22,Research & Development,6,5,3,Male,1,2,2,7710,1,No,18,1,3,3,2,1,3,0,0,0,0,No
22,Research & Development,26,4,3,Female,3,3,1,11330,3,No,24,3,4,2,21,2,3,4,4,3,4,No
33,Sales,29,3,4,Male,1,4,2,16010,6,Yes,25,3,3,0,33,4,3,14,7,0,4,No
23,Sales,4,2,4,Male,1,1,3,6670,5,No,18,3,1,1,27,3,4,5,5,1,0,No
34,Sales,18,1,4,Female,3,2,2,5790,2,No,15,2,1,2,4,4,3,2,1,2,0,No
23,Sales,10,4,3,Male,3,2,3,7530,1,No,19,3,3,3,9,2,4,5,5,2,0,Yes
43,Research & Development,18,3,1,Male,3,3,2,11610,7,No,25,2,2,1,16,1,2,25,18,1,24,No
59,Research & Development,18,1,3,Male,2,3,4,11260,2,No,20,3,2,0,12,2,3,39,19,4,36,No
33,Sales,26,2,3,Male,4,1,3,5250,7,No,15,3,2,1,11,3,2,8,2,8,3,No
22,Research & Development,29,1,3,Male,3,2,3,5820,7,No,19,3,4,1,9,2,3,4,2,1,3,No
57,Research & Development,22,2,3,Male,2,5,3,20000,9,No,19,3,2,0,31,2,3,14,0,10,3,No
48,Sales,15,4,1,Female,2,5,3,18740,2,No,25,3,3,0,24,2,3,26,2,8,12,No
48,Sales,29,3,3,Male,2,1,3,6640,1,Yes,14,3,3,0,14,2,3,3,3,3,3,No
44,Research & Development,1,2,1,Male,2,2,4,8530,1,Yes,14,4,3,1,36,3,4,23,21,9,2,No
44,Sales,20,2,3,Female,3,2,1,8200,5,No,13,3,1,0,8,1,3,16,13,4,3,No
20,Research & Development,29,4,3,Male,3,1,3,4320,6,No,16,3,3,1,23,4,3,1,0,1,1,No
24,Research & Development,14,2,3,Male,4,2,4,5720,2,Yes,12,3,4,1,7,3,3,1,1,1,1,Yes
34,Research & Development,9,4,3,Male,2,3,3,11770,2,No,12,3,3,1,16,6,3,12,11,2,10,No
31,Sales,17,3,2,Male,3,3,1,12170,9,Yes,22,2,2,3,27,1,3,5,0,4,0,Yes
57,Human Resources,21,3,3,Male,4,4,3,12390,3,Yes,11,3,4,0,2,4,3,14,9,2,10,No
35,Sales,25,3,3,Male,2,1,3,7660,8,No,11,3,3,1,22,5,3,6,3,3,4,No
24,Research & Development,18,1,2,Female,4,5,4,16410,6,No,12,3,4,1,15,4,4,3,3,0,3,No
32,Sales,26,2,4,Male,1,4,2,18410,0,No,18,3,1,3,30,2,3,9,4,2,3,No
33,Sales,28,2,2,Female,4,2,3,13130,0,Yes,25,4,3,0,34,5,4,11,9,5,7,No
50,Research & Development,9,3,4,Male,3,2,4,7370,0,No,21,3,4,1,7,3,3,0,0,0,0,No
38,Research & Development,12,3,2,Male,2,2,3,10030,2,No,22,3,3,0,25,2,2,4,4,1,0,No
27,Sales,26,5,1,Female,2,2,4,11430,6,No,24,3,4,0,35,4,1,1,0,0,0,No
24,Research & Development,15,4,2,Male,3,4,2,17820,2,No,18,3,3,1,34,1,4,2,1,2,2,No
47,Research & Development,21,5,4,Female,4,2,3,7310,2,No,24,2,2,0,18,3,3,12,4,7,12,No
51,Research & Development,15,3,2,Male,3,3,4,14240,5,Yes,15,2,1,0,30,3,1,25,16,2,3,No
32,Sales,8,4,3,Male,3,1,1,5070,2,No,20,3,3,3,17,3,2,11,8,2,9,No
54,Research & Development,14,3,3,Male,3,2,4,7740,3,No,23,3,2,0,8,2,3,0,0,0,0,No
32,Sales,26,1,2,Male,3,2,1,8350,5,No,23,3,2,1,15,3,4,9,4,4,8,No
22,Sales,6,2,1,Male,3,3,2,12540,2,Yes,12,4,1,3,18,2,4,0,0,0,0,Yes
49,Sales,12,3,4,Male,4,5,1,20000,5,Yes,22,3,2,2,24,4,2,15,12,14,7,No
24,Sales,17,3,2,Male,4,5,1,17720,5,No,14,3,2,1,19,1,4,6,5,1,0,No
25,Sales,13,4,1,Male,3,2,3,5360,2,Yes,16,2,1,1,3,1,3,1,0,1,0,No
40,Research & Development,26,4,3,Male,3,3,2,16530,0,No,20,3,3,1,36,1,3,14,4,13,13,No
36,Sales,27,2,2,Male,3,2,1,10750,0,No,17,3,2,2,34,4,2,15,4,9,10,No
51,Sales,22,1,4,Male,4,1,2,9640,0,No,25,3,3,1,37,2,3,4,0,1,3,No
53,Sales,24,5,3,Male,3,4,2,13710,0,Yes,21,3,4,3,6,1,3,24,6,6,16,Yes
29,Research & Development,18,4,3,Male,3,2,2,10260,4,No,19,2,2,1,21,3,3,9,7,5,5,No
45,Research & Development,27,4,3,Male,2,3,4,12410,1,No,14,3,3,2,18,3,3,9,0,4,3,No
35,Sales,18,3,3,Male,2,2,1,9260,1,No,13,3,2,0,36,2,4,2,2,1,1,No
24,Research & Development,20,3,1,Female,3,3,4,10500,2,No,11,3,4,0,14,3,4,0,0,0,0,No
52,Sales,19,2,3,Male,2,3,2,13730,3,No,17,3,2,0,25,1,3,30,18,1,17,No
26,Research & Development,16,3,3,Female,2,3,3,10230,1,Yes,16,3,2,3,5,1,3,5,2,1,2,No
37,Sales,6,5,3,Female,3,1,1,3450,6,Yes,16,3,4,3,7,3,3,19,4,9,0,Yes
31,Sales,24,3,2,Male,2,2,3,5640,1,No,21,1,3,2,2,2,2,3,2,0,3,No
35,Sales,22,4,3,Female,1,4,3,18150,1,No,14,4,1,0,38,3,2,16,14,0,1,No
19,Research & Development,12,3,2,Male,4,5,2,20000,0,Yes,22,3,4,3,35,5,3,1,1,0,0,No
57,Human Resources,28,3,2,Male,2,5,4,20000,2,No,21,3,2,1,12,4,3,33,8,13,9,No
25,Research & Development,6,2,4,Female,3,4,2,12700,2,No,20,4,4,3,17,1,2,2,0,0,2,No
32,Research & Development,20,2,3,Male,3,2,3,7490,4,No,17,3,4,1,8,1,3,6,6,0,2,No
29,Sales,15,4,3,Male,3,1,2,10150,0,No,18,3,2,1,36,3,3,11,0,8,1,No
33,Human Resources,17,3,4,Male,3,3,4,10680,1,No,12,4,4,0,10,2,3,1,0,1,1,No
52,Human Resources,5,3,2,Male,3,4,4,14060,7,Yes,19,3,3,2,10,3,2,7,7,5,1,No
50,Research & Development,20,5,2,Male,3,4,3,17710,4,Yes,25,3,2,2,26,2,4,28,9,5,3,No
47,Sales,16,4,3,Male,4,1,3,9400,3,No,13,2,3,0,35,2,3,26,26,6,1,No
20,Research & Development,5,4,3,Female,2,5,1,19440,2,Yes,23,3,3,2,38,3,3,1,1,0,0,No
45,Sales,27,3,2,Male,3,2,3,12750,3,No,20,3,1,2,33,6,3,22,19,9,13,No
54,Sales,20,3,1,Male,3,3,2,11070,1,No,17,3,4,0,1,3,4,13,12,9,6,No
58,Sales,7,3,2,Male,3,2,3,8830,0,No,11,3,3,3,11,1,4,30,29,15,25,No
58,Research & Development,15,4,3,Male,3,2,3,12220,6,No,24,3,2,1,13,3,3,22,2,4,8,No
54,Research & Development,20,3,3,Female,3,3,2,12630,0,No,25,3,2,1,19,2,3,7,5,0,3,No
48,Research & Development,29,3,2,Female,3,2,3,7000,1,No,11,3,4,2,8,2,1,12,11,8,1,No
39,Human Resources,15,4,1,Female,3,1,3,7200,4,Yes,20,3,2,1,28,3,3,5,2,0,0,No
52,Sales,12,3,2,Female,4,3,1,10820,2,No,20,3,1,0,3,1,2,27,12,5,22,No
40,Research & Development,10,2,2,Female,4,1,4,2530,5,No,14,2,4,2,6,3,3,22,14,15,7,No
34,Human Resources,12,3,3,Female,3,4,2,13560,0,No,19,3,3,0,22,3,2,3,3,0,2,No
44,Research & Development,8,3,3,Female,3,2,4,6350,4,No,20,3,4,1,15,1,3,23,22,15,3,No
24,Sales,27,3,2,Male,3,3,3,9220,6,No,13,3,1,0,8,4,4,5,0,1,5,No
31,Research & Development,22,4,2,Female,3,4,4,16520,5,No,11,4,3,1,32,2,2,4,0,2,4,Yes
40,Research & Development,4,4,4,Male,3,2,2,7780,2,No,24,3,3,1,12,3,4,11,6,2,4,No
49,Sales,22,3,4,Male,3,2,2,11550,6,No,11,3,2,1,35,4,3,14,2,6,9,No
33,Research & Development,23,3,3,Male,3,5,3,20000,5,Yes,19,3,3,0,33,6,4,8,7,8,1,No
22,Research & Development,22,3,4,Male,2,2,3,8150,3,No,11,3,3,1,18,2,1,4,2,4,2,No
54,Research & Development,2,3,2,Female,1,2,1,6460,0,No,21,3,3,0,16,0,2,11,9,11,2,No
49,Research & Development,6,4,4,Male,2,1,4,8460,1,No,11,4,4,0,28,3,2,22,1,8,3,No
37,Sales,16,4,4,Male,3,3,2,14600,1,No,20,1,4,1,20,5,3,1,0,1,1,No
24,Sales,9,3,2,Female,3,3,3,7050,1,No,21,3,2,1,0,4,1,0,0,0,0,No
36,Sales,9,2,1,Male,4,3,4,10070,9,No,15,3,1,3,8,2,4,18,5,3,5,No
